2015/02/26 18:15:03,U,I,Ah,Wh,T,S
2015/02/26 18:15:04,0.0014,0.0000,0.0000,0.0000,28.5,20
2015/02/26 18:15:05,0.0014,0.0000,0.0000,0.0000,28.5,21
2015/02/26 18:15:06,0.0013,0.0000,0.0000,0.0000,28.4,22
2015/02/26 18:15:07,0.0028,0.0000,0.0000,0.0000,28.5,23
2015/02/26 18:15:09,5.2238,0.0000,0.0000,0.0000,28.5,24
2015/02/26 18:15:10,5.2239,0.0000,0.0000,0.0000,28.4,25
2015/02/26 18:15:11,5.2239,0.0000,0.0000,0.0000,28.4,26
2015/02/26 18:15:12,5.2241,0.0000,0.0000,0.0000,28.4,28
2015/02/26 18:15:13,5.2238,0.0000,0.0000,0.0000,28.4,29
2015/02/26 18:15:14,5.2235,0.0000,0.0000,0.0000,28.4,30
2015/02/26 18:15:15,5.2239,0.0000,0.0000,0.0000,28.4,31
2015/02/26 18:15:16,5.2237,0.0000,0.0000,0.0000,28.4,32
2015/02/26 18:15:17,5.2242,0.0000,0.0000,0.0000,28.4,33
2015/02/26 18:15:18,5.2241,0.0000,0.0000,0.0000,28.4,34
2015/02/26 18:15:19,5.2241,0.0000,0.0000,0.0000,28.4,35
2015/02/26 18:15:21,5.2239,0.0000,0.0000,0.0000,28.4,36
2015/02/26 18:15:22,5.2237,0.0000,0.0000,0.0000,28.4,37
2015/02/26 18:15:23,5.2237,0.0000,0.0000,0.0000,28.4,39
2015/02/26 18:15:24,5.2242,0.0000,0.0000,0.0000,28.4,40
2015/02/26 18:15:25,5.2238,0.0000,0.0000,0.0000,28.4,41
2015/02/26 18:15:26,5.2237,0.0000,0.0000,0.0000,28.3,42
2015/02/26 18:15:27,5.2236,0.0000,0.0000,0.0000,28.3,43
2015/02/26 18:15:28,5.2236,0.0000,0.0000,0.0000,28.3,44
2015/02/26 18:15:29,5.2230,0.0000,0.0000,0.0000,28.3,45
2015/02/26 18:15:30,5.2232,0.0000,0.0000,0.0000,28.3,46
2015/02/26 18:15:31,5.2229,0.0000,0.0000,0.0000,28.3,47
