2015/03/07 23:20:36,U,I,Ah,Wh,T,S
2015/03/07 23:20:37,5.2187,0.0000,0.0000,0.0000,26.8,28
2015/03/07 23:20:38,5.2184,0.0000,0.0000,0.0000,26.8,30
2015/03/07 23:20:39,5.2184,0.0000,0.0000,0.0000,26.8,31
2015/03/07 23:20:40,5.2185,0.0000,0.0000,0.0000,26.8,32
2015/03/07 23:20:41,5.2180,0.0000,0.0000,0.0000,26.8,33
2015/03/07 23:20:42,5.2181,0.0000,0.0000,0.0000,26.8,34
2015/03/07 23:20:43,5.2185,0.0000,0.0000,0.0000,26.8,35
2015/03/07 23:20:45,5.2181,0.0000,0.0000,0.0000,26.8,36
2015/03/07 23:20:46,5.2184,0.0000,0.0000,0.0000,26.8,37
2015/03/07 23:20:47,5.2186,0.0000,0.0000,0.0000,26.8,39
2015/03/07 23:20:48,5.2183,0.0000,0.0000,0.0000,26.8,40
2015/03/07 23:20:49,5.2179,0.0000,0.0000,0.0000,26.8,41
2015/03/07 23:20:50,5.2184,0.0000,0.0000,0.0000,26.8,42
2015/03/07 23:20:51,5.2182,0.0000,0.0000,0.0000,26.8,43
2015/03/07 23:20:52,5.2186,0.0000,0.0000,0.0000,26.8,44
2015/03/07 23:20:53,5.2185,0.0000,0.0000,0.0000,26.8,45
2015/03/07 23:20:54,5.2185,0.0000,0.0000,0.0000,26.8,46
2015/03/07 23:20:56,5.2184,0.0000,0.0000,0.0000,26.8,47
2015/03/07 23:20:57,5.2184,0.0000,0.0000,0.0000,26.8,48
2015/03/07 23:20:58,5.2183,0.0000,0.0000,0.0000,26.8,49
2015/03/07 23:20:59,5.2176,0.0000,0.0000,0.0000,26.8,51
2015/03/07 23:21:00,5.2181,0.0000,0.0000,0.0000,26.8,52
2015/03/07 23:21:01,5.2179,0.0000,0.0000,0.0000,26.8,53
2015/03/07 23:21:02,5.2181,0.0000,0.0000,0.0000,26.8,54
2015/03/07 23:21:03,5.2180,0.0000,0.0000,0.0000,26.8,55
2015/03/07 23:21:04,5.2185,0.0000,0.0000,0.0000,26.8,56
2015/03/07 23:21:05,5.2184,0.0000,0.0000,0.0000,26.8,57
2015/03/07 23:21:06,5.2186,0.0000,0.0000,0.0000,26.8,58
2015/03/07 23:21:08,5.2184,0.0000,0.0000,0.0000,26.8,59
2015/03/07 23:21:09,5.2184,0.0000,0.0000,0.0000,26.8,60
2015/03/07 23:21:10,5.2181,0.0000,0.0000,0.0000,26.8,61
2015/03/07 23:21:11,5.2179,0.0000,0.0000,0.0000,26.8,63
2015/03/07 23:21:12,5.2183,0.0000,0.0000,0.0000,26.8,64
2015/03/07 23:21:13,5.2181,0.0000,0.0000,0.0000,26.8,65
2015/03/07 23:21:14,5.2184,0.0000,0.0000,0.0000,26.8,66
2015/03/07 23:21:15,5.2186,0.0000,0.0000,0.0000,26.8,67
2015/03/07 23:21:16,5.2180,0.0000,0.0000,0.0000,26.8,68
2015/03/07 23:21:17,5.2184,0.0000,0.0000,0.0000,26.8,69
2015/03/07 23:21:18,5.2183,0.0000,0.0000,0.0000,26.8,70
2015/03/07 23:21:20,5.2182,0.0000,0.0000,0.0000,26.8,71
2015/03/07 23:21:21,5.2186,0.0000,0.0000,0.0000,26.8,72
2015/03/07 23:21:22,5.2186,0.0000,0.0000,0.0000,26.8,73
2015/03/07 23:21:23,5.2186,0.0000,0.0000,0.0000,26.8,75
2015/03/07 23:21:24,5.2187,0.0000,0.0000,0.0000,26.8,76
2015/03/07 23:21:25,5.2191,0.0000,0.0000,0.0000,26.8,77
2015/03/07 23:21:26,5.2190,0.0000,0.0000,0.0000,26.8,78
2015/03/07 23:21:27,5.2185,0.0000,0.0000,0.0000,26.8,79
2015/03/07 23:21:28,5.2186,0.0000,0.0000,0.0000,26.8,80
2015/03/07 23:21:29,5.2182,0.0000,0.0000,0.0000,26.8,81
2015/03/07 23:21:30,5.2190,0.0000,0.0000,0.0000,26.8,82
2015/03/07 23:21:32,5.2130,0.0002,0.0000,0.0000,26.8,83
2015/03/07 23:21:33,5.1812,1.4222,0.0005,0.0027,26.8,84
2015/03/07 23:21:34,5.1966,1.5381,0.0009,0.0049,26.8,85
2015/03/07 23:21:35,5.1980,1.5666,0.0013,0.0071,26.8,87
2015/03/07 23:21:36,5.2020,1.5870,0.0018,0.0094,26.8,88
2015/03/07 23:21:37,5.2083,1.6141,0.0022,0.0117,26.8,89
2015/03/07 23:21:38,5.2117,1.6612,0.0029,0.0153,26.8,90
2015/03/07 23:21:39,5.2117,1.6672,0.0034,0.0177,26.8,91
2015/03/07 23:21:40,5.2123,1.6703,0.0038,0.0202,26.8,92
2015/03/07 23:21:41,5.2201,1.6950,0.0043,0.0226,26.8,93
2015/03/07 23:21:42,5.2205,1.6970,0.0048,0.0251,26.8,94
2015/03/07 23:21:44,5.2213,1.6995,0.0055,0.0288,26.8,95
2015/03/07 23:21:45,5.2218,1.7009,0.0060,0.0312,26.8,96
2015/03/07 23:21:46,5.2221,1.7021,0.0064,0.0337,26.8,97
2015/03/07 23:21:47,5.2225,1.7041,0.0069,0.0362,26.8,99
2015/03/07 23:21:48,5.2233,1.6254,0.0074,0.0386,26.8,100
2015/03/07 23:21:49,5.2216,1.7130,0.0078,0.0411,26.8,101
2015/03/07 23:21:50,5.2279,1.7465,0.0086,0.0449,26.8,102
2015/03/07 23:21:51,5.2278,1.7506,0.0091,0.0474,26.8,103
