2015/04/18 08:47:25,V,mA,mAh,mWh,T,S
2015/04/18 08:47:26,5.0625,-0.001,0.000,0.000,19.6,16
2015/04/18 08:47:27,5.0626,-0.001,0.000,0.000,19.6,17
2015/04/18 08:47:28,5.0626,-0.001,0.000,0.000,19.6,18
2015/04/18 08:47:29,5.0626,-0.001,0.000,0.000,19.6,19
2015/04/18 08:47:30,5.0625,-0.001,0.000,0.000,19.6,20
2015/04/18 08:47:31,5.0624,-0.001,0.000,0.000,19.6,21
2015/04/18 08:47:32,5.0624,-0.001,0.000,0.000,19.6,22
2015/04/18 08:47:33,5.0623,-0.001,0.000,0.000,19.6,23
2015/04/18 08:47:34,5.0625,-0.001,0.000,0.000,19.6,24
2015/04/18 08:47:35,5.0624,-0.001,0.000,0.000,19.6,25
2015/04/18 08:47:36,5.0621,-0.000,0.000,0.000,19.6,26
2015/04/18 08:47:37,5.0623,-0.001,0.000,0.000,19.6,27
2015/04/18 08:47:38,5.0622,-0.001,0.000,0.000,19.6,28
2015/04/18 08:47:39,5.0624,-0.001,0.000,0.000,19.6,29
2015/04/18 08:47:40,5.0625,-0.001,0.000,0.000,19.6,30
2015/04/18 08:47:41,5.0626,-0.001,0.000,0.000,19.6,31
2015/04/18 08:47:42,5.0627,-0.001,0.000,0.000,19.7,32
2015/04/18 08:47:43,5.0627,-0.001,0.000,0.000,19.7,33
2015/04/18 08:47:44,5.0626,-0.001,0.000,0.000,19.7,34
2015/04/18 08:47:45,5.0627,-0.001,0.000,0.000,19.7,35
2015/04/18 08:47:46,5.0628,-0.001,0.000,0.000,19.7,36
2015/04/18 08:47:47,5.0624,-0.001,0.000,0.000,19.7,37
2015/04/18 08:47:48,5.0630,-0.001,0.000,0.000,19.8,38
2015/04/18 08:47:49,5.0498,17.974,0.001,0.006,19.8,39
2015/04/18 08:47:50,5.0481,26.710,0.008,0.041,19.8,40
2015/04/18 08:47:51,5.0486,26.711,0.016,0.078,19.8,41
2015/04/18 08:47:52,5.0490,26.709,0.023,0.116,19.8,42
2015/04/18 08:47:53,5.0490,26.708,0.030,0.153,19.8,43
2015/04/18 08:47:54,5.0499,26.708,0.038,0.191,19.8,44
2015/04/18 08:47:55,5.0501,26.707,0.045,0.228,19.8,45
2015/04/18 08:47:56,5.0502,26.707,0.053,0.266,19.8,46
2015/04/18 08:47:57,5.0503,26.708,0.060,0.303,19.8,47
2015/04/18 08:47:58,5.0503,26.707,0.067,0.341,19.8,48
2015/04/18 08:47:59,5.0503,26.707,0.075,0.378,19.8,49
2015/04/18 08:48:00,5.0505,26.708,0.082,0.416,19.8,50
2015/04/18 08:48:01,5.0503,26.708,0.090,0.453,19.8,51
2015/04/18 08:48:02,5.0503,26.706,0.097,0.491,19.8,52
2015/04/18 08:48:03,5.0508,26.707,0.105,0.528,19.9,53
2015/04/18 08:48:04,5.0504,26.706,0.112,0.566,19.9,54
2015/04/18 08:48:05,5.0504,26.706,0.119,0.603,19.8,55
2015/04/18 08:48:06,5.0508,26.707,0.127,0.640,19.8,56
2015/04/18 08:48:07,5.0505,26.707,0.134,0.678,19.9,57
2015/04/18 08:48:08,5.0506,26.707,0.142,0.715,19.9,58
2015/04/18 08:48:09,5.0509,26.707,0.149,0.753,19.9,59
2015/04/18 08:48:10,5.0509,26.708,0.156,0.790,19.9,60
2015/04/18 08:48:11,5.0506,26.708,0.164,0.828,19.8,61
2015/04/18 08:48:12,5.0510,26.708,0.171,0.865,19.9,62
2015/04/18 08:48:13,5.0509,26.708,0.179,0.903,19.9,63
2015/04/18 08:48:14,5.0509,26.708,0.186,0.940,19.9,64
2015/04/18 08:48:15,5.0510,26.708,0.194,0.978,19.9,65
2015/04/18 08:48:16,5.0509,26.707,0.201,1.015,19.9,66
2015/04/18 08:48:17,5.0509,26.708,0.208,1.053,19.9,67
2015/04/18 08:48:18,5.0509,26.708,0.216,1.090,19.9,68
2015/04/18 08:48:19,5.0510,26.709,0.223,1.128,19.9,69
