2015/05/17 13:37:48,V,A,Ah,Wh,T,S
2015/05/17 13:37:49,5.2126,0.0000,0.0000,0.0000,26.6,335
2015/05/17 13:37:50,5.2128,0.0000,0.0000,0.0000,26.6,336
2015/05/17 13:37:51,5.2130,0.0000,0.0000,0.0000,26.6,337
2015/05/17 13:37:52,5.2130,0.0000,0.0000,0.0000,26.6,338
2015/05/17 13:37:53,5.2129,0.0000,0.0000,0.0000,26.6,339
2015/05/17 13:37:54,5.2126,0.0000,0.0000,0.0000,26.6,340
2015/05/17 13:37:55,5.2125,0.0000,0.0000,0.0000,26.6,341
2015/05/17 13:37:56,5.2127,0.0000,0.0000,0.0000,26.6,342
2015/05/17 13:37:57,5.2128,0.0000,0.0000,0.0000,26.6,343
2015/05/17 13:37:58,5.2128,0.0000,0.0000,0.0000,26.6,344
2015/05/17 13:37:59,5.2131,0.0000,0.0000,0.0000,26.6,345
2015/05/17 13:38:00,5.2136,0.0000,0.0000,0.0000,26.6,346
2015/05/17 13:38:01,5.2135,0.0000,0.0000,0.0000,26.6,347
2015/05/17 13:38:02,5.2132,0.0000,0.0000,0.0000,26.6,348
2015/05/17 13:38:03,5.2126,0.0000,0.0000,0.0000,26.6,349
2015/05/17 13:38:04,5.2130,0.0000,0.0000,0.0000,26.6,350
2015/05/17 13:38:05,5.2130,0.0000,0.0000,0.0000,26.6,351
2015/05/17 13:38:06,5.2453,0.0050,0.0000,0.0000,26.6,352
2015/05/17 13:38:07,5.3345,1.7158,0.0001,0.0005,26.6,353
2015/05/17 13:38:08,5.4268,2.2241,0.0007,0.0039,26.6,354
2015/05/17 13:38:09,5.4392,2.2245,0.0013,0.0072,26.6,355
2015/05/17 13:38:10,5.4474,2.2254,0.0019,0.0106,26.6,356
2015/05/17 13:38:11,5.4518,2.2250,0.0025,0.0140,26.6,357
2015/05/17 13:38:12,5.4556,2.2247,0.0031,0.0173,26.6,358
2015/05/17 13:38:13,5.4598,2.2244,0.0038,0.0207,26.6,359
