    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      32,  5.0983,  0.0061,  31.5, 818.5
    1,      35,  5.0983,  0.0061,  31.5, 818.5
    2,      38,  5.0983,  0.0062,  31.5, 818.5
    3,      41,  5.0978,  0.0062,  31.5, 818.5
    4,      44,  5.0968,  0.0062,  31.5, 818.5
    5,      47,  5.0968,  0.0061,  31.5, 818.5
    6,      50,  5.0967,  0.0061,  31.5, 818.5
    7,      53,  5.0968,  0.0062,  31.5, 818.5
    8,      56,  5.0649,  0.0227,  31.5, 818.5
    9,      59,  4.9378,  0.0809,  32.0, 819.0
   10,      62,  4.9376,  0.0809,  32.0, 819.0
   11,      65,  4.9376,  0.0809,  32.0, 819.0
   12,      68,  4.9376,  0.0808,  32.0, 819.0
   13,      71,  4.9374,  0.0808,  32.0, 819.0
   14,      74,  4.9370,  0.0808,  32.0, 819.0
   15,      77,  4.9368,  0.0808,  32.0, 819.0
   16,      80,  4.9369,  0.0808,  32.0, 819.0
   17,      83,  4.9369,  0.0807,  32.0, 819.0
   18,      86,  4.9367,  0.0807,  32.0, 819.0
   19,      89,  4.9363,  0.0808,  32.0, 819.0
   20,      92,  4.9363,  0.0807,  32.0, 819.0
   21,      95,  4.9365,  0.0807,  32.0, 819.0
   22,      98,  4.9365,  0.0807,  32.0, 819.0
   23,     101,  4.9363,  0.0807,  32.0, 819.0
   24,     104,  4.9363,  0.0807,  32.0, 819.0
   25,     107,  4.9365,  0.0807,  32.0, 819.0
   26,     110,  4.9366,  0.0807,  32.0, 819.0
   27,     113,  4.9366,  0.0807,  32.0, 819.0
   28,     116,  4.9368,  0.0807,  32.0, 819.0
   29,     119,  4.9367,  0.0807,  32.0, 819.0
   30,     122,  4.9367,  0.0807,  32.0, 819.0
   31,     125,  4.9365,  0.0806,  32.0, 819.0
   32,     128,  4.9363,  0.0807,  32.0, 819.0
   33,     131,  4.9365,  0.0807,  32.0, 819.0
   34,     134,  4.9365,  0.0807,  32.0, 819.0
   35,     137,  4.9366,  0.0806,  32.0, 819.0
   36,     140,  4.9370,  0.0806,  32.0, 819.0
   37,     143,  4.9369,  0.0806,  32.0, 819.0
   38,     146,  4.9371,  0.0806,  32.0, 819.0
   39,     149,  4.9370,  0.0806,  32.0, 819.0
   40,     152,  4.9371,  0.0806,  32.0, 819.0
   41,     155,  4.9372,  0.0806,  32.0, 819.0
   42,     158,  4.9372,  0.0806,  32.0, 819.0
   43,     161,  4.9374,  0.0806,  32.0, 819.0
   44,     164,  4.9372,  0.0805,  32.0, 819.0
   45,     167,  4.9374,  0.0806,  32.0, 819.0
   46,     170,  4.9373,  0.0805,  32.0, 819.0
   47,     173,  4.9374,  0.0806,  32.0, 819.0
   48,     176,  4.9372,  0.0806,  32.0, 819.0
   49,     179,  4.9371,  0.0806,  32.0, 819.0
   50,     182,  4.9373,  0.0805,  32.0, 819.0
   51,     185,  4.9375,  0.0805,  32.0, 819.0
   52,     188,  4.9376,  0.0805,  32.0, 819.0
   53,     191,  4.9377,  0.0805,  32.0, 819.0
   54,     194,  4.9376,  0.0805,  32.0, 819.0
   55,     197,  4.9377,  0.0805,  32.0, 819.0
   56,     200,  4.9378,  0.0805,  32.0, 819.0
   57,     203,  4.9377,  0.0805,  32.0, 819.0
   58,     206,  4.9379,  0.0805,  32.0, 819.0
   59,     209,  4.9378,  0.0805,  32.0, 819.0
   60,     212,  4.9379,  0.0805,  32.0, 819.0
   61,     215,  4.9380,  0.0805,  32.0, 819.0
   62,     218,  4.9381,  0.0805,  32.0, 819.0
   63,     221,  4.9382,  0.0805,  32.0, 819.0
   64,     224,  4.9380,  0.0805,  32.0, 819.0
   65,     227,  4.9377,  0.0805,  32.0, 819.0
   66,     230,  4.9378,  0.0805,  32.0, 819.0
   67,     233,  4.9377,  0.0805,  32.0, 819.0
   68,     236,  4.9377,  0.0805,  32.0, 819.0
