    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      34,  5.1365,  0.0000,  29.5, 816.5
    1,      37,  5.1364,  0.0000,  29.5, 816.5
    2,      40,  5.1383,  0.0000,  29.5, 816.5
    3,      43,  5.1389,  0.0000,  29.5, 816.5
    4,      46,  5.1398,  0.0000,  29.5, 816.5
    5,      49,  5.1416,  0.0000,  29.5, 816.5
    6,      52,  5.1410,  0.0000,  29.5, 816.5
    7,      55,  5.1412,  0.0000,  29.5, 816.5
    8,      58,  5.1398,  0.0000,  29.5, 816.5
    9,      61,  5.1382,  0.0000,  29.5, 816.5
   10,      64,  5.1381,  0.0000,  29.5, 816.5
   11,      67,  5.1335,  0.0045,  29.5, 816.5
   12,      70,  5.0730,  0.0596,  29.5, 816.5
   13,      73,  5.0726,  0.0596,  29.5, 816.5
   14,      76,  5.0728,  0.0596,  29.5, 816.5
   15,      79,  5.0728,  0.0596,  29.5, 816.5
   16,      82,  5.0720,  0.0596,  29.5, 816.5
   17,      85,  5.0719,  0.0596,  29.5, 816.5
   18,      88,  5.0710,  0.0596,  29.5, 816.5
   19,      91,  5.0751,  0.0596,  29.5, 816.5
   20,      94,  5.0825,  0.0596,  29.5, 816.5
   21,      97,  5.0820,  0.0596,  29.5, 816.5
   22,     100,  5.0789,  0.0597,  29.5, 816.5
   23,     103,  5.0784,  0.0598,  29.5, 816.5
   24,     106,  5.0777,  0.0599,  29.5, 816.5
   25,     109,  5.0791,  0.0589,  29.5, 816.5
   26,     112,  5.0772,  0.0600,  29.5, 816.5
   27,     115,  5.0758,  0.0601,  29.5, 816.5
   28,     118,  5.0767,  0.0601,  29.5, 816.5
   29,     121,  5.0764,  0.0601,  29.5, 816.5
   30,     124,  5.0754,  0.0601,  29.0, 816.0
   31,     127,  5.0740,  0.0601,  29.0, 816.0
   32,     130,  5.0730,  0.0601,  29.0, 816.0
   33,     133,  5.0680,  0.0602,  29.0, 816.0
   34,     136,  5.0688,  0.0601,  29.0, 816.0
   35,     139,  5.0691,  0.0601,  29.0, 816.0
   36,     142,  5.0688,  0.0601,  29.0, 816.0
   37,     145,  5.0685,  0.0601,  29.0, 816.0
   38,     148,  5.0684,  0.0601,  29.0, 816.0
   39,     151,  5.0676,  0.0601,  29.0, 816.0
   40,     154,  5.0664,  0.0601,  29.0, 816.0
   41,     157,  5.0664,  0.0601,  29.0, 816.0
   42,     160,  5.0664,  0.0601,  29.0, 816.0
   43,     163,  5.0632,  0.0601,  29.0, 816.0
   44,     166,  5.0413,  0.0601,  29.0, 816.0
   45,     169,  5.0424,  0.0590,  29.0, 816.0
   46,     172,  5.0397,  0.0601,  29.0, 816.0
   47,     175,  5.0394,  0.0601,  29.0, 816.0
   48,     178,  5.0401,  0.0601,  29.0, 816.0
   49,     181,  5.0434,  0.0601,  29.0, 816.0
   50,     184,  5.0439,  0.0601,  29.0, 816.0
   51,     187,  5.0441,  0.0601,  29.0, 816.0
   52,     190,  5.0437,  0.0601,  29.0, 816.0
   53,     193,  5.0431,  0.0601,  29.0, 816.0
   54,     196,  5.0416,  0.0601,  29.0, 816.0
   55,     199,  5.0415,  0.0601,  29.0, 816.0
   56,     202,  5.0414,  0.0601,  29.0, 816.0
   57,     205,  5.0414,  0.0602,  29.0, 816.0
   58,     208,  5.0408,  0.0601,  29.0, 816.0
   59,     211,  5.0402,  0.0601,  29.0, 816.0
   60,     214,  5.0384,  0.0601,  29.0, 816.0
   61,     217,  5.0388,  0.0601,  29.0, 816.0
   62,     220,  5.0389,  0.0601,  29.0, 816.0
   63,     223,  5.0388,  0.0601,  29.0, 816.0
   64,     226,  5.0382,  0.0601,  29.0, 816.0
   65,     229,  5.0398,  0.0590,  29.0, 816.0
   66,     232,  5.0386,  0.0601,  29.0, 816.0
   67,     235,  5.0394,  0.0601,  29.0, 816.0
   68,     238,  5.0394,  0.0601,  29.0, 816.0
   69,     241,  5.0386,  0.0601,  29.0, 816.0
   70,     244,  5.0383,  0.0601,  29.0, 816.0
   71,     247,  5.0382,  0.0601,  29.0, 816.0
   72,     250,  5.0381,  0.0601,  29.0, 816.0
   73,     253,  5.0378,  0.0601,  29.0, 816.0
   74,     256,  5.0373,  0.0601,  29.0, 816.0
   75,     259,  5.0370,  0.0601,  29.0, 816.0
   76,     262,  5.0341,  0.0601,  29.0, 816.0
   77,     265,  5.0342,  0.0601,  29.0, 816.0
   78,     268,  5.0337,  0.0601,  29.0, 816.0
   79,     271,  5.0336,  0.0601,  29.0, 816.0
   80,     274,  5.0334,  0.0601,  29.0, 816.0
   81,     277,  5.0300,  0.0601,  29.0, 816.0
   82,     280,  5.0301,  0.0601,  29.0, 816.0
   83,     283,  5.0290,  0.0601,  29.0, 816.0
   84,     286,  5.0288,  0.0601,  29.0, 816.0
   85,     289,  5.0305,  0.0591,  29.0, 816.0
   86,     292,  5.0295,  0.0601,  29.0, 816.0
   87,     295,  5.0303,  0.0601,  29.0, 816.0
   88,     298,  5.0304,  0.0601,  29.0, 816.0
   89,     301,  5.0278,  0.0601,  29.0, 816.0
   90,     304,  5.0258,  0.0601,  29.0, 816.0
   91,     307,  5.0220,  0.0601,  29.0, 816.0
   92,     310,  5.0203,  0.0601,  29.0, 816.0
   93,     313,  5.0241,  0.0601,  29.0, 816.0
   94,     316,  5.0240,  0.0601,  29.0, 816.0
   95,     319,  5.0237,  0.0601,  29.0, 816.0
   96,     322,  5.0239,  0.0601,  29.0, 816.0
   97,     325,  5.0232,  0.0601,  29.0, 816.0
   98,     328,  5.0202,  0.0601,  29.0, 816.0
   99,     331,  5.0158,  0.0601,  29.0, 816.0
  100,     334,  5.0104,  0.0601,  29.0, 816.0
  101,     337,  5.0064,  0.0601,  29.0, 816.0
  102,     340,  5.0083,  0.0601,  29.0, 816.0
  103,     343,  4.9994,  0.0601,  29.0, 816.0
  104,     346,  4.9935,  0.0601,  29.0, 816.0
  105,     349,  4.9963,  0.0592,  29.0, 816.0
  106,     352,  4.9262,  0.0601,  29.0, 816.0
  107,     355,  4.8454,  0.0601,  29.0, 816.0
  108,     358,  4.8280,  0.0600,  29.0, 816.0
  109,     361,  5.0429,  0.0600,  29.0, 816.0
  110,     364,  5.0371,  0.0599,  29.0, 816.0
  111,     367,  5.0358,  0.0599,  29.0, 816.0
  112,     370,  5.0346,  0.0597,  29.0, 816.0
  113,     373,  5.0342,  0.0596,  29.0, 816.0
  114,     376,  5.0343,  0.0596,  29.0, 816.0
  115,     379,  5.0346,  0.0595,  29.0, 816.0
  116,     382,  5.0342,  0.0595,  29.0, 816.0
  117,     385,  5.0341,  0.0596,  29.0, 816.0
  118,     388,  5.0337,  0.0595,  29.0, 816.0
  119,     391,  5.0336,  0.0596,  29.0, 816.0
  120,     394,  5.0336,  0.0596,  29.0, 816.0
  121,     397,  5.0339,  0.0596,  29.0, 816.0
  122,     400,  5.0335,  0.0595,  29.0, 816.0
  123,     403,  5.0334,  0.0595,  29.0, 816.0
  124,     406,  5.0334,  0.0596,  29.0, 816.0
  125,     409,  5.0342,  0.0590,  29.0, 816.0
  126,     412,  5.0334,  0.0596,  29.0, 816.0
  127,     415,  5.0335,  0.0596,  29.0, 816.0
  128,     418,  5.0334,  0.0597,  29.0, 816.0
  129,     421,  5.0331,  0.0598,  29.0, 816.0
  130,     424,  5.0329,  0.0599,  29.0, 816.0
  131,     427,  5.0329,  0.0599,  29.0, 816.0
  132,     430,  5.0333,  0.0600,  29.0, 816.0
  133,     433,  5.0332,  0.0600,  29.0, 816.0
  134,     436,  5.0331,  0.0601,  29.0, 816.0
  135,     439,  5.0331,  0.0601,  29.0, 816.0
  136,     442,  5.0331,  0.0600,  29.0, 816.0
  137,     445,  5.0331,  0.0600,  29.0, 816.0
  138,     448,  5.0331,  0.0599,  29.0, 816.0
  139,     451,  5.0330,  0.0598,  29.0, 816.0
  140,     454,  5.0328,  0.0597,  29.0, 816.0
  141,     457,  5.0330,  0.0596,  29.0, 816.0
  142,     460,  5.0330,  0.0596,  29.0, 816.0
  143,     463,  5.0329,  0.0596,  29.0, 816.0
  144,     466,  5.0329,  0.0596,  29.0, 816.0
  145,     469,  5.0327,  0.0593,  29.0, 816.0
  146,     472,  5.0321,  0.0595,  29.0, 816.0
  147,     475,  5.0320,  0.0596,  29.0, 816.0
  148,     478,  5.0319,  0.0596,  29.0, 816.0
  149,     481,  5.0320,  0.0596,  29.0, 816.0
  150,     484,  5.0320,  0.0596,  29.0, 816.0
  151,     487,  5.0317,  0.0596,  29.0, 816.0
  152,     490,  5.0322,  0.0595,  29.0, 816.0
  153,     493,  5.0322,  0.0596,  29.0, 816.0
  154,     496,  5.0322,  0.0595,  29.0, 816.0
  155,     499,  5.0325,  0.0596,  29.0, 816.0
  156,     502,  5.0326,  0.0596,  29.0, 816.0
  157,     505,  5.0327,  0.0595,  29.0, 816.0
  158,     508,  5.0328,  0.0595,  29.0, 816.0
  159,     511,  5.0324,  0.0595,  29.0, 816.0
  160,     514,  5.0320,  0.0595,  29.0, 816.0
  161,     517,  5.0320,  0.0595,  29.0, 816.0
  162,     520,  5.0317,  0.0595,  29.0, 816.0
  163,     523,  5.0318,  0.0595,  29.0, 816.0
  164,     526,  5.0317,  0.0595,  29.0, 816.0
  165,     529,  5.0322,  0.0591,  28.5, 815.5
  166,     532,  5.0316,  0.0594,  28.5, 815.5
  167,     535,  5.0316,  0.0594,  29.0, 816.0
  168,     538,  5.0305,  0.0594,  28.5, 815.5
  169,     541,  5.0306,  0.0594,  28.5, 815.5
  170,     544,  5.0302,  0.0594,  28.5, 815.5
  171,     547,  5.0301,  0.0594,  28.5, 815.5
  172,     550,  5.0297,  0.0593,  28.5, 815.5
  173,     553,  5.0296,  0.0593,  28.5, 815.5
  174,     556,  5.0290,  0.0594,  28.5, 815.5
  175,     559,  5.0289,  0.0593,  28.5, 815.5
  176,     562,  5.0291,  0.0593,  28.5, 815.5
  177,     565,  5.0290,  0.0593,  28.5, 815.5
  178,     568,  5.0287,  0.0593,  28.5, 815.5
  179,     571,  5.0282,  0.0593,  28.5, 815.5
  180,     574,  5.0277,  0.0593,  28.5, 815.5
  181,     577,  5.0277,  0.0592,  28.5, 815.5
  182,     580,  5.0269,  0.0592,  28.5, 815.5
  183,     583,  5.0278,  0.0592,  28.5, 815.5
  184,     586,  5.0279,  0.0592,  28.5, 815.5
  185,     589,  5.0284,  0.0588,  28.5, 815.5
  186,     592,  5.0274,  0.0592,  29.0, 816.0
  187,     595,  5.0273,  0.0592,  28.5, 815.5
  188,     598,  5.0272,  0.0592,  29.0, 816.0
  189,     601,  5.0274,  0.0592,  29.0, 816.0
  190,     604,  5.0271,  0.0592,  29.0, 816.0
  191,     607,  5.0269,  0.0593,  29.0, 816.0
  192,     610,  5.0272,  0.0594,  29.0, 816.0
  193,     613,  5.0267,  0.0594,  29.0, 816.0
  194,     616,  5.0263,  0.0595,  29.0, 816.0
  195,     619,  5.0258,  0.0596,  29.0, 816.0
  196,     622,  5.0258,  0.0596,  28.5, 815.5
  197,     625,  5.0260,  0.0596,  28.5, 815.5
  198,     628,  5.0263,  0.0597,  28.5, 815.5
  199,     631,  5.0256,  0.0597,  28.5, 815.5
  200,     634,  5.0254,  0.0597,  29.0, 816.0
  201,     637,  5.0255,  0.0597,  29.0, 816.0
  202,     640,  5.0253,  0.0596,  29.0, 816.0
  203,     643,  5.0256,  0.0596,  29.0, 816.0
  204,     646,  5.0259,  0.0596,  29.0, 816.0
  205,     649,  5.0270,  0.0591,  29.0, 816.0
  206,     652,  5.0260,  0.0596,  29.0, 816.0
  207,     655,  5.0261,  0.0596,  29.0, 816.0
  208,     658,  5.0260,  0.0596,  29.0, 816.0
  209,     661,  5.0258,  0.0596,  29.0, 816.0
  210,     664,  5.0258,  0.0596,  28.5, 815.5
  211,     667,  5.0257,  0.0596,  28.5, 815.5
  212,     670,  5.0257,  0.0596,  28.5, 815.5
  213,     673,  5.0256,  0.0596,  28.5, 815.5
  214,     676,  5.0254,  0.0596,  28.5, 815.5
  215,     679,  5.0251,  0.0596,  28.5, 815.5
  216,     682,  5.0252,  0.0596,  28.5, 815.5
  217,     685,  5.0250,  0.0596,  28.5, 815.5
  218,     688,  5.0249,  0.0596,  28.5, 815.5
  219,     691,  5.0252,  0.0595,  28.5, 815.5
  220,     694,  5.0250,  0.0596,  28.5, 815.5
  221,     697,  5.0249,  0.0596,  28.5, 815.5
  222,     700,  5.0252,  0.0596,  28.5, 815.5
  223,     703,  5.0251,  0.0596,  28.5, 815.5
  224,     706,  5.0251,  0.0595,  28.5, 815.5
  225,     709,  5.0257,  0.0589,  29.0, 816.0
  226,     712,  5.0246,  0.0596,  29.0, 816.0
  227,     715,  5.0249,  0.0596,  29.0, 816.0
  228,     718,  5.0248,  0.0596,  29.0, 816.0
  229,     721,  5.0246,  0.0595,  29.0, 816.0
  230,     724,  5.0248,  0.0596,  29.0, 816.0
  231,     727,  5.0249,  0.0596,  29.0, 816.0
  232,     730,  5.0250,  0.0596,  29.0, 816.0
  233,     733,  5.0248,  0.0596,  29.0, 816.0
  234,     736,  5.0249,  0.0596,  29.0, 816.0
  235,     739,  5.0245,  0.0596,  29.0, 816.0
  236,     742,  5.0248,  0.0596,  29.0, 816.0
  237,     745,  5.0247,  0.0596,  29.0, 816.0
  238,     748,  5.0247,  0.0596,  29.0, 816.0
  239,     751,  5.0248,  0.0596,  29.0, 816.0
  240,     754,  5.0245,  0.0596,  29.0, 816.0
  241,     757,  5.0245,  0.0596,  28.5, 815.5
  242,     760,  5.0245,  0.0596,  29.0, 816.0
  243,     763,  5.0243,  0.0596,  28.5, 815.5
  244,     766,  5.0242,  0.0596,  28.5, 815.5
  245,     769,  5.0254,  0.0589,  29.0, 816.0
  246,     772,  5.0243,  0.0595,  28.5, 815.5
  247,     775,  5.0248,  0.0595,  29.0, 816.0
  248,     778,  5.0242,  0.0596,  28.5, 815.5
  249,     781,  5.0246,  0.0596,  28.5, 815.5
  250,     784,  5.0239,  0.0596,  29.0, 816.0
  251,     787,  5.0237,  0.0595,  28.5, 815.5
  252,     790,  5.0235,  0.0596,  28.5, 815.5
  253,     793,  5.0234,  0.0595,  28.5, 815.5
  254,     796,  5.0233,  0.0596,  28.5, 815.5
  255,     799,  5.0232,  0.0596,  28.5, 815.5
  256,     802,  5.0229,  0.0595,  28.5, 815.5
  257,     805,  5.0226,  0.0596,  28.5, 815.5
  258,     808,  5.0227,  0.0596,  28.5, 815.5
  259,     811,  5.0230,  0.0596,  28.5, 815.5
  260,     814,  5.0226,  0.0596,  28.5, 815.5
  261,     817,  5.0226,  0.0596,  28.5, 815.5
  262,     820,  5.0222,  0.0596,  28.5, 815.5
  263,     823,  5.0223,  0.0596,  28.5, 815.5
  264,     826,  5.0222,  0.0596,  28.5, 815.5
  265,     829,  5.0231,  0.0589,  28.5, 815.5
  266,     832,  5.0221,  0.0596,  28.5, 815.5
  267,     835,  5.0216,  0.0596,  28.5, 815.5
  268,     838,  5.0214,  0.0596,  28.5, 815.5
  269,     841,  5.0210,  0.0596,  28.5, 815.5
  270,     844,  5.0210,  0.0596,  28.5, 815.5
  271,     847,  5.0207,  0.0596,  28.5, 815.5
  272,     850,  5.0205,  0.0596,  28.5, 815.5
  273,     853,  5.0202,  0.0596,  28.5, 815.5
  274,     856,  5.0202,  0.0595,  28.5, 815.5
  275,     859,  5.0202,  0.0596,  28.5, 815.5
  276,     862,  5.0200,  0.0596,  28.5, 815.5
  277,     865,  5.0200,  0.0596,  28.5, 815.5
  278,     868,  5.0198,  0.0596,  28.5, 815.5
  279,     871,  5.0200,  0.0594,  28.5, 815.5
  280,     874,  5.0200,  0.0594,  28.5, 815.5
  281,     877,  5.0201,  0.0593,  28.5, 815.5
  282,     880,  5.0201,  0.0592,  28.5, 815.5
  283,     883,  5.0202,  0.0592,  28.5, 815.5
  284,     886,  5.0202,  0.0590,  28.5, 815.5
  285,     889,  5.0211,  0.0584,  28.5, 815.5
  286,     892,  5.0197,  0.0589,  28.5, 815.5
  287,     895,  5.0198,  0.0589,  28.5, 815.5
  288,     898,  5.0197,  0.0590,  28.5, 815.5
  289,     901,  5.0186,  0.0591,  28.5, 815.5
  290,     904,  5.0181,  0.0591,  28.5, 815.5
  291,     907,  5.0174,  0.0592,  28.5, 815.5
  292,     910,  5.0169,  0.0593,  28.5, 815.5
  293,     913,  5.0160,  0.0594,  28.5, 815.5
  294,     916,  5.0147,  0.0594,  28.5, 815.5
  295,     919,  5.0140,  0.0595,  28.5, 815.5
  296,     922,  5.0128,  0.0595,  28.5, 815.5
  297,     925,  5.0120,  0.0596,  28.5, 815.5
  298,     928,  5.0114,  0.0594,  28.5, 815.5
  299,     931,  5.0103,  0.0594,  28.5, 815.5
  300,     934,  5.0097,  0.0593,  28.5, 815.5
  301,     937,  5.0085,  0.0592,  28.5, 815.5
  302,     940,  5.0072,  0.0592,  28.5, 815.5
  303,     943,  5.0058,  0.0591,  28.5, 815.5
  304,     946,  5.0009,  0.0590,  28.5, 815.5
  305,     949,  4.9998,  0.0583,  28.5, 815.5
  306,     952,  4.9968,  0.0589,  28.5, 815.5
  307,     955,  4.9963,  0.0589,  28.5, 815.5
  308,     958,  4.9953,  0.0590,  28.5, 815.5
  309,     961,  4.9929,  0.0589,  28.5, 815.5
  310,     964,  4.9899,  0.0589,  28.5, 815.5
  311,     967,  4.9892,  0.0590,  28.5, 815.5
  312,     970,  4.9864,  0.0590,  28.5, 815.5
  313,     973,  4.9834,  0.0590,  28.5, 815.5
  314,     976,  4.9826,  0.0589,  28.5, 815.5
  315,     979,  4.9816,  0.0589,  28.5, 815.5
  316,     982,  4.9795,  0.0589,  28.5, 815.5
  317,     985,  4.9784,  0.0590,  28.5, 815.5
  318,     988,  4.9770,  0.0589,  28.5, 815.5
  319,     991,  4.9752,  0.0589,  28.5, 815.5
  320,     994,  4.9737,  0.0589,  28.5, 815.5
  321,     997,  4.9724,  0.0589,  28.5, 815.5
  322,    1000,  4.9714,  0.0589,  28.5, 815.5
  323,    1003,  4.9703,  0.0590,  28.5, 815.5
  324,    1006,  4.9694,  0.0591,  28.5, 815.5
  325,    1009,  4.9698,  0.0585,  28.5, 815.5
  326,    1012,  4.9677,  0.0592,  28.5, 815.5
  327,    1015,  4.9667,  0.0592,  28.5, 815.5
  328,    1018,  4.9641,  0.0592,  28.5, 815.5
  329,    1021,  4.9632,  0.0594,  28.5, 815.5
  330,    1024,  4.9619,  0.0595,  28.5, 815.5
  331,    1027,  4.9654,  0.0596,  28.5, 815.5
  332,    1030,  4.9658,  0.0596,  28.5, 815.5
  333,    1033,  4.9609,  0.0594,  28.5, 815.5
  334,    1036,  4.9598,  0.0593,  28.5, 815.5
  335,    1039,  4.9596,  0.0593,  28.5, 815.5
  336,    1042,  4.9591,  0.0592,  28.5, 815.5
  337,    1045,  4.9568,  0.0592,  28.5, 815.5
  338,    1048,  4.9579,  0.0591,  28.5, 815.5
  339,    1051,  4.9636,  0.0590,  28.5, 815.5
  340,    1054,  4.9499,  0.0589,  28.5, 815.5
  341,    1057,  4.9621,  0.0589,  28.5, 815.5
  342,    1060,  4.9644,  0.0589,  28.5, 815.5
  343,    1063,  4.9651,  0.0590,  28.5, 815.5
  344,    1066,  4.9694,  0.0589,  28.5, 815.5
  345,    1069,  4.9707,  0.0583,  28.5, 815.5
  346,    1072,  4.9689,  0.0589,  28.5, 815.5
  347,    1075,  4.9660,  0.0589,  28.5, 815.5
  348,    1078,  4.9653,  0.0589,  28.5, 815.5
  349,    1081,  4.9649,  0.0589,  28.5, 815.5
  350,    1084,  4.9644,  0.0589,  28.5, 815.5
  351,    1087,  4.9654,  0.0589,  28.5, 815.5
  352,    1090,  4.9719,  0.0589,  28.5, 815.5
  353,    1093,  4.9718,  0.0589,  28.5, 815.5
  354,    1096,  4.9731,  0.0590,  28.5, 815.5
  355,    1099,  4.9743,  0.0589,  28.5, 815.5
  356,    1102,  4.9707,  0.0589,  28.5, 815.5
  357,    1105,  4.9757,  0.0589,  28.5, 815.5
  358,    1108,  4.9727,  0.0589,  28.5, 815.5
  359,    1111,  4.9703,  0.0589,  28.5, 815.5
  360,    1114,  4.9675,  0.0589,  28.5, 815.5
  361,    1117,  4.9689,  0.0590,  28.5, 815.5
  362,    1120,  4.9700,  0.0591,  28.5, 815.5
  363,    1123,  4.9767,  0.0592,  28.5, 815.5
  364,    1126,  4.9729,  0.0592,  28.5, 815.5
  365,    1129,  4.9697,  0.0586,  28.5, 815.5
  366,    1132,  4.9638,  0.0594,  28.5, 815.5
  367,    1135,  4.9561,  0.0595,  28.5, 815.5
  368,    1138,  4.9582,  0.0596,  28.5, 815.5
  369,    1141,  4.9557,  0.0596,  28.5, 815.5
  370,    1144,  4.9541,  0.0596,  28.5, 815.5
  371,    1147,  4.9539,  0.0596,  28.5, 815.5
  372,    1150,  4.9496,  0.0596,  28.5, 815.5
  373,    1153,  4.9687,  0.0596,  28.5, 815.5
  374,    1156,  4.9721,  0.0596,  28.5, 815.5
  375,    1159,  4.9746,  0.0595,  28.5, 815.5
  376,    1162,  4.9775,  0.0596,  28.5, 815.5
  377,    1165,  4.9794,  0.0596,  28.5, 815.5
  378,    1168,  4.9869,  0.0595,  28.5, 815.5
  379,    1171,  4.9882,  0.0596,  28.5, 815.5
  380,    1174,  4.9892,  0.0596,  28.5, 815.5
  381,    1177,  4.9907,  0.0596,  28.5, 815.5
  382,    1180,  4.9922,  0.0596,  28.5, 815.5
  383,    1183,  4.9935,  0.0596,  28.5, 815.5
  384,    1186,  4.9947,  0.0596,  28.5, 815.5
  385,    1189,  4.9982,  0.0589,  28.5, 815.5
  386,    1192,  4.9967,  0.0596,  28.5, 815.5
  387,    1195,  4.9988,  0.0596,  28.5, 815.5
  388,    1198,  4.9996,  0.0596,  28.5, 815.5
  389,    1201,  5.0000,  0.0596,  28.5, 815.5
  390,    1204,  4.9997,  0.0596,  28.5, 815.5
  391,    1207,  4.9995,  0.0596,  28.5, 815.5
  392,    1210,  4.9992,  0.0596,  28.5, 815.5
  393,    1213,  4.9990,  0.0596,  28.5, 815.5
  394,    1216,  4.9989,  0.0596,  28.5, 815.5
  395,    1219,  4.9978,  0.0596,  28.5, 815.5
  396,    1222,  4.9982,  0.0595,  28.5, 815.5
  397,    1225,  4.9984,  0.0596,  28.5, 815.5
  398,    1228,  4.9982,  0.0596,  28.5, 815.5
  399,    1231,  4.9981,  0.0595,  28.5, 815.5
  400,    1234,  4.9976,  0.0596,  28.5, 815.5
  401,    1237,  4.9976,  0.0595,  28.5, 815.5
  402,    1240,  4.9977,  0.0596,  28.5, 815.5
  403,    1243,  4.9978,  0.0596,  28.5, 815.5
  404,    1246,  4.9976,  0.0596,  28.5, 815.5
  405,    1249,  4.9991,  0.0589,  28.5, 815.5
  406,    1252,  4.9976,  0.0596,  28.5, 815.5
  407,    1255,  4.9974,  0.0595,  28.5, 815.5
  408,    1258,  4.9976,  0.0596,  28.5, 815.5
  409,    1261,  4.9974,  0.0596,  28.5, 815.5
  410,    1264,  4.9978,  0.0595,  28.5, 815.5
  411,    1267,  4.9972,  0.0595,  28.5, 815.5
  412,    1270,  4.9973,  0.0596,  28.5, 815.5
  413,    1273,  4.9971,  0.0596,  28.5, 815.5
  414,    1276,  4.9972,  0.0596,  28.5, 815.5
  415,    1279,  4.9973,  0.0594,  28.5, 815.5
  416,    1282,  4.9972,  0.0596,  28.5, 815.5
  417,    1285,  4.9973,  0.0596,  28.5, 815.5
  418,    1288,  4.9973,  0.0596,  28.5, 815.5
  419,    1291,  4.9973,  0.0596,  28.5, 815.5
  420,    1294,  4.9983,  0.0593,  28.5, 815.5
  421,    1297,  4.9973,  0.0596,  28.5, 815.5
  422,    1300,  4.9967,  0.0596,  28.5, 815.5
  423,    1303,  4.9972,  0.0595,  28.5, 815.5
  424,    1306,  4.9973,  0.0596,  28.5, 815.5
  425,    1309,  4.9989,  0.0586,  28.5, 815.5
  426,    1312,  4.9968,  0.0596,  28.5, 815.5
