    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
    0,      32,  5.1473,  0.0000, 0.018, 0.013
    1,      35,  5.1483,  0.0000, 0.013, 0.005
    2,      38,  5.1468,  0.0000, 0.009, 0.000
    3,      41,  5.1465,  0.0000, 0.020, 0.011
    4,      44,  5.1465,  0.0000, 0.011, 0.003
    5,      47,  5.1463,  0.0000, 0.012, 0.000
    6,      50,  5.1468,  0.0000, 0.018, 0.014
    7,      53,  5.1472,  0.0000, 0.002, 0.000
    8,      56,  5.1462,  0.0000, 0.014, 0.007
    9,      59,  5.1484,  0.0000, 0.024, 0.017
   10,      62,  5.1482,  0.0000, 0.000, 0.000
   11,      65,  5.1476,  0.0000, 0.045, 0.039
   12,      68,  5.1836,  0.7181, 0.557, 0.581
   13,      71,  5.2001,  1.0567, 0.586, 0.587
   14,      74,  5.1954,  1.0549, 0.582, 0.577
   15,      77,  5.2420,  1.9994, 0.661, 0.676
   16,      80,  9.3817,  1.4355, 2.702, 2.702
   17,      83,  9.3824,  1.4440, 2.698, 2.698
   18,      86,  9.3779,  1.3095, 2.704, 2.704
   19,      89,  9.3782,  1.3120, 2.707, 2.707
   20,      92,  9.3811,  1.3146, 2.705, 2.705
   21,      95,  9.3817,  1.3180, 2.690, 2.690
   22,      98,  9.3815,  1.3206, 2.707, 2.707
   23,     101,  9.3813,  1.3232, 2.684, 2.684
   24,     104,  9.3810,  1.3258, 2.690, 2.690
   25,     107,  9.3825,  1.3283, 2.711, 2.711
   26,     110,  9.3828,  1.3300, 2.690, 2.690
   27,     113,  9.3817,  1.3292, 2.695, 2.695
   28,     116,  9.3825,  1.3309, 2.695, 2.695
   29,     119,  9.3826,  1.3318, 2.696, 2.696
   30,     122,  9.3823,  1.3343, 2.711, 2.711
   31,     125,  9.3817,  1.3360, 2.695, 2.695
   32,     128,  9.3815,  1.3386, 2.707, 2.707
   33,     131,  9.3812,  1.3395, 2.695, 2.695
   34,     134,  9.3817,  1.3472, 2.714, 2.714
   35,     137,  9.3817,  1.3429, 2.716, 2.716
   36,     140,  9.3817,  1.3446, 2.708, 2.708
   37,     143,  9.3819,  1.3463, 2.717, 2.717
   38,     146,  9.3819,  1.3472, 2.698, 2.698
   39,     149,  9.3816,  1.3489, 2.704, 2.704
   40,     152,  9.3816,  1.3498, 2.711, 2.711
   41,     155,  9.3813,  1.3506, 2.716, 2.716
   42,     158,  9.3815,  1.3523, 2.701, 2.701
   43,     161,  9.3817,  1.3532, 2.720, 2.720
