    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
    0,       8,  4.9906,  0.0000, 0.022, 0.022
    1,      11,  4.9929,  0.0000, 0.022, 0.022
    2,      14,  4.9926,  0.0000, 0.022, 0.022
    3,      17,  4.9934,  0.0000, 0.022, 0.022
    4,      20,  4.9921,  0.0000, 0.022, 0.023
    5,      23,  4.9939,  0.0000, 0.026, 0.030
    6,      26,  4.9926,  0.0000, 0.022, 0.022
    7,      29,  4.9949,  0.0000, 0.022, 0.023
    8,      32,  4.9936,  0.0000, 0.022, 0.022
    9,      35,  4.9934,  0.0000, 0.028, 0.030
   10,      38,  4.9931,  0.0000, 0.037, 0.024
   11,      41,  5.0733,  1.3893, 0.825, 0.825
   12,      44,  5.0269,  0.0707, 0.037, 0.036
   13,      47,  5.0438,  0.8917, 0.784, 3.136
   14,      50,  7.3011,  1.9339, 0.898, 3.236
   15,      53,  7.3001,  1.9420, 0.898, 3.235
   16,      56,  7.2888,  1.8375, 0.887, 3.225
   17,      59,  7.2898,  1.8405, 0.887, 3.225
   18,      62,  7.2921,  1.8478, 0.888, 3.226
   19,      65,  7.2921,  1.8482, 0.890, 3.226
   20,      68,  7.2921,  1.8476, 0.889, 3.226
   21,      71,  7.2931,  1.8494, 0.889, 3.225
   22,      74,  7.2938,  1.8574, 0.890, 3.227
   23,      77,  7.2936,  1.8577, 0.890, 3.227
   24,      80,  7.2936,  1.8545, 0.889, 3.226
   25,      83,  7.1013,  1.9343, 0.899, 3.234
   26,      86,  7.0986,  1.9146, 0.897, 3.232
   27,      89,  7.1006,  1.9202, 0.897, 3.233
   28,      92,  7.0998,  1.9168, 0.897, 3.232
   29,      95,  7.1008,  1.9179, 0.897, 3.232
   30,      98,  7.1016,  1.9187, 0.897, 3.232
   31,     101,  7.1018,  1.9266, 0.899, 3.234
   32,     104,  7.1086,  1.4353, 0.840, 3.181
   33,     107,  8.0581,  1.5986, 0.860, 3.201
   34,     110,  8.0565,  1.5990, 0.859, 3.200
   35,     113,  8.0586,  1.5952, 0.859, 3.201
   36,     116,  8.0606,  1.5993, 0.860, 3.202
   37,     119,  8.0606,  1.6171, 0.862, 3.203
   38,     122,  8.0576,  1.5959, 0.859, 3.200
   39,     125,  8.0555,  1.5962, 0.859, 3.200
   40,     128,  8.0571,  1.6006, 0.859, 3.201
   41,     131,  8.0603,  1.6000, 0.860, 3.201
   42,     134,  8.0573,  1.5967, 0.859, 3.201
   43,     137,  8.0583,  1.5970, 0.859, 3.201
   44,     140,  8.0578,  1.5970, 0.859, 3.200
   45,     143,  7.8585,  1.6428, 0.865, 3.205
   46,     146,  7.8603,  1.6430, 0.865, 3.205
   47,     149,  7.8585,  1.6396, 0.864, 3.205
   48,     152,  7.8603,  1.6396, 0.864, 3.205
   49,     155,  7.8593,  1.6394, 0.864, 3.205
   50,     158,  7.8603,  1.6440, 0.865, 3.205
   51,     161,  7.8588,  1.6438, 0.864, 3.206
   52,     164,  7.8585,  1.6396, 0.864, 3.205
   53,     167,  7.8613,  1.6608, 0.866, 3.206
   54,     170,  7.8618,  1.6421, 0.866, 3.206
   55,     173,  7.8593,  1.6445, 0.865, 3.205
   56,     176,  7.8605,  1.6561, 0.866, 3.207
   57,     179,  7.6665,  1.6876, 0.871, 3.211
   58,     182,  7.6637,  1.6835, 0.869, 3.209
