2015/03/08 17:38:43,U,I,Ah,Wh,T,S
2015/03/08 17:38:43,0.0000,0.0000,0.0000,0.0000,28.6,5
2015/03/08 17:38:44,5.2167,0.0000,0.0000,0.0000,28.6,6
2015/03/08 17:38:45,5.2166,0.0000,0.0000,0.0000,28.6,7
2015/03/08 17:38:47,5.2165,0.0000,0.0000,0.0000,28.6,8
2015/03/08 17:38:48,5.2164,0.0000,0.0000,0.0000,28.7,9
2015/03/08 17:38:49,5.2166,0.0000,0.0000,0.0000,28.7,10
2015/03/08 17:38:50,5.2163,0.0000,0.0000,0.0000,28.7,11
2015/03/08 17:38:51,5.2163,0.0000,0.0000,0.0000,28.7,13
2015/03/08 17:38:52,5.2164,0.0000,0.0000,0.0000,28.7,14
2015/03/08 17:38:53,5.2165,0.0000,0.0000,0.0000,28.7,15
2015/03/08 17:38:54,5.2166,0.0000,0.0000,0.0000,28.7,16
2015/03/08 17:38:55,5.2172,0.0007,0.0000,0.0002,28.7,17
2015/03/08 17:38:57,5.1628,0.5885,0.0002,0.0011,28.7,18
2015/03/08 17:38:58,5.1777,0.6767,0.0004,0.0021,28.7,19
2015/03/08 17:38:59,5.1926,0.7901,0.0006,0.0033,28.8,20
2015/03/08 17:39:00,5.2145,0.9351,0.0008,0.0046,28.7,21
2015/03/08 17:39:01,5.2422,1.0457,0.0013,0.0069,28.7,22
2015/03/08 17:39:02,5.2564,1.1106,0.0016,0.0085,28.7,23
2015/03/08 17:39:03,5.2515,1.0690,0.0019,0.0101,28.7,25
2015/03/08 17:39:04,5.2518,1.0744,0.0022,0.0116,28.8,26
2015/03/08 17:39:06,5.2519,1.0777,0.0026,0.0140,28.7,27
2015/03/08 17:39:07,5.2518,1.0810,0.0029,0.0156,28.8,28
2015/03/08 17:39:08,5.2519,1.0859,0.0034,0.0179,28.8,29
2015/03/08 17:39:09,5.2524,1.0870,0.0037,0.0195,28.8,30
2015/03/08 17:39:10,5.2527,1.0888,0.0040,0.0211,28.8,31
2015/03/08 17:39:11,5.2539,1.0923,0.0043,0.0227,28.8,33
2015/03/08 17:39:12,5.2560,1.0945,0.0046,0.0243,28.8,34
2015/03/08 17:39:13,5.2611,1.1015,0.0049,0.0259,28.8,35
2015/03/08 17:39:14,5.2638,1.1052,0.0054,0.0284,28.8,36
2015/03/08 17:39:16,5.2646,1.1080,0.0057,0.0300,28.8,37
2015/03/08 17:39:17,5.2648,1.1099,0.0060,0.0316,28.8,38
