    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,    16,  5.1604,  0.0000,  18.3, 805.3
    1,    26,  5.1602,  0.0000,  18.3, 805.3
    2,    36,  5.1607,  0.0000,  18.4, 805.4
    3,    46,  5.1614, -0.0001,  18.5, 805.5
    4,    56,  5.1615,  0.0000,  18.5, 805.5
    5,    66,  5.1616,  0.0000,  18.5, 805.5
    6,    76,  5.4185,  1.9326,  18.5, 805.5
    7,    86,  5.4316,  1.9285,  18.5, 805.5
    8,    96,  5.4373,  1.9319,  18.5, 805.5
    9,   106,  5.4412,  1.9335,  18.5, 805.5
   10,   116,  5.4437,  1.9335,  18.5, 805.5
   11,   126,  5.4459,  1.9339,  18.5, 805.5
   12,   136,  5.4481,  1.9332,  18.5, 805.5
   13,   146,  5.4497,  1.9350,  18.5, 805.5
   14,   156,  5.4510,  1.9352,  18.5, 805.5
   15,   166,  5.4532,  1.9358,  18.5, 805.5
   16,   176,  5.4541,  1.9358,  18.5, 805.5
   17,   186,  5.4551,  1.9380,  18.5, 805.5
   18,   196,  5.4563,  1.9373,  18.6, 805.6
   19,   206,  5.4573,  1.9376,  18.6, 805.6
   20,   216,  5.4584,  1.9372,  18.6, 805.6
   21,   226,  5.4595,  1.9384,  18.6, 805.6
   22,   236,  5.4607,  1.9373,  18.6, 805.6
   23,   246,  5.4614,  1.9390,  18.7, 805.7
   24,   256,  5.4623,  1.9399,  18.7, 805.7
   25,   266,  5.4634,  1.9413,  18.8, 805.8
   26,   276,  5.4643,  1.9411,  18.8, 805.8
   27,   286,  5.4651,  1.9406,  18.8, 805.8
   28,   296,  5.4656,  1.9416,  18.9, 805.9
   29,   306,  5.4665,  1.9422,  18.9, 805.9
   30,   316,  5.4672,  1.9421,  19.0, 806.0
   31,   326,  5.4681,  1.9419,  19.0, 806.0
   32,   336,  5.4687,  1.9407,  19.0, 806.0
   33,   346,  5.4696,  1.9411,  19.1, 806.1
   34,   356,  5.4700,  1.9421,  19.1, 806.1
   35,   366,  5.4711,  1.9414,  19.1, 806.1
   36,   376,  5.4716,  1.9423,  19.1, 806.1
   37,   386,  5.4724,  1.9425,  19.2, 806.2
   38,   396,  5.4730,  1.9425,  19.3, 806.3
   39,   406,  5.4734,  1.9428,  19.3, 806.3
   40,   416,  5.4739,  1.9428,  19.4, 806.4
   41,   426,  5.4747,  1.9428,  19.5, 806.5
   42,   436,  5.4753,  1.9423,  19.5, 806.5
   43,   446,  5.4760,  1.9430,  19.5, 806.5
   44,   456,  5.4766,  1.9438,  19.6, 806.6
   45,   466,  5.4768,  1.9443,  19.6, 806.6
   46,   476,  5.4773,  1.9437,  19.7, 806.7
   47,   486,  5.4781,  1.9414,  19.8, 806.8
   48,   496,  5.4784,  1.9414,  19.8, 806.8
   49,   506,  5.4792,  1.9408,  19.8, 806.8
   50,   516,  5.4796,  1.9411,  19.9, 806.9
   51,   526,  5.4801,  1.9370,  20.0, 807.0
   52,   536,  5.4808,  1.9371,  20.0, 807.0
   53,   546,  5.4813,  1.9371,  20.0, 807.0
   54,   556,  5.4813,  1.9370,  20.1, 807.1
   55,   566,  5.4815,  1.9414,  20.1, 807.1
   56,   576,  5.4820,  1.9414,  20.1, 807.1
   57,   586,  5.4826,  1.9377,  20.2, 807.2
   58,   596,  5.4826,  1.9425,  20.2, 807.2
   59,   606,  5.4834,  1.9381,  20.3, 807.3
   60,   616,  5.4836,  1.9391,  20.3, 807.3
   61,   626,  5.4839,  1.9419,  20.4, 807.4
   62,   636,  5.4842,  1.9417,  20.4, 807.4
   63,   646,  5.4850,  1.9382,  20.5, 807.5
   64,   656,  5.4847,  1.9459,  20.5, 807.5
   65,   666,  5.4850,  1.9442,  20.5, 807.5
   66,   676,  5.4854,  1.9459,  20.6, 807.6
   67,   686,  5.4860,  1.9428,  20.6, 807.6
   68,   696,  5.4865,  1.9424,  20.6, 807.6
   69,   706,  5.4866,  1.9430,  20.6, 807.6
   70,   716,  5.4870,  1.9419,  20.7, 807.7
