    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,    17,  5.0106,  0.0005,  30.1, 817.1
    1,    18,  5.0101,  0.0005,  30.1, 817.1
    2,    18,  5.0108,  0.0005,  30.1, 817.1
    3,    18,  5.0106,  0.0005,  30.1, 817.1
    4,    19,  5.0102,  0.0005,  30.1, 817.1
    5,    19,  5.0104,  0.0005,  30.1, 817.1
    6,    19,  5.0107,  0.0005,  30.1, 817.1
    7,    20,  5.0104,  0.0005,  30.1, 817.1
    8,    20,  5.0106,  0.0005,  30.1, 817.1
    9,    20,  5.0106,  0.0005,  30.1, 817.1
   10,    21,  5.0107,  0.0005,  30.1, 817.1
   11,    21,  5.0108,  0.0005,  30.1, 817.1
   12,    21,  5.0103,  0.0005,  30.1, 817.1
   13,    22,  5.0106,  0.0005,  30.1, 817.1
   14,    22,  5.0108,  0.0005,  30.1, 817.1
   15,    22,  5.0109,  0.0005,  30.1, 817.1
   16,    23,  5.0108,  0.0005,  30.1, 817.1
   17,    23,  5.0106,  0.0005,  30.1, 817.1
   18,    23,  5.0107,  0.0005,  30.1, 817.1
   19,    24,  5.0106,  0.0005,  30.1, 817.1
   20,    24,  5.0103,  0.0005,  30.1, 817.1
   21,    24,  5.0105,  0.0005,  30.1, 817.1
   22,    25,  5.0108,  0.0005,  30.1, 817.1
   23,    25,  5.0107,  0.0005,  30.1, 817.1
   24,    25,  5.0107,  0.0005,  30.1, 817.1
   25,    26,  5.0112,  0.0005,  30.1, 817.1
   26,    26,  5.0110,  0.0005,  30.1, 817.1
   27,    26,  5.0108,  0.0005,  30.1, 817.1
   28,    27,  4.9959,  0.3542,  30.1, 817.1
   29,    27,  4.9596,  0.9866,  30.1, 817.1
   30,    27,  4.9599,  0.9875,  30.1, 817.1
   31,    28,  4.9591,  0.9876,  30.1, 817.1
   32,    28,  4.9587,  0.9878,  30.1, 817.1
   33,    28,  4.9583,  0.9878,  30.1, 817.1
   34,    29,  4.9583,  0.9878,  30.1, 817.1
   35,    29,  4.9580,  0.9879,  30.1, 817.1
   36,    29,  4.9580,  0.9879,  30.1, 817.1
   37,    30,  4.9579,  0.9880,  30.1, 817.1
   38,    30,  4.9578,  0.9880,  30.1, 817.1
   39,    30,  4.9579,  0.9882,  30.1, 817.1
   40,    31,  4.9579,  0.9881,  30.1, 817.1
   41,    31,  4.9574,  0.9882,  30.1, 817.1
   42,    31,  4.9572,  0.9882,  30.1, 817.1
   43,    32,  4.9571,  0.9882,  30.1, 817.1
   44,    32,  4.9571,  0.9882,  30.1, 817.1
   45,    32,  4.9573,  0.9884,  30.1, 817.1
   46,    33,  4.9569,  0.9884,  30.1, 817.1
   47,    33,  4.9572,  0.9884,  30.1, 817.1
   48,    33,  4.9572,  0.9885,  30.1, 817.1
   49,    34,  4.9569,  0.9885,  30.2, 817.2
