    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,  1046,  5.0116,  0.0000,  30.6, 817.6
    1,  1046,  5.0118,  0.0000,  30.6, 817.6
    2,  1047,  5.0115,  0.0000,  30.6, 817.6
    3,  1047,  5.0115,  0.0000,  30.6, 817.6
    4,  1047,  5.0115,  0.0000,  30.6, 817.6
    5,  1048,  5.0116,  0.0000,  30.6, 817.6
    6,  1048,  5.0110,  0.0000,  30.6, 817.6
    7,  1048,  5.0113,  0.0000,  30.6, 817.6
    8,  1049,  5.0114,  0.0000,  30.6, 817.6
    9,  1049,  5.0114,  0.0000,  30.6, 817.6
   10,  1049,  5.0113,  0.0000,  30.6, 817.6
   11,  1050,  5.0115,  0.0000,  30.6, 817.6
   12,  1050,  5.0109,  0.0006,  30.6, 817.6
   13,  1050,  5.0109,  0.0005,  30.6, 817.6
   14,  1051,  5.0111,  0.0005,  30.6, 817.6
   15,  1051,  5.0110,  0.0005,  30.6, 817.6
   16,  1051,  5.0108,  0.0005,  30.6, 817.6
   17,  1052,  5.0109,  0.0005,  30.6, 817.6
   18,  1052,  5.0105,  0.0005,  30.6, 817.6
   19,  1052,  4.9927,  0.2119,  30.6, 817.6
   20,  1053,  4.9280,  0.9760,  30.6, 817.6
   21,  1053,  4.9280,  0.9769,  30.6, 817.6
   22,  1053,  4.9277,  0.9771,  30.6, 817.6
   23,  1054,  4.9274,  0.9773,  30.6, 817.6
   24,  1054,  4.9276,  0.9775,  30.6, 817.6
   25,  1054,  4.9279,  0.9778,  30.6, 817.6
   26,  1055,  4.9277,  0.9779,  30.6, 817.6
   27,  1055,  4.9279,  0.9780,  30.6, 817.6
   28,  1055,  4.9281,  0.9783,  30.6, 817.6
   29,  1056,  4.9278,  0.9784,  30.6, 817.6
   30,  1056,  4.9283,  0.9785,  30.6, 817.6
   31,  1056,  4.9279,  0.9786,  30.6, 817.6
   32,  1057,  4.9280,  0.9787,  30.6, 817.6
   33,  1057,  4.9286,  0.9789,  30.6, 817.6
   34,  1057,  4.9283,  0.9787,  30.6, 817.6
   35,  1058,  4.9282,  0.9788,  30.6, 817.6
   36,  1058,  4.9284,  0.9788,  30.6, 817.6
   37,  1058,  4.9283,  0.9795,  30.6, 817.6
   38,  1059,  4.9286,  0.9796,  30.6, 817.6
   39,  1059,  4.9149,  1.1615,  30.6, 817.6
   40,  1059,  4.8680,  1.7988,  30.6, 817.6
   41,  1060,  4.8699,  1.8007,  30.6, 817.6
   42,  1060,  4.8717,  1.8020,  30.6, 817.6
   43,  1060,  4.8740,  1.8031,  30.6, 817.6
   44,  1061,  4.8776,  1.8047,  30.6, 817.6
   45,  1061,  4.8802,  1.8063,  30.6, 817.6
   46,  1061,  4.8822,  1.8074,  30.6, 817.6
   47,  1062,  4.8836,  1.8083,  30.6, 817.6
   48,  1062,  4.8848,  1.8090,  30.6, 817.6
   49,  1062,  4.8327,  2.6083,  30.6, 817.6
   50,  1063,  4.8398,  2.6119,  30.6, 817.6
   51,  1063,  4.8454,  2.6160,  30.6, 817.6
   52,  1063,  4.8477,  2.6185,  30.6, 817.6
   53,  1064,  4.8500,  2.6205,  30.6, 817.6
   54,  1064,  4.8513,  2.6217,  30.6, 817.6
   55,  1064,  4.8528,  2.6244,  30.6, 817.6
   56,  1065,  4.8528,  2.6243,  30.6, 817.6
   57,  1065,  4.8052,  3.2710,  30.6, 817.6
   58,  1065,  4.8075,  3.2592,  30.6, 817.6
   59,  1066,  4.8114,  3.2675,  30.6, 817.6
   60,  1066,  4.8128,  3.2684,  30.6, 817.6
   61,  1066,  4.8140,  3.2695,  30.6, 817.6
   62,  1067,  4.8159,  3.2711,  30.6, 817.6
   63,  1067,  4.8163,  3.2720,  30.6, 817.6
   64,  1067,  4.8162,  3.2811,  30.6, 817.6
