    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,   589,  0.0000,  0.0022,  22.5,  22.5
    1,   590,  0.0000,  0.0022,  22.5,  22.5
    2,   591,  0.0000,  0.0022,  22.5,  22.5
    3,   592,  0.0000,  0.0022,  22.5,  22.5
    4,   593,  0.0000,  0.0022,  22.5,  22.5
    5,   594,  0.0000,  0.0022,  22.5,  22.5
    6,   595,  0.0000,  0.0022,  22.5,  22.5
    7,   596,  0.0000,  0.0022,  22.5,  22.5
    8,   597,  0.0000,  0.0022,  22.5,  22.5
    9,   598,  0.0000,  0.0022,  22.5,  22.5
   10,   599,  0.0000,  0.0022,  22.5,  22.5
   11,   600,  0.0000,  0.0022,  22.5,  22.5
   12,   601,  0.0000,  0.0022,  22.5,  22.5
   13,   602,  0.0000,  0.0022,  22.5,  22.5
   14,   603,  0.0000,  0.0022,  22.5,  22.5
   15,   604,  0.0000,  0.0022,  22.5,  22.5
   16,   605,  0.0000,  0.0022,  22.5,  22.5
   17,   606,  0.0000,  0.0022,  22.5,  22.5
   18,   607,  0.0000,  0.0022,  22.5,  22.5
   19,   608,  0.0000,  0.0022,  23.0,  23.0
   20,   609,  0.0000,  0.0022,  23.0,  23.0
   21,   610,  0.0000,  0.0022,  23.0,  23.0
   22,   611,  0.0000,  0.0022,  23.0,  23.0
   23,   612,  0.0000,  0.0022,  23.0,  23.0
   24,   613,  0.0000,  0.0022,  23.0,  23.0
   25,   614,  0.0000,  0.0022,  23.0,  23.0
   26,   615,  0.0000,  0.0022,  23.0,  23.0
   27,   616,  0.0000,  0.0022,  23.0,  23.0
   28,   617,  0.0000,  0.0022,  23.0,  23.0
   29,   618,  0.0000,  0.0021,  23.0,  23.0
   30,   619,  0.0000,  0.0022,  23.0,  23.0
   31,   620,  0.0000,  0.0022,  23.0,  23.0
   32,   621,  0.0000,  0.0021,  23.0,  23.0
   33,   622,  0.0000,  0.0022,  23.0,  23.0
   34,   623, -0.0072,  0.4230,  23.0,  19.4
   35,   624, -0.0205,  1.3666,  23.0,  12.7
   36,   625, -0.0243,  1.6155,  23.0,  10.8
   37,   626, -0.0242,  1.6147,  23.0,  10.9
   38,   627, -0.0243,  1.6165,  23.0,  10.8
   39,   628, -0.0244,  1.6220,  23.0,  10.8
   40,   629, -0.0240,  1.5996,  23.0,  11.0
   41,   630, -0.0240,  1.5967,  23.0,  11.0
   42,   631, -0.0270,  1.7892,  23.0,   9.4
   43,   632, -0.0264,  1.7582,  23.0,   9.7
   44,   633, -0.0266,  1.7664,  23.0,   9.6
   45,   634, -0.0265,  1.7645,  23.0,   9.7
   46,   635, -0.0265,  1.7698,  23.0,   9.7
   47,   636, -0.0275,  1.8387,  23.0,   9.2
   48,   637, -0.0276,  1.8390,  23.0,   9.1
   49,   638, -0.0275,  1.8395,  23.0,   9.2
   50,   639, -0.0276,  1.8395,  23.0,   9.1
   51,   640, -0.0276,  1.8392,  23.0,   9.1
   52,   641, -0.0277,  1.8405,  23.0,   9.1
   53,   642, -0.0276,  1.8401,  23.0,   9.1
   54,   643, -0.0277,  1.8414,  23.0,   9.1
   55,   644, -0.0276,  1.8411,  23.0,   9.1
   56,   645, -0.0276,  1.8421,  23.0,   9.1
   57,   646, -0.0276,  1.8420,  23.0,   9.1
   58,   647, -0.0276,  1.8420,  23.0,   9.1
   59,   648, -0.0276,  1.8426,  23.0,   9.1
   60,   649, -0.0276,  1.8427,  23.0,   9.1
   61,   650, -0.0276,  1.8432,  23.0,   9.1
   62,   651, -0.0276,  1.8436,  23.0,   9.1
   63,   652, -0.0277,  1.8441,  23.0,   9.1
   64,   653, -0.0277,  1.8445,  23.0,   9.1
   65,   654, -0.0277,  1.8449,  23.0,   9.1
   66,   655, -0.0277,  1.8447,  23.0,   9.1
   67,   656, -0.0277,  1.8452,  23.0,   9.1
   68,   657, -0.0278,  1.8452,  23.0,   9.0
   69,   658, -0.0277,  1.8458,  23.0,   9.1
   70,   659, -0.0277,  1.8458,  23.0,   9.1
   71,   660, -0.0277,  1.8464,  23.0,   9.1
   72,   661, -0.0277,  1.8459,  23.0,   9.1
   73,   662, -0.0277,  1.8471,  23.0,   9.1
   74,   663, -0.0278,  1.8467,  23.0,   9.0
   75,   664, -0.0278,  1.8475,  23.0,   9.0
   76,   665, -0.0277,  1.8467,  23.0,   9.1
   77,   666, -0.0278,  1.8480,  23.0,   9.0
   78,   667, -0.0277,  1.8478,  23.0,   9.1
   79,   668, -0.0278,  1.8487,  23.0,   9.0
   80,   669, -0.0277,  1.8481,  23.0,   9.1
   81,   670, -0.0278,  1.8489,  23.0,   9.0
   82,   671, -0.0278,  1.8484,  23.0,   9.0
   83,   672, -0.0278,  1.8499,  23.0,   9.0
   84,   673, -0.0278,  1.8488,  23.0,   9.0
   85,   674, -0.0278,  1.8502,  23.0,   9.0
   86,   675, -0.0278,  1.8494,  23.0,   9.0
   87,   676, -0.0278,  1.8503,  23.0,   9.0
   88,   677, -0.0278,  1.8496,  23.0,   9.0
   89,   678, -0.0278,  1.8508,  23.0,   9.0
   90,   679, -0.0278,  1.8502,  23.0,   9.0
   91,   680, -0.0279,  1.8511,  23.0,   9.0
   92,   681, -0.0279,  1.8504,  23.0,   9.0
   93,   682, -0.0279,  1.8514,  23.0,   9.0
   94,   683, -0.0279,  1.8510,  23.0,   9.0
   95,   684, -0.0279,  1.8518,  23.0,   9.0
   96,   685, -0.0278,  1.8516,  23.0,   9.0
   97,   686, -0.0278,  1.8517,  23.0,   9.0
   98,   687, -0.0278,  1.8522,  23.0,   9.0
   99,   688, -0.0279,  1.8522,  23.0,   9.0
  100,   689, -0.0279,  1.8527,  23.0,   9.0
  101,   690, -0.0279,  1.8526,  23.0,   9.0
  102,   691, -0.0279,  1.8531,  23.0,   9.0
  103,   692, -0.0279,  1.8528,  23.0,   9.0
  104,   693, -0.0279,  1.8531,  23.0,   9.0
  105,   694, -0.0279,  1.8531,  23.0,   9.0
  106,   695, -0.0279,  1.8534,  23.0,   9.0
  107,   696, -0.0279,  1.8535,  23.0,   9.0
  108,   697, -0.0279,  1.8538,  23.0,   9.0
  109,   698, -0.0279,  1.8538,  23.0,   9.0
  110,   699, -0.0279,  1.8543,  23.0,   9.0
  111,   700, -0.0279,  1.8540,  23.0,   9.0
  112,   701, -0.0279,  1.8542,  23.0,   9.0
  113,   702, -0.0279,  1.8543,  23.0,   9.0
  114,   703, -0.0279,  1.8547,  23.0,   9.0
  115,   704, -0.0280,  1.8547,  23.0,   8.9
  116,   705, -0.0279,  1.8551,  23.0,   9.0
  117,   706, -0.0279,  1.8549,  23.0,   9.0
  118,   707, -0.0280,  1.8557,  23.0,   8.9
  119,   708, -0.0280,  1.8553,  23.0,   8.9
  120,   709, -0.0280,  1.8559,  23.0,   8.9
  121,   710, -0.0278,  1.8551,  23.0,   9.0
  122,   711, -0.0279,  1.8561,  23.0,   9.0
  123,   712, -0.0279,  1.8554,  23.0,   9.0
  124,   713, -0.0280,  1.8564,  23.0,   8.9
  125,   714, -0.0280,  1.8556,  23.0,   8.9
  126,   715, -0.0280,  1.8564,  23.0,   8.9
  127,   716, -0.0280,  1.8557,  23.0,   8.9
  128,   717, -0.0280,  1.8574,  23.0,   8.9
  129,   718,  0.0000,  0.0023,  23.0,  23.0
  130,   719,  0.0000,  0.0022,  23.0,  23.0
  131,   720,  0.0000,  0.0022,  23.0,  23.0
  132,   721,  0.0000,  0.0022,  23.0,  23.0
  133,   722,  0.0000,  0.0022,  23.0,  23.0
  134,   723,  0.0000,  0.0022,  23.0,  23.0
  135,   724,  0.0000,  0.0022,  23.0,  23.0
  136,   725,  0.0000,  0.0022,  23.0,  23.0
  137,   726,  0.0000,  0.0022,  23.0,  23.0
  138,   727, -0.0001,  0.0022,  23.0,  22.9
  139,   728, -0.0001,  0.0022,  23.0,  22.9
  140,   729,  0.0000,  0.0022,  23.0,  23.0
  141,   730,  0.0000,  0.0022,  23.0,  23.0
  142,   731,  0.0000,  0.0022,  23.0,  23.0
  143,   732, -0.0001,  0.0022,  23.0,  22.9
  144,   733,  0.0000,  0.0022,  23.0,  23.0
  145,   734,  0.0000,  0.0022,  23.0,  23.0
  146,   735,  0.0000,  0.0022,  23.0,  23.0
  147,   736,  0.0000,  0.0022,  23.0,  23.0
  148,   737,  0.0000,  0.0022,  23.0,  23.0
  149,   738,  0.0000,  0.0022,  23.0,  23.0
  150,   739,  0.0000,  0.0021,  23.0,  23.0
  151,   740,  0.0000,  0.0022,  23.0,  23.0
  152,   741,  0.0000,  0.0022,  23.0,  23.0
  153,   742,  0.0000,  0.0022,  23.0,  23.0
  154,   743,  0.0000,  0.0022,  23.0,  23.0
  155,   744,  0.0000,  0.0022,  23.0,  23.0
  156,   745,  0.0000,  0.0022,  23.0,  23.0
  157,   746,  0.0000,  0.0022,  23.0,  23.0
  158,   747,  0.0000,  0.0022,  23.0,  23.0
  159,   748,  0.0000,  0.0022,  23.0,  23.0
  160,   749,  0.0000,  0.0022,  23.0,  23.0
  161,   750,  0.0000,  0.0022,  23.0,  23.0
  162,   751, -0.0001,  0.0021,  23.0,  22.9
  163,   752,  0.0000,  0.0022,  23.0,  23.0
  164,   753,  0.0000,  0.0021,  23.0,  23.0
  165,   754,  0.0000,  0.0022,  23.0,  23.0
  166,   755, -0.0001,  0.0022,  23.0,  22.9
  167,   756,  0.0000,  0.0022,  23.0,  23.0
  168,   757,  0.0000,  0.0021,  23.0,  23.0
  169,   758,  0.0000,  0.0021,  23.0,  23.0
  170,   759,  0.0000,  0.0022,  23.0,  23.0
  171,   760, -0.0001,  0.0022,  23.0,  22.9
  172,   761,  0.0000,  0.0022,  23.0,  23.0
  173,   762,  0.0000,  0.0022,  23.0,  23.0
  174,   763,  0.0000,  0.0021,  23.0,  23.0
  175,   764,  0.0000,  0.0021,  23.0,  23.0
  176,   765,  0.0000,  0.0022,  23.0,  23.0
  177,   766,  0.0000,  0.0022,  23.0,  23.0
  178,   767,  0.0000,  0.0022,  23.0,  23.0
  179,   768,  0.0000,  0.0022,  23.0,  23.0
