    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,       9,  5.1463,  0.0000,  26.0, 813.0
    1,      14,  5.1462,  0.0000,  26.0, 813.0
    2,      19,  5.1452,  0.0000,  26.0, 813.0
    3,      24,  5.1475,  0.0000,  26.0, 813.0
    4,      29,  5.1494,  0.0000,  26.0, 813.0
    5,      34,  5.1484,  0.0000,  26.0, 813.0
    6,      39,  5.0805,  0.4641,  26.0, 813.0
    7,      44,  5.0785,  0.4218,  26.0, 813.0
    8,      49,  5.0825,  0.4558,  26.0, 813.0
    9,      54,  5.0819,  0.4211,  25.5, 812.5
   10,      59,  5.0823,  0.4222,  25.5, 812.5
   11,      64,  5.0830,  0.4223,  25.5, 812.5
   12,      69,  5.0830,  0.4241,  25.5, 812.5
   13,      74,  5.0839,  0.4226,  25.5, 812.5
   14,      79,  5.0841,  0.4228,  25.5, 812.5
   15,      84,  5.0845,  0.4229,  25.5, 812.5
   16,      89,  5.0847,  0.4230,  25.5, 812.5
   17,      94,  5.0850,  0.4232,  25.5, 812.5
   18,      99,  5.0849,  0.4234,  25.5, 812.5
   19,     104,  5.0852,  0.4235,  25.5, 812.5
   20,     109,  5.0854,  0.4235,  25.5, 812.5
   21,     114,  5.0856,  0.4236,  25.5, 812.5
   22,     119,  5.0859,  0.4237,  25.5, 812.5
   23,     124,  5.0860,  0.4238,  25.5, 812.5
   24,     129,  5.0860,  0.4240,  25.5, 812.5
   25,     134,  5.0863,  0.4240,  25.5, 812.5
   26,     139,  5.0862,  0.4240,  25.0, 812.0
   27,     144,  5.0864,  0.4241,  25.0, 812.0
   28,     149,  5.0868,  0.4242,  25.0, 812.0
   29,     154,  5.0868,  0.4242,  25.0, 812.0
   30,     159,  5.0871,  0.4244,  25.0, 812.0
   31,     164,  5.0871,  0.4244,  25.0, 812.0
   32,     169,  5.0874,  0.4245,  25.0, 812.0
   33,     174,  5.0874,  0.4245,  25.0, 812.0
   34,     179,  5.0875,  0.4246,  25.0, 812.0
   35,     184,  5.0876,  0.4246,  25.0, 812.0
   36,     189,  5.0881,  0.4247,  25.0, 812.0
   37,     194,  5.0880,  0.4249,  25.0, 812.0
   38,     199,  5.0881,  0.4249,  25.0, 812.0
   39,     204,  5.0887,  0.4249,  25.0, 812.0
   40,     209,  5.0885,  0.4249,  25.0, 812.0
   41,     214,  5.0887,  0.4249,  25.0, 812.0
   42,     219,  5.0889,  0.4265,  25.0, 812.0
   43,     224,  5.0889,  0.4250,  25.0, 812.0
   44,     229,  5.0892,  0.4251,  25.0, 812.0
   45,     234,  5.0893,  0.4251,  25.0, 812.0
   46,     239,  5.0892,  0.4252,  25.0, 812.0
   47,     244,  5.0892,  0.4252,  25.0, 812.0
   48,     249,  5.0890,  0.4263,  25.0, 812.0
   49,     254,  5.0893,  0.4253,  25.0, 812.0
   50,     259,  5.0895,  0.4255,  25.0, 812.0
   51,     264,  5.0895,  0.4254,  25.0, 812.0
   52,     269,  5.0897,  0.4255,  25.0, 812.0
   53,     274,  5.0898,  0.4255,  25.0, 812.0
   54,     279,  5.0900,  0.4275,  25.0, 812.0
   55,     284,  5.0903,  0.4255,  25.0, 812.0
   56,     289,  5.0903,  0.4258,  25.0, 812.0
   57,     294,  5.0904,  0.4255,  25.0, 812.0
   58,     299,  5.0904,  0.4256,  25.0, 812.0
   59,     304,  5.0908,  0.4256,  25.0, 812.0
   60,     309,  5.0908,  0.4257,  25.0, 812.0
   61,     314,  5.0907,  0.4259,  25.0, 812.0
   62,     319,  5.0911,  0.4258,  25.0, 812.0
   63,     324,  5.0913,  0.4259,  25.0, 812.0
   64,     329,  5.0913,  0.4259,  25.0, 812.0
   65,     334,  5.0913,  0.4259,  25.0, 812.0
   66,     339,  5.0911,  0.4263,  25.0, 812.0
   67,     344,  5.0919,  0.4259,  25.0, 812.0
   68,     349,  5.0920,  0.4260,  25.0, 812.0
   69,     354,  5.0920,  0.4261,  24.5, 811.5
   70,     359,  5.0925,  0.4260,  24.5, 811.5
   71,     364,  5.0923,  0.4261,  25.0, 812.0
   72,     369,  5.0921,  0.4262,  24.5, 811.5
   73,     374,  5.0925,  0.4262,  24.5, 811.5
   74,     379,  5.0929,  0.4262,  24.5, 811.5
   75,     384,  5.0928,  0.4263,  24.5, 811.5
   76,     389,  5.0929,  0.4263,  24.5, 811.5
   77,     394,  5.0931,  0.4263,  24.5, 811.5
   78,     399,  5.0931,  0.4263,  24.5, 811.5
   79,     404,  5.0931,  0.4264,  24.5, 811.5
   80,     409,  5.0935,  0.4263,  24.5, 811.5
   81,     414,  5.0933,  0.4265,  24.5, 811.5
   82,     419,  5.0936,  0.4264,  24.5, 811.5
   83,     424,  5.0937,  0.4265,  24.5, 811.5
   84,     429,  5.0939,  0.4265,  24.5, 811.5
   85,     434,  5.0940,  0.4265,  24.5, 811.5
   86,     439,  5.0939,  0.4266,  24.5, 811.5
   87,     444,  5.0943,  0.4266,  24.5, 811.5
   88,     449,  5.0945,  0.4267,  24.5, 811.5
   89,     454,  5.0944,  0.4267,  24.5, 811.5
   90,     459,  5.0951,  0.4267,  24.5, 811.5
   91,     464,  5.0946,  0.4268,  24.5, 811.5
   92,     469,  5.0947,  0.4268,  24.5, 811.5
   93,     474,  5.0946,  0.4268,  24.5, 811.5
   94,     479,  5.0948,  0.4268,  24.5, 811.5
   95,     484,  5.0952,  0.4268,  24.5, 811.5
