    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,       8,  4.9644,  0.0000,  28.5, 815.5
    1,      11,  4.9644,  0.0000,  28.5, 815.5
    2,      14,  4.9643,  0.0000,  28.5, 815.5
    3,      17,  4.9644,  0.0000,  28.5, 815.5
    4,      20,  4.9644,  0.0000,  28.5, 815.5
    5,      23,  4.9643,  0.0000,  28.5, 815.5
    6,      26,  4.9644,  0.0000,  28.5, 815.5
    7,      29,  4.9645,  0.0000,  28.5, 815.5
    8,      32,  4.9644,  0.0000,  28.5, 815.5
    9,      35,  4.9644,  0.0000,  28.5, 815.5
   10,      38,  4.9646,  0.0000,  28.5, 815.5
   11,      41,  4.9645,  0.0000,  28.5, 815.5
   12,      44,  4.9510,  0.0546,  28.5, 815.5
   13,      47,  4.9508,  0.0546,  28.5, 815.5
   14,      50,  4.9509,  0.0546,  28.5, 815.5
   15,      53,  4.9510,  0.0546,  28.5, 815.5
   16,      56,  4.9510,  0.0546,  28.5, 815.5
   17,      59,  4.9510,  0.0545,  28.5, 815.5
   18,      62,  4.9510,  0.0546,  28.5, 815.5
   19,      65,  4.9509,  0.0545,  28.5, 815.5
   20,      68,  4.9506,  0.0545,  28.5, 815.5
   21,      71,  4.9507,  0.0545,  28.5, 815.5
   22,      74,  4.9508,  0.0545,  28.5, 815.5
   23,      77,  4.9508,  0.0545,  28.5, 815.5
   24,      80,  4.9508,  0.0545,  28.5, 815.5
   25,      83,  4.9510,  0.0545,  28.5, 815.5
   26,      86,  4.9510,  0.0545,  28.5, 815.5
   27,      89,  4.9509,  0.0545,  28.5, 815.5
   28,      92,  4.9508,  0.0546,  28.5, 815.5
   29,      95,  4.9510,  0.0546,  28.5, 815.5
   30,      98,  4.9510,  0.0545,  28.5, 815.5
   31,     101,  4.9644,  0.0000,  28.5, 815.5
   32,     104,  4.9574,  0.0290,  28.5, 815.5
   33,     107,  4.9511,  0.0547,  28.5, 815.5
   34,     110,  4.9511,  0.0546,  28.5, 815.5
   35,     113,  4.9508,  0.0546,  28.5, 815.5
   36,     116,  4.9510,  0.0546,  28.5, 815.5
   37,     119,  4.9511,  0.0546,  28.5, 815.5
   38,     122,  4.9643,  0.0000,  28.5, 815.5
   39,     125,  4.9643,  0.0000,  28.5, 815.5
   40,     128,  4.9644,  0.0000,  28.5, 815.5
   41,     131,  4.9510,  0.0546,  28.5, 815.5
   42,     134,  4.9644,  0.0000,  28.5, 815.5
   43,     137,  4.9643,  0.0000,  28.5, 815.5
   44,     140,  4.9641,  0.0000,  28.5, 815.5
   45,     143,  4.9644,  0.0000,  28.5, 815.5
   46,     146,  4.9643,  0.0000,  28.5, 815.5
   47,     149,  4.9641,  0.0000,  28.5, 815.5
   48,     152,  4.9644,  0.0000,  28.5, 815.5
   49,     155,  4.9644,  0.0000,  28.5, 815.5
   50,     158,  4.9507,  0.0546,  29.0, 816.0
   51,     161,  4.9509,  0.0546,  29.0, 816.0
   52,     164,  4.9510,  0.0546,  29.0, 816.0
   53,     167,  4.9510,  0.0546,  29.0, 816.0
   54,     170,  4.9512,  0.0546,  29.0, 816.0
   55,     173,  4.9511,  0.0546,  29.0, 816.0
   56,     176,  4.9510,  0.0546,  29.0, 816.0
   57,     179,  4.9509,  0.0546,  29.0, 816.0
   58,     182,  4.9511,  0.0547,  29.0, 816.0
   59,     185,  4.9510,  0.0546,  28.5, 815.5
   60,     188,  4.9510,  0.0546,  28.5, 815.5
   61,     191,  4.9511,  0.0547,  28.5, 815.5
   62,     194,  4.9511,  0.0547,  28.5, 815.5
   63,     197,  4.9511,  0.0546,  28.5, 815.5
   64,     200,  4.9510,  0.0547,  28.5, 815.5
   65,     203,  4.9511,  0.0546,  28.5, 815.5
   66,     206,  4.9511,  0.0546,  28.5, 815.5
   67,     209,  4.9511,  0.0547,  28.5, 815.5
   68,     212,  4.9511,  0.0547,  28.5, 815.5
   69,     215,  4.9512,  0.0547,  28.5, 815.5
   70,     218,  4.9512,  0.0547,  28.5, 815.5
   71,     221,  4.9511,  0.0547,  28.5, 815.5
   72,     224,  4.7908,  0.6154,  28.5, 815.5
   73,     227,  4.8188,  0.4617,  28.5, 815.5
   74,     230,  4.8201,  0.4510,  28.5, 815.5
   75,     233,  4.8206,  0.4480,  28.5, 815.5
   76,     236,  4.8204,  0.4476,  28.5, 815.5
   77,     239,  4.8199,  0.4491,  28.5, 815.5
   78,     242,  4.8194,  0.4502,  28.5, 815.5
   79,     245,  4.8190,  0.4530,  28.5, 815.5
   80,     248,  4.8184,  0.4557,  28.5, 815.5
   81,     251,  4.8176,  0.4589,  28.5, 815.5
   82,     254,  4.8171,  0.4618,  28.5, 815.5
   83,     257,  4.8161,  0.4649,  28.5, 815.5
   84,     260,  4.8154,  0.4677,  28.5, 815.5
   85,     263,  4.8152,  0.4711,  28.5, 815.5
   86,     266,  4.8144,  0.4739,  28.5, 815.5
   87,     269,  4.8136,  0.4779,  28.5, 815.5
   88,     272,  4.8129,  0.4808,  28.5, 815.5
   89,     275,  4.8121,  0.4843,  28.5, 815.5
   90,     278,  4.8115,  0.4879,  28.5, 815.5
   91,     281,  4.8108,  0.4915,  28.5, 815.5
   92,     284,  4.8101,  0.4949,  28.5, 815.5
   93,     287,  4.8093,  0.4979,  28.5, 815.5
   94,     290,  4.8085,  0.5008,  28.5, 815.5
   95,     293,  4.8077,  0.5039,  28.5, 815.5
   96,     296,  4.8069,  0.5082,  28.5, 815.5
   97,     299,  4.8063,  0.5113,  28.5, 815.5
   98,     302,  4.8057,  0.5140,  28.5, 815.5
   99,     305,  4.8050,  0.5173,  28.5, 815.5
  100,     308,  4.8043,  0.5200,  28.5, 815.5
  101,     311,  4.8034,  0.5232,  28.5, 815.5
  102,     314,  4.8029,  0.5275,  28.5, 815.5
  103,     317,  4.8020,  0.5302,  28.5, 815.5
  104,     320,  4.8017,  0.5321,  28.5, 815.5
  105,     323,  4.8010,  0.5359,  28.5, 815.5
  106,     326,  4.8005,  0.5385,  28.5, 815.5
  107,     329,  4.7999,  0.5412,  28.5, 815.5
  108,     332,  4.7994,  0.5437,  28.5, 815.5
  109,     335,  4.7989,  0.5452,  28.5, 815.5
  110,     338,  4.7985,  0.5473,  28.5, 815.5
  111,     341,  4.7980,  0.5492,  28.5, 815.5
  112,     344,  4.7978,  0.5510,  28.5, 815.5
  113,     347,  4.7977,  0.5520,  28.5, 815.5
  114,     350,  4.7974,  0.5533,  28.5, 815.5
  115,     353,  4.7970,  0.5546,  28.5, 815.5
  116,     356,  4.7967,  0.5556,  28.5, 815.5
  117,     359,  4.7964,  0.5568,  28.5, 815.5
  118,     362,  4.7961,  0.5574,  28.5, 815.5
  119,     365,  4.7962,  0.5586,  28.5, 815.5
  120,     368,  4.7958,  0.5597,  28.5, 815.5
  121,     371,  4.7958,  0.5606,  28.5, 815.5
  122,     374,  4.7955,  0.5605,  28.5, 815.5
  123,     377,  4.7952,  0.5622,  28.5, 815.5
  124,     380,  4.7950,  0.5634,  28.5, 815.5
  125,     383,  4.7949,  0.5635,  28.5, 815.5
  126,     386,  4.7946,  0.5652,  28.5, 815.5
  127,     389,  4.7945,  0.5665,  28.5, 815.5
  128,     392,  4.7941,  0.5671,  28.5, 815.5
  129,     395,  4.7940,  0.5672,  28.5, 815.5
  130,     398,  4.7936,  0.5683,  28.5, 815.5
  131,     401,  4.7934,  0.5692,  28.5, 815.5
  132,     404,  4.7933,  0.5701,  28.5, 815.5
  133,     407,  4.7932,  0.5717,  28.5, 815.5
  134,     410,  4.7929,  0.5722,  28.5, 815.5
  135,     413,  4.7926,  0.5736,  28.5, 815.5
  136,     416,  4.7925,  0.5737,  28.5, 815.5
  137,     419,  4.7924,  0.5750,  28.5, 815.5
  138,     422,  4.7923,  0.5759,  28.5, 815.5
  139,     425,  4.7920,  0.5769,  28.5, 815.5
  140,     428,  4.7918,  0.5775,  28.5, 815.5
  141,     431,  4.7917,  0.5788,  28.5, 815.5
  142,     434,  4.7915,  0.5792,  28.5, 815.5
  143,     437,  4.7912,  0.5802,  28.5, 815.5
  144,     440,  4.7909,  0.5813,  28.5, 815.5
  145,     443,  4.7908,  0.5827,  28.5, 815.5
  146,     446,  4.7906,  0.5834,  28.5, 815.5
  147,     449,  4.7902,  0.5841,  28.5, 815.5
  148,     452,  4.7903,  0.5841,  28.5, 815.5
  149,     455,  4.7901,  0.5852,  28.5, 815.5
  150,     458,  4.7898,  0.5859,  28.5, 815.5
  151,     461,  4.7896,  0.5874,  28.5, 815.5
  152,     464,  4.7895,  0.5883,  28.5, 815.5
  153,     467,  4.7892,  0.5888,  28.5, 815.5
  154,     470,  4.7892,  0.5892,  28.5, 815.5
  155,     473,  4.7890,  0.5902,  28.5, 815.5
  156,     476,  4.7887,  0.5909,  28.5, 815.5
  157,     479,  4.7888,  0.5909,  28.5, 815.5
  158,     482,  4.7886,  0.5922,  28.5, 815.5
  159,     485,  4.7885,  0.5925,  28.5, 815.5
  160,     488,  4.7882,  0.5934,  28.5, 815.5
  161,     491,  4.7880,  0.5937,  28.5, 815.5
  162,     494,  4.7879,  0.5942,  28.5, 815.5
  163,     497,  4.7876,  0.5953,  28.5, 815.5
  164,     500,  4.7877,  0.5956,  28.5, 815.5
  165,     503,  4.7877,  0.5960,  28.5, 815.5
  166,     506,  4.7873,  0.5967,  28.5, 815.5
  167,     509,  4.7872,  0.5972,  28.5, 815.5
  168,     512,  4.7871,  0.5979,  28.5, 815.5
  169,     515,  4.7868,  0.5987,  28.5, 815.5
  170,     518,  4.7869,  0.5988,  28.5, 815.5
  171,     521,  4.7867,  0.5993,  28.5, 815.5
  172,     524,  4.7867,  0.6002,  28.5, 815.5
  173,     527,  4.7866,  0.6008,  28.5, 815.5
  174,     530,  4.7862,  0.6011,  28.5, 815.5
  175,     533,  4.7863,  0.6022,  28.5, 815.5
  176,     536,  4.7860,  0.6025,  28.5, 815.5
  177,     539,  4.7861,  0.6028,  28.5, 815.5
  178,     542,  4.7857,  0.6037,  28.5, 815.5
  179,     545,  4.7856,  0.6042,  28.5, 815.5
  180,     548,  4.7856,  0.6043,  28.5, 815.5
  181,     551,  4.7856,  0.6042,  28.5, 815.5
  182,     554,  4.7856,  0.6042,  28.5, 815.5
  183,     557,  4.7855,  0.6042,  28.5, 815.5
  184,     560,  4.7856,  0.6041,  28.5, 815.5
  185,     563,  4.7856,  0.6041,  28.5, 815.5
  186,     566,  4.7858,  0.6040,  28.5, 815.5
  187,     569,  4.7855,  0.6039,  28.5, 815.5
  188,     572,  4.7855,  0.6038,  28.5, 815.5
  189,     575,  4.7854,  0.6038,  28.5, 815.5
  190,     578,  4.7854,  0.6038,  28.5, 815.5
  191,     581,  4.7856,  0.6038,  28.5, 815.5
  192,     584,  4.7856,  0.6037,  28.5, 815.5
  193,     587,  4.7855,  0.6036,  28.5, 815.5
  194,     590,  4.7856,  0.6036,  28.5, 815.5
  195,     593,  4.7856,  0.6036,  28.5, 815.5
  196,     596,  4.7857,  0.6034,  28.5, 815.5
