log dump 2470
    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      15,  0.0001,  0.0000,  27.1,  27.1
    1,      25,  0.0000,  0.0000,  27.8,  27.8
    2,      35,  6.5516, -0.0003,  26.1,  26.1
    3,      45, 46.4396, -0.0006,  27.0, 814.0
    4,      55, 46.4396, -0.0003,  27.1, 814.1
    5,      65, 46.4400, -0.0003,  27.0, 814.0
    6,      75, 46.4413, -0.0003,  27.0, 814.0
    7,      85, 46.4429, -0.0003,  27.0, 814.0
    8,      95, 46.4440, -0.0003,  27.1, 814.1
    9,     105, 46.4457, -0.0003,  27.2, 814.2
   10,     115, 46.4477, -0.0003,  27.2, 814.2
   11,     125, 46.4493, -0.0003,  27.3, 814.3
   12,     135, 46.4508, -0.0003,  27.2, 814.2
   13,     145, 46.4504, -0.0027,  27.1, 814.1
   14,     155, 46.4521, -0.0027,  27.3, 814.3
   15,     165, 47.9414,  1.8748,  27.1, 814.1
   16,     175, 48.1626,  1.8673,  27.2, 814.2
   17,     185, 48.2962,  1.8600,  27.2, 814.2
   18,     195, 48.4005,  1.8573,  27.2, 814.2
   19,     205, 48.4813,  1.8534,  27.1, 814.1
   20,     215, 48.5513,  1.8519,  27.2, 814.2
   21,     225, 48.5997,  1.8480,  27.2, 814.2
   22,     235, 48.6685,  1.8468,  27.1, 814.1
   23,     245, 48.7105,  1.8432,  27.2, 814.2
   24,     255, 48.7417,  1.8435,  27.2, 814.2
   25,     265, 48.7705,  1.8417,  27.3, 814.3
   26,     275, 48.7941,  1.8392,  27.1, 814.1
   27,     285, 48.8153,  1.8386,  27.2, 814.2
   28,     295, 48.8348,  1.8405,  27.3, 814.3
   29,     305, 48.8485,  1.8375,  27.3, 814.3
   30,     315, 48.8637,  1.8383,  27.3, 814.3
   31,     325, 48.8780,  1.8372,  27.5, 814.5
   32,     335, 48.8877,  1.8372,  27.2, 814.2
   33,     345, 48.8968,  1.8354,  27.5, 814.5
   34,     355, 48.9065,  1.8344,  27.5, 814.5
   35,     365, 48.9144,  1.8348,  27.6, 814.6
   36,     375, 48.9221,  1.8363,  27.6, 814.6
   37,     385, 48.9305,  1.8354,  27.6, 814.6
   38,     395, 48.9356,  1.8351,  27.7, 814.7
   39,     405, 48.9409,  1.8332,  27.6, 814.6
   40,     415, 48.9484,  1.8348,  27.7, 814.7
   41,     425, 48.9524,  1.8326,  27.8, 814.8
   42,     435, 48.9568,  1.8335,  28.7, 815.7
   43,     445, 48.9628,  1.8338,  28.8, 815.8
   44,     455, 48.9672,  1.8338,  28.1, 815.1
   45,     465, 48.9716,  1.8341,  28.0, 815.0
   46,     475, 48.9768,  1.8326,  28.0, 815.0
   47,     485, 48.9808,  1.8326,  28.1, 815.1
   48,     495, 48.9864,  1.8323,  28.2, 815.2
   49,     505, 48.9905,  1.8338,  28.2, 815.2
   50,     515, 48.9945,  1.8329,  28.2, 815.2
   51,     525, 48.9969,  1.8323,  28.5, 815.5
   52,     535, 49.0012,  1.8317,  28.5, 815.5
   53,     545, 49.0044,  1.8320,  28.2, 815.2
   54,     555, 49.0068,  1.8306,  28.5, 815.5
   55,     565, 49.0108,  1.8314,  28.6, 815.6
   56,     575, 49.0144,  1.8309,  28.6, 815.6
   57,     585, 49.0192,  1.8312,  28.6, 815.6
   58,     595, 49.0225,  1.8309,  28.7, 815.7
   59,     605, 49.0268,  1.8314,  28.5, 815.5
   60,     615, 49.0312,  1.8332,  28.7, 815.7
   61,     625, 49.0356,  1.8329,  28.6, 815.6
   62,     635, 49.0393,  1.8332,  28.7, 815.7
   63,     645, 49.0404,  1.8303,  28.7, 815.7
   64,     655, 49.0424,  1.8297,  28.8, 815.8
   65,     665, 49.0468,  1.8314,  28.8, 815.8
   66,     675, 49.0508,  1.8306,  28.8, 815.8
   67,     685, 49.0548,  1.8323,  29.8, 816.8
   68,     695, 49.0584,  1.8323,  28.8, 815.8
   69,     705, 49.0620,  1.8326,  28.8, 815.8
   70,     715, 49.0644,  1.8306,  28.8, 815.8
   71,     725, 49.0680,  1.8303,  28.0, 815.0
   72,     735, 49.0720,  1.8314,  29.8, 816.8
   73,     745, 49.0756,  1.8326,  29.8, 816.8
   74,     755, 49.0776,  1.8303,  28.0, 815.0
   75,     765, 49.0816,  1.8314,  28.8, 815.8
   76,     775, 49.0852,  1.8320,  28.8, 815.8
   77,     785, 49.0896,  1.8309,  28.8, 815.8
   78,     795, 49.0928,  1.8309,  28.8, 815.8
   79,     805, 49.0968,  1.8290,  28.0, 815.0
   80,     815, 49.1008,  1.8303,  28.8, 815.8
   81,     825, 49.1052,  1.8312,  28.8, 815.8
   82,     835, 49.1092,  1.8312,  28.0, 815.0
   83,     845, 49.1132,  1.8309,  28.1, 815.1
   84,     855, 49.1176,  1.8309,  29.0, 816.0
   85,     865, 49.1200,  1.8281,  28.8, 815.8
   86,     875, 49.1248,  1.8287,  28.0, 815.0
   87,     885, 49.1284,  1.8306,  29.8, 816.8
   88,     895, 49.1332,  1.8300,  28.8, 815.8
   89,     905, 49.1364,  1.8306,  29.0, 816.0
   90,     915, 49.1404,  1.8312,  29.8, 816.8
   91,     925, 49.1432,  1.8287,  29.8, 816.8
   92,     935, 49.1476,  1.8300,  28.8, 815.8
   93,     945, 49.1512,  1.8294,  28.8, 815.8
   94,     955, 49.1556,  1.8297,  28.8, 815.8
   95,     965, 49.1588,  1.8294,  28.8, 815.8
   96,     975, 49.1624,  1.8300,  28.0, 815.0
   97,     985, 49.1668,  1.8303,  28.8, 815.8
   98,     995, 49.1700,  1.8281,  28.8, 815.8
   99,    1005, 49.1740,  1.8284,  28.8, 815.8
  100,    1015, 49.1772,  1.8269,  28.7, 815.7
  101,    1025, 49.1812,  1.8284,  28.8, 815.8
  102,    1035, 49.1848,  1.8272,  28.8, 815.8
  103,    1045, 49.1888,  1.8278,  28.8, 815.8
  104,    1055, 49.1916,  1.8272,  28.8, 815.8
  105,    1065, 49.1956,  1.8269,  28.7, 815.7
  106,    1075, 49.2000,  1.8284,  28.7, 815.7
  107,    1085, 49.2040,  1.8266,  28.8, 815.8
  108,    1095, 49.2060,  1.8243,  28.7, 815.7
  109,    1105, 49.2112,  1.8266,  28.7, 815.7
  110,    1115, 49.2148,  1.8269,  28.7, 815.7
  111,    1125, 49.2188,  1.8250,  28.7, 815.7
  112,    1135, 49.2228,  1.8257,  28.7, 815.7
  113,    1145, 49.2272,  1.8250,  28.7, 815.7
  114,    1155, 49.2304,  1.8247,  28.7, 815.7
  115,    1165, 49.2348,  1.8243,  28.7, 815.7
  116,    1175, 49.2388,  1.8250,  28.7, 815.7
  117,    1185, 49.2428,  1.8246,  28.6, 815.6
  118,    1195, 49.2480,  1.8260,  28.6, 815.6
  119,    1205, 49.2512,  1.8257,  28.6, 815.6
  120,    1215, 49.2544,  1.8240,  28.7, 815.7
  121,    1225, 49.2576,  1.8227,  28.6, 815.6
  122,    1235, 49.2636,  1.8257,  28.5, 815.5
