    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      16, 49.6635, -0.0072,  29.5, 816.5
    1,      17, 49.6635, -0.0072,  29.5, 816.5
    2,      18, 49.6635, -0.0072,  29.5, 816.5
    3,      19, 49.6631, -0.0076,  29.5, 816.5
    4,      20, 49.6631, -0.0076,  29.5, 816.5
    5,      21, 49.6631, -0.0072,  29.5, 816.5
    6,      22, 49.6631, -0.0076,  29.5, 816.5
    7,      23, 49.6631, -0.0072,  29.5, 816.5
    8,      24, 49.6635, -0.0076,  29.5, 816.5
    9,      25, 49.6635, -0.0076,  29.5, 816.5
   10,      26, 49.6635, -0.0076,  29.5, 816.5
   11,      27, 49.6631, -0.0072,  29.5, 816.5
   12,      28, 49.6635, -0.0072,  29.5, 816.5
   13,      29, 49.6635, -0.0072,  29.5, 816.5
   14,      30, 49.6635, -0.0076,  29.5, 816.5
   15,      31, 49.6635, -0.0076,  29.5, 816.5
   16,      32, 49.6635, -0.0076,  29.5, 816.5
   17,      33, 49.6635, -0.0076,  29.5, 816.5
   18,      34, 49.6635, -0.0076,  29.5, 816.5
   19,      35, 49.6635, -0.0076,  29.5, 816.5
   20,      36, 49.6635, -0.0076,  29.5, 816.5
   21,      37, 49.6635, -0.0072,  29.5, 816.5
   22,      38, 49.6635, -0.0076,  29.5, 816.5
   23,      39, 49.6635, -0.0076,  29.5, 816.5
   24,      40, 49.6635, -0.0072,  29.5, 816.5
   25,      41, 49.6555, -0.0554,  29.5, 816.5
   26,      42, 49.6543, -0.0630,  29.5, 816.5
   27,      43, 49.6539, -0.0630,  29.5, 816.5
   28,      44, 49.6539, -0.0626,  29.5, 816.5
   29,      45, 49.6539, -0.0626,  29.5, 816.5
   30,      46, 49.6539, -0.0630,  29.5, 816.5
   31,      47, 49.6535, -0.0630,  29.5, 816.5
   32,      48, 49.6535, -0.0626,  29.5, 816.5
   33,      49, 49.6535, -0.0630,  29.5, 816.5
   34,      50, 49.6535, -0.0630,  29.5, 816.5
   35,      51, 49.6535, -0.0626,  29.5, 816.5
   36,      52, 49.6535, -0.0626,  29.5, 816.5
   37,      53, 49.6531, -0.0626,  29.5, 816.5
   38,      54, 49.6531, -0.0626,  29.5, 816.5
   39,      55, 49.6531, -0.0626,  29.5, 816.5
   40,      56, 49.6531, -0.0626,  29.5, 816.5
   41,      57, 49.6531, -0.0626,  29.5, 816.5
   42,      58, 49.6531, -0.0630,  29.5, 816.5
   43,      59, 49.6527, -0.0626,  30.0, 817.0
   44,      60, 49.6527, -0.0626,  30.0, 817.0
   45,      61, 49.6527, -0.0630,  30.0, 817.0
   46,      62, 49.6527, -0.0626,  30.0, 817.0
   47,      63, 49.6527, -0.0630,  30.0, 817.0
   48,      64, 49.6527, -0.0630,  30.0, 817.0
   49,      65, 49.6519, -0.0630,  30.0, 817.0
   50,      66, 49.6523, -0.0626,  30.0, 817.0
   51,      67, 49.6519, -0.0626,  30.0, 817.0
   52,      68, 49.6523, -0.0626,  30.0, 817.0
   53,      69, 49.6519, -0.0630,  30.0, 817.0
   54,      70, 49.6519, -0.0626,  30.0, 817.0
   55,      71, 49.6519, -0.0626,  30.0, 817.0
   56,      72, 49.6519, -0.0626,  30.0, 817.0
   57,      73, 49.6515, -0.0626,  30.0, 817.0
   58,      74, 49.6519, -0.0626,  30.0, 817.0
   59,      75, 49.6519, -0.0626,  30.0, 817.0
   60,      76, 49.6519, -0.0626,  30.0, 817.0
   61,      77, 49.6519, -0.0626,  30.0, 817.0
   62,      78, 49.6519, -0.0626,  30.0, 817.0
   63,      79, 49.6519, -0.0626,  30.0, 817.0
   64,      80, 49.6515, -0.0626,  30.0, 817.0
   65,      81, 49.6515, -0.0626,  30.0, 817.0
   66,      82, 49.6515, -0.0626,  30.0, 817.0
   67,      83, 49.6515, -0.0626,  30.0, 817.0
   68,      84, 49.6515, -0.0626,  30.0, 817.0
   69,      85, 49.6515, -0.0626,  30.0, 817.0
   70,      86, 49.6515, -0.0626,  30.0, 817.0
   71,      87, 49.6511, -0.0626,  30.0, 817.0
   72,      88, 49.6511, -0.0626,  30.0, 817.0
   73,      89, 49.6515, -0.0626,  30.0, 817.0
   74,      90, 49.6515, -0.0626,  30.0, 817.0
   75,      91, 49.6515, -0.0626,  30.0, 817.0
   76,      92, 49.6515, -0.0626,  30.0, 817.0
   77,      93, 49.6511, -0.0626,  30.0, 817.0
   78,      94, 49.6515, -0.0626,  30.0, 817.0
   79,      95, 49.6515, -0.0626,  30.0, 817.0
   80,      96, 49.6515, -0.0626,  30.0, 817.0
   81,      97, 49.6515, -0.0623,  30.0, 817.0
   82,      98, 49.6515, -0.0626,  30.0, 817.0
   83,      99, 49.6515, -0.0626,  30.0, 817.0
   84,     100, 49.6511, -0.0626,  30.0, 817.0
   85,     101, 49.6515, -0.0626,  30.0, 817.0
   86,     102, 49.6515, -0.0626,  30.0, 817.0
   87,     103, 49.6511, -0.0626,  30.0, 817.0
   88,     104, 49.6511, -0.0626,  30.0, 817.0
   89,     105, 49.6511, -0.0626,  30.0, 817.0
   90,     106, 49.6511, -0.0626,  30.0, 817.0
   91,     107, 49.6511, -0.0623,  30.0, 817.0
   92,     108, 49.6511, -0.0626,  30.0, 817.0
   93,     109, 49.6607, -0.0072,  30.0, 817.0
   94,     110, 49.6607, -0.0072,  30.5, 817.5
   95,     111, 49.6607, -0.0076,  30.0, 817.0
   96,     112, 49.6607, -0.0076,  30.0, 817.0
   97,     113, 49.6611, -0.0076,  30.5, 817.5
   98,     114, 49.6611, -0.0072,  30.5, 817.5
   99,     115, 49.6611, -0.0072,  30.5, 817.5
  100,     116, 49.6611, -0.0072,  30.5, 817.5
  101,     117, 49.6611, -0.0072,  30.5, 817.5
  102,     118, 49.6611, -0.0076,  30.5, 817.5
  103,     119, 49.6611, -0.0072,  30.5, 817.5
  104,     120, 49.6611, -0.0072,  30.5, 817.5
  105,     121, 49.6611, -0.0076,  30.5, 817.5
  106,     122, 49.6615, -0.0072,  30.5, 817.5
  107,     123, 49.6611, -0.0072,  30.5, 817.5
  108,     124, 49.6615, -0.0072,  30.5, 817.5
  109,     125, 49.6615, -0.0072,  30.5, 817.5
  110,     126, 49.6615, -0.0072,  30.5, 817.5
  111,     127, 49.6615, -0.0072,  30.5, 817.5
  112,     128, 49.6615, -0.0076,  30.5, 817.5
  113,     129, 49.6615, -0.0076,  30.5, 817.5
  114,     130, 49.6615, -0.0076,  30.5, 817.5
  115,     131, 49.6615, -0.0072,  30.5, 817.5
  116,     132, 49.6615, -0.0076,  30.5, 817.5
  117,     133, 49.6619, -0.0072,  30.5, 817.5
  118,     134, 49.6619, -0.0076,  30.5, 817.5
  119,     135, 49.6619, -0.0072,  30.5, 817.5
  120,     136, 49.6619, -0.0076,  30.5, 817.5
  121,     137, 49.6619, -0.0072,  30.5, 817.5
  122,     138, 49.6619, -0.0072,  30.5, 817.5
  123,     139, 49.6619, -0.0072,  30.5, 817.5
  124,     140, 49.6619, -0.0072,  30.5, 817.5
  125,     141, 49.6627, -0.0072,  30.5, 817.5
  126,     142, 49.6627, -0.0072,  30.5, 817.5
  127,     143, 49.6623, -0.0076,  30.5, 817.5
  128,     144, 49.6627, -0.0072,  30.5, 817.5
  129,     145, 49.6627, -0.0072,  30.5, 817.5
  130,     146, 49.6619, -0.0072,  30.5, 817.5
  131,     147, 49.6623, -0.0072,  30.5, 817.5
  132,     148, 49.6623, -0.0076,  30.5, 817.5
  133,     149, 49.6619, -0.0072,  30.5, 817.5
  134,     150, 49.6623, -0.0076,  30.5, 817.5
  135,     151, 49.6627, -0.0072,  30.5, 817.5
  136,     152, 49.6623, -0.0072,  30.5, 817.5
  137,     153, 49.6627, -0.0072,  30.5, 817.5
  138,     154, 49.6623, -0.0072,  30.5, 817.5
  139,     155, 49.6627, -0.0076,  30.5, 817.5
  140,     156, 49.6623, -0.0072,  30.5, 817.5
  141,     157, 49.6623, -0.0072,  30.5, 817.5
  142,     158, 49.6627, -0.0076,  30.5, 817.5
  143,     159, 49.6627, -0.0072,  30.5, 817.5
  144,     160, 49.6627, -0.0072,  30.5, 817.5
  145,     161, 49.6627, -0.0072,  30.5, 817.5
  146,     162, 49.6627, -0.0072,  30.5, 817.5
  147,     163, 49.6623, -0.0072,  30.5, 817.5
  148,     164, 49.6627, -0.0072,  30.5, 817.5
  149,     165, 49.6631, -0.0072,  30.5, 817.5
  150,     166, 49.6627, -0.0076,  30.5, 817.5
  151,     167, 49.6627, -0.0076,  30.5, 817.5
  152,     168, 49.6623, -0.0072,  30.5, 817.5
  153,     169, 49.6623, -0.0072,  30.5, 817.5
  154,     170, 49.6627, -0.0072,  30.5, 817.5
  155,     171, 49.6627, -0.0072,  30.5, 817.5
