2015/01/22 23:37:41,U,I,Ah,Wh,T,S
2015/01/22 23:37:41,5.2154,0.0000,0.0000,0.0000,22.0,17
2015/01/22 23:37:42,5.2153,0.0000,0.0000,0.0000,22.0,18
2015/01/22 23:37:43,5.2154,-0.0001,0.0000,0.0000,22.0,19
2015/01/22 23:37:44,5.2157,0.0000,0.0000,0.0000,22.0,20
2015/01/22 23:37:46,5.2159,0.0000,0.0000,0.0000,22.0,21
2015/01/22 23:37:47,5.2155,-0.0001,0.0000,0.0000,22.0,22
2015/01/22 23:37:48,5.2160,0.0000,0.0000,0.0000,22.0,23
2015/01/22 23:37:49,5.2115,0.0003,0.0000,0.0000,22.0,24
2015/01/22 23:37:50,5.0373,0.7385,0.0002,0.0010,22.0,25
2015/01/22 23:37:51,5.0360,0.7420,0.0004,0.0020,22.0,26
2015/01/22 23:37:52,5.0369,0.7400,0.0006,0.0031,22.0,28
2015/01/22 23:37:53,5.0355,0.7390,0.0008,0.0041,22.1,29
2015/01/22 23:37:54,5.0376,0.7455,0.0010,0.0051,22.1,30
2015/01/22 23:37:55,5.0326,0.7448,0.0012,0.0062,22.1,31
2015/01/22 23:37:56,5.0287,0.7462,0.0015,0.0077,22.1,32
2015/01/22 23:37:58,5.0333,0.7346,0.0017,0.0088,22.1,33
2015/01/22 23:37:59,5.0334,0.7374,0.0019,0.0098,22.1,34
2015/01/22 23:38:00,5.0358,0.7411,0.0021,0.0108,22.1,35
2015/01/22 23:38:01,5.0369,0.7437,0.0023,0.0119,22.1,36
2015/01/22 23:38:02,5.0402,0.7483,0.0026,0.0135,22.1,37
2015/01/22 23:38:03,5.0415,0.7491,0.0028,0.0145,22.1,38
2015/01/22 23:38:04,5.0432,0.7490,0.0030,0.0156,22.1,40
2015/01/22 23:38:05,5.0447,0.7505,0.0033,0.0166,22.1,41
2015/01/22 23:38:06,5.0456,0.7512,0.0035,0.0177,22.1,42
2015/01/22 23:38:07,5.0454,0.7514,0.0038,0.0192,22.1,43
2015/01/22 23:38:09,5.0455,0.7514,0.0040,0.0203,22.1,44
2015/01/22 23:38:10,5.0447,0.7474,0.0042,0.0213,22.1,45
2015/01/22 23:38:11,5.0460,0.7514,0.0044,0.0224,22.1,46
2015/01/22 23:38:12,5.0465,0.7518,0.0046,0.0235,22.1,47
2015/01/22 23:38:13,5.0469,0.7517,0.0048,0.0245,22.1,48
2015/01/22 23:38:14,5.0476,0.7518,0.0051,0.0261,22.1,49
2015/01/22 23:38:15,5.0480,0.7518,0.0053,0.0271,22.2,50
2015/01/22 23:38:16,5.0482,0.7518,0.0056,0.0282,22.2,52
2015/01/22 23:38:17,5.0487,0.7518,0.0058,0.0292,22.2,53
2015/01/22 23:38:18,5.0494,0.7515,0.0060,0.0303,22.2,54
2015/01/22 23:38:19,5.0493,0.7476,0.0063,0.0319,22.2,55
2015/01/22 23:38:21,5.0513,0.7519,0.0065,0.0329,22.2,56
2015/01/22 23:38:22,5.0516,0.7518,0.0067,0.0340,22.2,57
2015/01/22 23:38:23,5.0521,0.7518,0.0069,0.0350,22.2,58
2015/01/22 23:38:24,5.0536,0.7517,0.0071,0.0361,22.2,59
2015/01/22 23:38:25,5.0533,0.7516,0.0073,0.0372,22.2,60
2015/01/22 23:38:26,5.0538,0.7517,0.0076,0.0387,22.3,61
2015/01/22 23:38:27,5.0538,0.7513,0.0078,0.0398,22.3,62
2015/01/22 23:38:28,5.0510,0.7481,0.0081,0.0408,22.3,64
2015/01/22 23:38:29,5.0518,0.7489,0.0083,0.0419,22.2,65
2015/01/22 23:38:30,5.0535,0.7509,0.0085,0.0429,22.3,66
2015/01/22 23:38:31,5.0540,0.7517,0.0088,0.0445,22.3,67
2015/01/22 23:38:33,5.0548,0.7521,0.0090,0.0456,22.3,68
2015/01/22 23:38:34,5.0543,0.7512,0.0092,0.0466,22.3,69
2015/01/22 23:38:35,5.0527,0.7486,0.0094,0.0477,22.3,70
2015/01/22 23:38:36,5.0528,0.7482,0.0096,0.0487,22.3,71
2015/01/22 23:38:37,5.0534,0.7484,0.0098,0.0498,22.3,72
2015/01/22 23:38:38,5.0539,0.7489,0.0101,0.0514,22.3,73
2015/01/22 23:38:39,5.0520,0.7456,0.0103,0.0524,22.3,74
2015/01/22 23:38:40,5.0558,0.7508,0.0106,0.0535,22.3,76
2015/01/22 23:38:41,5.0564,0.7512,0.0108,0.0545,22.3,77
2015/01/22 23:38:42,5.0566,0.7512,0.0110,0.0556,22.3,78
2015/01/22 23:38:43,5.0581,0.7520,0.0113,0.0572,22.3,79
2015/01/22 23:38:45,5.0587,0.7520,0.0115,0.0582,22.3,80
2015/01/22 23:38:46,5.0585,0.7517,0.0117,0.0593,22.3,81
2015/01/22 23:38:47,5.0593,0.7520,0.0119,0.0603,22.3,82
2015/01/22 23:38:48,5.0593,0.7520,0.0121,0.0614,22.3,83
2015/01/22 23:38:49,5.0591,0.7520,0.0124,0.0630,22.3,84
2015/01/22 23:38:50,5.0569,0.7490,0.0126,0.0640,22.3,85
2015/01/22 23:38:51,5.0585,0.7513,0.0128,0.0651,22.3,86
2015/01/22 23:38:52,5.0580,0.7505,0.0131,0.0661,22.4,88
2015/01/22 23:38:53,5.0581,0.7503,0.0133,0.0672,22.3,89
2015/01/22 23:38:54,5.0589,0.7524,0.0135,0.0682,22.3,90
2015/01/22 23:38:55,5.0560,0.7489,0.0138,0.0698,22.4,91
2015/01/22 23:38:57,5.0578,0.7517,0.0140,0.0709,22.3,92
2015/01/22 23:38:58,5.0577,0.7517,0.0142,0.0719,22.4,93
2015/01/22 23:38:59,5.0581,0.7520,0.0144,0.0730,22.4,94
2015/01/22 23:39:00,5.0577,0.7486,0.0146,0.0740,22.4,95
2015/01/22 23:39:01,5.0587,0.7527,0.0149,0.0756,22.4,96
2015/01/22 23:39:02,5.0586,0.7525,0.0151,0.0767,22.4,97
2015/01/22 23:39:03,5.0573,0.7508,0.0154,0.0777,22.4,99
2015/01/22 23:39:04,5.0587,0.7525,0.0157,0.0793,22.4,100
2015/01/22 23:39:06,5.0589,0.7528,0.0159,0.0804,22.4,101
2015/01/22 23:39:07,5.0594,0.7529,0.0161,0.0814,22.4,102
2015/01/22 23:39:08,5.0595,0.7529,0.0163,0.0825,22.4,103
2015/01/22 23:39:09,5.0583,0.7518,0.0165,0.0836,22.5,104
2015/01/22 23:39:10,5.0598,0.7529,0.0167,0.0846,22.5,105
2015/01/22 23:39:11,5.0594,0.7530,0.0170,0.0862,22.5,106
2015/01/22 23:39:12,5.0596,0.7531,0.0172,0.0873,22.5,107
2015/01/22 23:39:13,5.0588,0.7527,0.0174,0.0883,22.5,109
2015/01/22 23:39:14,5.0594,0.7532,0.0177,0.0894,22.5,110
2015/01/22 23:39:15,5.0593,0.7533,0.0179,0.0904,22.5,111
2015/01/22 23:39:16,5.0596,0.7534,0.0182,0.0920,22.5,112
2015/01/22 23:39:18,5.0595,0.7533,0.0184,0.0931,22.5,113
2015/01/22 23:39:19,5.0594,0.7536,0.0186,0.0941,22.5,114
2015/01/22 23:39:20,5.0581,0.7493,0.0188,0.0952,22.5,115
2015/01/22 23:39:21,5.0590,0.7534,0.0190,0.0963,22.5,116
2015/01/22 23:39:22,5.0588,0.7529,0.0192,0.0973,22.5,117
2015/01/22 23:39:23,5.0567,0.7505,0.0195,0.0989,22.5,118
2015/01/22 23:39:24,5.0580,0.7524,0.0197,0.1000,22.5,119
2015/01/22 23:39:25,5.0583,0.7528,0.0200,0.1010,22.5,121
2015/01/22 23:39:26,5.0583,0.7529,0.0202,0.1021,22.5,122
2015/01/22 23:39:27,5.0583,0.7529,0.0204,0.1031,22.5,123
2015/01/22 23:39:28,5.0593,0.7538,0.0207,0.1047,22.5,124
2015/01/22 23:39:30,5.0575,0.7515,0.0209,0.1058,22.5,125
2015/01/22 23:39:31,5.0604,0.7553,0.0211,0.1068,22.5,126
2015/01/22 23:39:32,5.0605,0.7555,0.0213,0.1079,22.5,127
2015/01/22 23:39:33,5.0595,0.7538,0.0215,0.1090,22.5,128
2015/01/22 23:39:34,5.0600,0.7539,0.0218,0.1106,22.5,129
2015/01/22 23:39:35,5.0597,0.7538,0.0220,0.1116,22.5,130
2015/01/22 23:39:36,5.0600,0.7537,0.0223,0.1127,22.5,131
2015/01/22 23:39:37,5.0598,0.7536,0.0225,0.1137,22.6,133
2015/01/22 23:39:38,5.0601,0.7534,0.0227,0.1148,22.5,134
2015/01/22 23:39:39,5.0597,0.7497,0.0229,0.1158,22.5,135
2015/01/22 23:39:40,5.0605,0.7539,0.0232,0.1174,22.5,136
2015/01/22 23:39:42,5.0606,0.7538,0.0234,0.1185,22.5,137
2015/01/22 23:39:43,5.0605,0.7539,0.0236,0.1196,22.6,138
2015/01/22 23:39:44,5.0606,0.7540,0.0238,0.1206,22.5,139
2015/01/22 23:39:45,5.0606,0.7539,0.0240,0.1217,22.6,140
2015/01/22 23:39:46,5.0606,0.7539,0.0244,0.1233,22.5,141
2015/01/22 23:39:47,5.0576,0.7489,0.0246,0.1243,22.6,142
2015/01/22 23:39:48,5.0598,0.7531,0.0248,0.1254,22.6,144
2015/01/22 23:39:49,5.0601,0.7531,0.0250,0.1264,22.6,145
2015/01/22 23:39:50,5.0608,0.7541,0.0252,0.1275,22.6,146
2015/01/22 23:39:51,5.0611,0.7541,0.0254,0.1285,22.6,147
2015/01/22 23:39:52,5.0614,0.7541,0.0257,0.1301,22.6,148
2015/01/22 23:39:54,5.0615,0.7541,0.0259,0.1312,22.6,149
2015/01/22 23:39:55,5.0614,0.7542,0.0261,0.1323,22.6,150
2015/01/22 23:39:56,5.0616,0.7541,0.0263,0.1333,22.6,151
2015/01/22 23:39:57,5.0617,0.7539,0.0265,0.1344,22.6,152
2015/01/22 23:39:58,5.0617,0.7538,0.0269,0.1360,22.6,153
2015/01/22 23:39:59,5.0620,0.7541,0.0271,0.1370,22.6,154
2015/01/22 23:40:00,5.0622,0.7540,0.0273,0.1381,22.6,156
2015/01/22 23:40:01,5.0621,0.7543,0.0275,0.1391,22.6,157
2015/01/22 23:40:02,5.0618,0.7539,0.0277,0.1402,22.6,158
2015/01/22 23:40:03,5.0620,0.7538,0.0279,0.1413,22.6,159
2015/01/22 23:40:04,5.0617,0.7543,0.0282,0.1429,22.6,160
2015/01/22 23:40:06,5.0619,0.7544,0.0284,0.1439,22.6,161
2015/01/22 23:40:07,5.0621,0.7544,0.0286,0.1450,22.6,162
2015/01/22 23:40:08,5.0618,0.7545,0.0289,0.1460,22.6,163
2015/01/22 23:40:09,5.0617,0.7546,0.0291,0.1471,22.6,164
2015/01/22 23:40:10,5.0593,0.7502,0.0294,0.1487,22.6,165
2015/01/22 23:40:11,5.0607,0.7536,0.0296,0.1497,22.6,166
2015/01/22 23:40:12,5.0605,0.7536,0.0298,0.1508,22.6,168
2015/01/22 23:40:13,5.0606,0.7535,0.0300,0.1519,22.6,169
2015/01/22 23:40:14,5.0609,0.7538,0.0302,0.1529,22.6,170
2015/01/22 23:40:15,5.0617,0.7548,0.0305,0.1545,22.6,171
2015/01/22 23:40:17,5.0617,0.7548,0.0307,0.1556,22.6,172
2015/01/22 23:40:18,5.0618,0.7547,0.0309,0.1566,22.6,173
2015/01/22 23:40:19,5.0628,0.7560,0.0312,0.1577,22.6,174
2015/01/22 23:40:20,5.0615,0.7505,0.0314,0.1588,22.6,175
2015/01/22 23:40:21,5.0618,0.7546,0.0316,0.1598,22.6,176
2015/01/22 23:40:22,5.0603,0.7508,0.0319,0.1614,22.6,177
2015/01/22 23:40:23,5.0616,0.7535,0.0321,0.1625,22.7,178
2015/01/22 23:40:24,5.0621,0.7538,0.0323,0.1635,22.7,180
2015/01/22 23:40:25,5.0604,0.7507,0.0325,0.1646,22.7,181
2015/01/22 23:40:26,5.0620,0.7539,0.0327,0.1656,22.6,182
2015/01/22 23:40:27,5.0626,0.7548,0.0330,0.1672,22.7,183
2015/01/22 23:40:29,5.0623,0.7538,0.0332,0.1683,22.7,184
2015/01/22 23:40:30,5.0622,0.7506,0.0335,0.1694,22.7,185
2015/01/22 23:40:31,5.0630,0.7547,0.0337,0.1704,22.7,186
2015/01/22 23:40:32,5.0635,0.7561,0.0339,0.1715,22.7,187
2015/01/22 23:40:33,5.0635,0.7551,0.0341,0.1725,22.7,188
2015/01/22 23:40:34,5.0634,0.7552,0.0344,0.1741,22.7,189
2015/01/22 23:40:35,5.0633,0.7551,0.0346,0.1752,22.7,190
2015/01/22 23:40:36,5.0634,0.7552,0.0348,0.1763,22.7,192
2015/01/22 23:40:37,5.0636,0.7558,0.0350,0.1773,22.7,193
2015/01/22 23:40:38,5.0638,0.7564,0.0352,0.1784,22.7,194
2015/01/22 23:40:39,5.0623,0.7509,0.0356,0.1800,22.7,195
2015/01/22 23:40:41,5.0627,0.7552,0.0358,0.1810,22.7,196
2015/01/22 23:40:42,5.0630,0.7550,0.0360,0.1821,22.7,197
2015/01/22 23:40:43,5.0635,0.7567,0.0362,0.1832,22.7,198
2015/01/22 23:40:44,5.0626,0.7551,0.0364,0.1842,22.7,199
2015/01/22 23:40:45,5.0629,0.7552,0.0366,0.1853,22.7,200
2015/01/22 23:40:46,5.0626,0.7551,0.0369,0.1869,22.7,201
2015/01/22 23:40:47,5.0627,0.7552,0.0371,0.1879,22.7,202
2015/01/22 23:40:48,5.0622,0.7552,0.0373,0.1890,22.7,204
2015/01/22 23:40:49,5.0623,0.7552,0.0375,0.1901,22.7,205
2015/01/22 23:40:50,5.0623,0.7552,0.0378,0.1911,22.7,206
2015/01/22 23:40:51,5.0623,0.7551,0.0381,0.1927,22.7,207
2015/01/22 23:40:53,5.0622,0.7554,0.0383,0.1938,22.8,208
2015/01/22 23:40:54,5.0625,0.7554,0.0385,0.1948,22.8,209
2015/01/22 23:40:55,5.0624,0.7555,0.0387,0.1959,22.8,210
2015/01/22 23:40:56,5.0626,0.7553,0.0389,0.1970,22.7,211
2015/01/22 23:40:57,5.0626,0.7553,0.0392,0.1986,22.8,212
2015/01/22 23:40:58,5.0625,0.7549,0.0394,0.1996,22.7,213
2015/01/22 23:40:59,5.0628,0.7553,0.0396,0.2007,22.7,214
2015/01/22 23:41:00,5.0629,0.7554,0.0399,0.2017,22.8,216
2015/01/22 23:41:01,5.0629,0.7554,0.0401,0.2028,22.8,217
2015/01/22 23:41:02,5.0629,0.7555,0.0403,0.2039,22.8,218
2015/01/22 23:41:03,5.0633,0.7555,0.0406,0.2055,22.8,219
2015/01/22 23:41:05,5.0631,0.7555,0.0408,0.2065,22.8,220
2015/01/22 23:41:06,5.0634,0.7555,0.0410,0.2076,22.8,221
2015/01/22 23:41:07,5.0634,0.7555,0.0412,0.2086,22.8,222
2015/01/22 23:41:08,5.0630,0.7552,0.0414,0.2097,22.8,223
2015/01/22 23:41:09,5.0633,0.7555,0.0417,0.2113,22.8,224
2015/01/22 23:41:10,5.0634,0.7555,0.0420,0.2124,22.8,225
2015/01/22 23:41:11,5.0630,0.7557,0.0422,0.2134,22.8,227
2015/01/22 23:41:12,5.0631,0.7558,0.0424,0.2145,22.8,228
2015/01/22 23:41:13,5.0629,0.7553,0.0426,0.2155,22.8,229
2015/01/22 23:41:14,5.0631,0.7558,0.0428,0.2166,22.8,230
2015/01/22 23:41:15,5.0628,0.7557,0.0431,0.2182,22.8,231
2015/01/22 23:41:17,5.0629,0.7560,0.0433,0.2193,22.8,232
2015/01/22 23:41:18,5.0629,0.7560,0.0435,0.2203,22.8,233
2015/01/22 23:41:19,5.0629,0.7561,0.0437,0.2214,22.8,234
2015/01/22 23:41:20,5.0627,0.7559,0.0439,0.2225,22.8,235
2015/01/22 23:41:21,5.0617,0.7544,0.0443,0.2240,22.8,236
2015/01/22 23:41:22,5.0617,0.7551,0.0445,0.2251,22.8,237
2015/01/22 23:41:23,5.0621,0.7555,0.0447,0.2262,22.8,239
2015/01/22 23:41:24,5.0626,0.7561,0.0449,0.2272,22.8,240
2015/01/22 23:41:25,5.0619,0.7546,0.0451,0.2283,22.8,241
2015/01/22 23:41:26,5.0625,0.7560,0.0453,0.2294,22.8,242
2015/01/22 23:41:27,5.0624,0.7561,0.0456,0.2310,22.8,243
2015/01/22 23:41:29,5.0629,0.7579,0.0458,0.2320,22.8,244
2015/01/22 23:41:30,5.0629,0.7536,0.0460,0.2331,22.8,245
2015/01/22 23:41:31,5.0633,0.7576,0.0463,0.2341,22.8,246
2015/01/22 23:41:32,5.0633,0.7578,0.0465,0.2352,22.8,247
2015/01/22 23:41:33,5.0644,0.7572,0.0468,0.2368,22.8,248
2015/01/22 23:41:34,5.0642,0.7577,0.0470,0.2379,22.8,249
2015/01/22 23:41:35,5.0644,0.7578,0.0472,0.2389,22.8,251
2015/01/22 23:41:36,5.0643,0.7578,0.0474,0.2400,22.8,252
2015/01/22 23:41:37,5.0644,0.7580,0.0476,0.2411,22.8,253
2015/01/22 23:41:38,5.0644,0.7579,0.0479,0.2427,22.8,254
2015/01/22 23:41:40,5.0635,0.7522,0.0481,0.2437,22.8,255
2015/01/22 23:41:41,5.0637,0.7562,0.0484,0.2448,22.8,256
2015/01/22 23:41:42,5.0638,0.7563,0.0486,0.2459,22.8,257
2015/01/22 23:41:43,5.0641,0.7573,0.0488,0.2469,22.8,258
2015/01/22 23:41:44,5.0638,0.7564,0.0490,0.2480,22.8,259
2015/01/22 23:41:45,5.0636,0.7564,0.0493,0.2496,22.8,260
2015/01/22 23:41:46,5.0646,0.7578,0.0495,0.2507,22.8,261
2015/01/22 23:41:47,5.0638,0.7563,0.0497,0.2517,22.8,263
2015/01/22 23:41:48,5.0638,0.7561,0.0499,0.2528,22.8,264
2015/01/22 23:41:49,5.0644,0.7519,0.0501,0.2538,22.8,265
2015/01/22 23:41:50,5.0647,0.7564,0.0505,0.2554,22.8,266
2015/01/22 23:41:52,5.0649,0.7561,0.0507,0.2565,22.8,267
2015/01/22 23:41:53,5.0654,0.7562,0.0509,0.2576,22.8,268
