2015/01/24 12:43:39,U,I,Ah,Wh,T,S
2015/01/24 12:43:39,5.2123,0.0000,0.0000,0.0000,23.0,29
2015/01/24 12:43:42,5.2121,0.0000,0.0000,0.0000,23.0,32
2015/01/24 12:43:43,5.2120,0.0000,0.0000,0.0000,23.0,33
2015/01/24 12:43:44,5.2120,0.0000,0.0000,0.0000,23.0,34
2015/01/24 12:43:45,5.2122,-0.0001,0.0000,0.0000,23.0,35
2015/01/24 12:43:46,5.1027,0.3810,0.0001,0.0005,23.0,36
2015/01/24 12:43:47,5.0978,0.4117,0.0002,0.0011,23.0,37
2015/01/24 12:43:48,5.0976,0.4149,0.0003,0.0017,23.0,39
2015/01/24 12:43:49,5.0885,0.4522,0.0004,0.0023,23.0,40
2015/01/24 12:43:51,5.1029,0.4358,0.0005,0.0030,23.0,41
2015/01/24 12:43:52,5.0894,0.4517,0.0007,0.0039,23.0,42
2015/01/24 12:43:53,5.0721,0.7125,0.0009,0.0050,23.0,43
2015/01/24 12:43:54,5.0763,0.9232,0.0012,0.0063,23.0,44
2015/01/24 12:43:55,5.0794,0.9213,0.0015,0.0076,23.0,45
2015/01/24 12:43:56,5.0859,0.9279,0.0017,0.0089,23.0,46
2015/01/24 12:43:57,5.0932,0.9307,0.0021,0.0109,23.0,47
2015/01/24 12:43:58,5.0970,0.9324,0.0024,0.0122,23.0,48
2015/01/24 12:43:59,5.0961,0.9307,0.0026,0.0135,23.0,50
2015/01/24 12:44:00,5.0966,0.9308,0.0029,0.0148,23.0,51
2015/01/24 12:44:01,5.0992,0.9323,0.0031,0.0162,23.0,52
2015/01/24 12:44:03,5.1050,0.9482,0.0034,0.0175,23.0,53
2015/01/24 12:44:04,5.1064,0.9459,0.0038,0.0195,23.0,54
2015/01/24 12:44:05,5.1078,0.9425,0.0041,0.0209,23.0,55
2015/01/24 12:44:06,5.0998,0.9262,0.0043,0.0222,23.0,56
2015/01/24 12:44:07,5.0968,0.9245,0.0046,0.0235,23.0,57
2015/01/24 12:44:08,5.1226,0.3618,0.0047,0.0240,23.0,58
2015/01/24 12:44:09,5.0846,0.9217,0.0050,0.0258,23.0,59
2015/01/24 12:44:10,5.0855,0.9238,0.0053,0.0271,23.0,60
2015/01/24 12:44:11,5.0870,0.9240,0.0055,0.0284,23.0,62
2015/01/24 12:44:12,5.0891,0.9193,0.0058,0.0297,23.0,63
2015/01/24 12:44:13,5.0966,0.8940,0.0060,0.0309,23.0,64
2015/01/24 12:44:15,5.0943,0.9038,0.0063,0.0322,23.0,65
2015/01/24 12:44:16,5.0946,0.9050,0.0067,0.0341,23.0,66
2015/01/24 12:44:17,5.0947,0.9069,0.0069,0.0354,23.0,67
2015/01/24 12:44:18,5.0910,0.9228,0.0073,0.0374,23.0,68
2015/01/24 12:44:19,5.0919,0.9199,0.0076,0.0387,23.0,69
2015/01/24 12:44:20,5.0923,0.9193,0.0078,0.0400,23.0,71
2015/01/24 12:44:21,5.0929,0.9165,0.0081,0.0413,23.0,72
2015/01/24 12:44:22,5.0929,0.9177,0.0083,0.0426,23.0,73
2015/01/24 12:44:24,5.0923,0.9204,0.0086,0.0439,23.0,74
2015/01/24 12:44:25,5.0921,0.9254,0.0090,0.0458,23.0,75
2015/01/24 12:44:26,5.0961,0.9300,0.0092,0.0472,23.0,76
2015/01/24 12:44:27,5.0970,0.9293,0.0095,0.0485,23.0,77
2015/01/24 12:44:28,5.0958,0.9095,0.0097,0.0497,23.0,78
2015/01/24 12:44:29,5.0961,0.9084,0.0100,0.0510,23.0,79
2015/01/24 12:44:30,5.0961,0.9091,0.0104,0.0529,23.0,80
2015/01/24 12:44:31,5.0952,0.9123,0.0106,0.0542,23.0,81
2015/01/24 12:44:32,5.0970,0.9074,0.0109,0.0555,23.0,83
