2015/02/26 22:32:29,U,I,Ah,Wh,T,S
2015/02/26 22:32:29,0.0009,0.0000,0.0000,0.0000,26.8,11
2015/02/26 22:32:31,0.0007,0.0000,0.0000,0.0000,26.8,12
2015/02/26 22:32:32,0.0008,0.0000,0.0000,0.0000,26.8,13
2015/02/26 22:32:33,0.0017,0.0000,0.0000,0.0000,26.8,14
2015/02/26 22:32:34,0.0008,0.0000,0.0000,0.0000,26.8,15
2015/02/26 22:32:35,0.0024,0.0000,0.0000,0.0000,26.8,16
2015/02/26 22:32:36,0.0010,0.0000,0.0000,0.0000,26.8,17
2015/02/26 22:32:37,0.0010,0.0000,0.0000,0.0000,26.8,18
2015/02/26 22:32:38,0.0009,0.0000,0.0000,0.0000,26.8,19
2015/02/26 22:32:39,0.0008,0.0000,0.0000,0.0000,26.9,21
2015/02/26 22:32:40,0.0004,0.0000,0.0000,0.0000,26.8,22
2015/02/26 22:32:41,0.0002,0.0000,0.0000,0.0000,26.9,23
2015/02/26 22:32:43,0.0002,0.0000,0.0000,0.0000,26.9,24
2015/02/26 22:32:44,0.0003,0.0000,0.0000,0.0000,26.9,25
2015/02/26 22:32:45,0.0005,0.0000,0.0000,0.0000,26.9,26
2015/02/26 22:32:46,0.0005,0.0000,0.0000,0.0000,26.9,27
2015/02/26 22:32:47,0.0003,0.0000,0.0000,0.0000,26.9,28
2015/02/26 22:32:48,0.0004,0.0000,0.0000,0.0000,26.9,29
2015/02/26 22:32:49,0.0002,0.0000,0.0000,0.0000,26.9,30
2015/02/26 22:32:50,0.0002,0.0000,0.0000,0.0000,26.9,31
2015/02/26 22:32:51,0.0005,0.0000,0.0000,0.0000,26.9,33
2015/02/26 22:32:52,0.0001,0.0000,0.0000,0.0000,27.0,34
2015/02/26 22:32:54,0.0002,0.0000,0.0000,0.0000,26.9,35
2015/02/26 22:32:55,0.0002,0.0000,0.0000,0.0000,27.0,36
2015/02/26 22:32:56,0.0000,0.0000,0.0000,0.0000,27.0,37
2015/02/26 22:32:57,0.0001,0.0000,0.0000,0.0000,27.0,38
2015/02/26 22:32:58,0.0008,0.0000,0.0000,0.0000,27.0,39
2015/02/26 22:32:59,0.0009,0.0000,0.0000,0.0000,27.0,40
2015/02/26 22:33:00,-0.0005,0.0000,0.0000,0.0000,27.0,41
2015/02/26 22:33:01,0.0008,0.0000,0.0000,0.0000,27.0,42
2015/02/26 22:33:02,0.0007,0.0000,0.0000,0.0000,27.0,43
2015/02/26 22:33:03,0.0017,0.0000,0.0000,0.0000,27.0,45
2015/02/26 22:33:04,5.2190,0.0000,0.0000,0.0000,27.0,46
2015/02/26 22:33:06,5.2189,0.0000,0.0000,0.0000,27.0,47
2015/02/26 22:33:07,5.2187,0.0000,0.0000,0.0000,27.0,48
2015/02/26 22:33:08,5.2189,0.0000,0.0000,0.0000,27.0,49
2015/02/26 22:33:09,5.2189,0.0000,0.0000,0.0000,27.0,50
2015/02/26 22:33:10,5.2184,0.0000,0.0000,0.0000,27.0,51
2015/02/26 22:33:11,5.2186,0.0000,0.0000,0.0000,27.0,52
2015/02/26 22:33:12,5.2192,0.0000,0.0000,0.0000,27.0,53
2015/02/26 22:33:13,5.2186,0.0000,0.0000,0.0000,27.1,54
2015/02/26 22:33:14,5.2187,0.0000,0.0000,0.0000,27.1,56
2015/02/26 22:33:15,5.2184,0.0000,0.0000,0.0000,27.0,57
2015/02/26 22:33:16,5.2183,0.0000,0.0000,0.0000,27.1,58
2015/02/26 22:33:18,5.2182,0.0000,0.0000,0.0000,27.1,59
2015/02/26 22:33:19,5.2185,0.0000,0.0000,0.0000,27.1,60
2015/02/26 22:33:20,5.2195,0.0007,0.0000,0.0000,27.1,61
2015/02/26 22:33:21,5.1923,0.0941,0.0000,0.0002,27.1,62
2015/02/26 22:33:22,5.1922,0.0941,0.0000,0.0003,27.1,63
