log dump 1800
    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,    28,  4.1247,  0.0000,  25.8, 812.8
    1,    38,  4.1248,  0.0000,  25.8, 812.8
    2,    48,  4.1247,  0.0000,  25.8, 812.8
    3,    58,  4.1247,  0.0000,  25.8, 812.8
    4,    68,  4.1247,  0.0000,  25.8, 812.8
    5,    78,  4.1247,  0.0000,  25.8, 812.8
    6,    88,  4.1247,  0.0000,  25.6, 812.6
    7,    98,  4.1247, -0.0001,  25.6, 812.6
    8,   108,  4.1248,  0.0000,  25.6, 812.6
    9,   118,  4.1248,  0.0000,  25.5, 812.5
   10,   128,  4.1247,  0.0000,  25.5, 812.5
   11,   138,  4.1248,  0.0000,  25.4, 812.4
   12,   148,  4.1247,  0.0000,  25.3, 812.3
   13,   158,  4.1248,  0.0000,  25.3, 812.3
   14,   168,  4.1247,  0.0000,  25.3, 812.3
   15,   178,  4.1247,  0.0000,  25.2, 812.2
   16,   188,  4.1248,  0.0000,  25.1, 812.1
   17,   198,  4.1248,  0.0000,  25.1, 812.1
   18,   208,  4.1247,  0.0000,  25.1, 812.1
   19,   218,  4.1247,  0.0000,  25.1, 812.1
   20,   228,  4.1247,  0.0000,  25.1, 812.1
   21,   238,  4.0583,  0.5384,  25.1, 812.1
   22,   248,  4.0540,  0.5383,  25.2, 812.2
   23,   258,  4.0513,  0.5383,  25.1, 812.1
   24,   268,  4.0489,  0.5382,  25.1, 812.1
   25,   278,  4.0468,  0.5382,  25.1, 812.1
   26,   288,  4.0451,  0.5382,  25.1, 812.1
   27,   298,  4.0435,  0.5382,  25.1, 812.1
   28,   308,  4.0423,  0.5382,  25.1, 812.1
   29,   318,  4.0410,  0.5382,  25.0, 812.0
   30,   328,  4.0398,  0.5382,  25.0, 812.0
   31,   338,  4.0388,  0.5381,  25.0, 812.0
   32,   348,  4.0378,  0.5381,  25.0, 812.0
   33,   358,  4.0369,  0.5380,  24.9, 811.9
   34,   368,  4.0360,  0.5380,  24.9, 811.9
   35,   378,  4.0352,  0.5380,  24.8, 811.8
   36,   388,  4.0343,  0.5380,  24.8, 811.8
   37,   398,  4.0336,  0.5380,  24.8, 811.8
   38,   408,  4.0328,  0.5380,  24.8, 811.8
   39,   418,  4.0321,  0.5380,  24.8, 811.8
   40,   428,  4.0314,  0.5380,  24.7, 811.7
   41,   438,  4.0306,  0.5380,  24.7, 811.7
   42,   448,  4.0300,  0.5380,  24.7, 811.7
   43,   458,  4.0292,  0.5380,  24.6, 811.6
   44,   468,  4.0287,  0.5380,  24.6, 811.6
   45,   478,  4.0280,  0.5380,  24.6, 811.6
   46,   488,  4.0274,  0.5380,  24.6, 811.6
   47,   498,  4.0267,  0.5380,  24.6, 811.6
   48,   508,  4.0260,  0.5380,  24.6, 811.6
   49,   518,  4.0254,  0.5380,  24.6, 811.6
   50,   528,  4.0248,  0.5380,  24.6, 811.6
   51,   538,  4.0242,  0.5379,  24.5, 811.5
   52,   548,  4.0235,  0.5379,  24.5, 811.5
   53,   558,  4.0230,  0.5378,  24.5, 811.5
   54,   568,  4.0224,  0.5378,  24.5, 811.5
   55,   578,  4.0218,  0.5378,  24.5, 811.5
   56,   588,  4.0212,  0.5378,  24.5, 811.5
   57,   598,  4.0207,  0.5377,  24.5, 811.5
   58,   608,  4.0200,  0.5377,  24.5, 811.5
   59,   618,  4.0194,  0.5377,  24.5, 811.5
   60,   628,  4.0189,  0.5376,  24.5, 811.5
   61,   638,  4.0183,  0.5376,  24.5, 811.5
   62,   648,  4.0177,  0.5376,  24.5, 811.5
   63,   658,  4.0172,  0.5376,  24.5, 811.5
   64,   668,  4.0165,  0.5375,  24.5, 811.5
   65,   678,  4.0160,  0.5376,  24.5, 811.5
   66,   688,  4.0155,  0.5375,  24.4, 811.4
   67,   698,  4.0148,  0.5374,  24.4, 811.4
   68,   708,  4.0142,  0.5375,  24.4, 811.4
   69,   718,  4.0137,  0.5375,  24.4, 811.4
   70,   728,  4.0131,  0.5374,  24.4, 811.4
   71,   738,  4.0125,  0.5374,  24.4, 811.4
   72,   748,  4.0120,  0.5374,  24.4, 811.4
   73,   758,  4.0114,  0.5374,  24.4, 811.4
   74,   768,  4.0108,  0.5373,  24.4, 811.4
   75,   778,  4.0103,  0.5373,  24.3, 811.3
   76,   788,  4.0097,  0.5373,  24.3, 811.3
   77,   798,  4.0092,  0.5373,  24.3, 811.3
   78,   808,  4.0085,  0.5373,  24.3, 811.3
   79,   818,  4.0080,  0.5373,  24.3, 811.3
   80,   828,  4.0074,  0.5373,  24.3, 811.3
   81,   838,  4.0069,  0.5372,  24.3, 811.3
   82,   848,  4.0063,  0.5372,  24.3, 811.3
   83,   858,  4.0057,  0.5372,  24.3, 811.3
   84,   868,  4.0052,  0.5372,  24.3, 811.3
   85,   878,  4.0048,  0.5371,  24.3, 811.3
   86,   888,  4.0040,  0.5372,  24.3, 811.3
   87,   898,  4.0035,  0.5371,  24.3, 811.3
   88,   908,  4.0030,  0.5371,  24.3, 811.3
   89,   918,  4.0025,  0.5371,  24.3, 811.3
   90,   928,  4.0020,  0.5371,  24.3, 811.3
   91,   938,  4.0013,  0.5371,  24.3, 811.3
   92,   948,  4.0008,  0.5372,  24.3, 811.3
   93,   958,  4.0003,  0.5371,  24.3, 811.3
   94,   968,  3.9997,  0.5371,  24.3, 811.3
   95,   978,  3.9991,  0.5371,  24.3, 811.3
   96,   988,  3.9987,  0.5372,  24.3, 811.3
   97,   998,  3.9981,  0.5371,  24.3, 811.3
   98,  1008,  3.9975,  0.5370,  24.3, 811.3
   99,  1018,  3.9969,  0.5370,  24.3, 811.3
  100,  1028,  3.9964,  0.5371,  24.3, 811.3
  101,  1038,  3.9959,  0.5371,  24.3, 811.3
  102,  1048,  3.9953,  0.5370,  24.3, 811.3
  103,  1058,  3.9946,  0.5371,  24.3, 811.3
  104,  1068,  3.9942,  0.5371,  24.3, 811.3
  105,  1078,  3.9936,  0.5370,  24.3, 811.3
  106,  1088,  3.9931,  0.5370,  24.3, 811.3
  107,  1098,  3.9925,  0.5371,  24.3, 811.3
  108,  1108,  3.9920,  0.5371,  24.3, 811.3
  109,  1118,  3.9915,  0.5370,  24.3, 811.3
  110,  1128,  3.9909,  0.5370,  24.2, 811.2
  111,  1138,  3.9905,  0.5371,  24.2, 811.2
  112,  1148,  3.9898,  0.5370,  24.2, 811.2
  113,  1158,  3.9894,  0.5370,  24.2, 811.2
  114,  1168,  3.9888,  0.5370,  24.2, 811.2
  115,  1178,  3.9883,  0.5370,  24.2, 811.2
  116,  1188,  3.9877,  0.5370,  24.2, 811.2
  117,  1198,  3.9873,  0.5370,  24.2, 811.2
  118,  1208,  3.9867,  0.5370,  24.2, 811.2
  119,  1218,  3.9862,  0.5370,  24.2, 811.2
  120,  1228,  3.9857,  0.5370,  24.2, 811.2
  121,  1238,  3.9852,  0.5369,  24.2, 811.2
  122,  1248,  3.9846,  0.5370,  24.2, 811.2
  123,  1258,  3.9841,  0.5369,  24.2, 811.2
  124,  1268,  3.9836,  0.5370,  24.2, 811.2
  125,  1278,  3.9831,  0.5369,  24.2, 811.2
  126,  1288,  3.9826,  0.5369,  24.2, 811.2
  127,  1298,  3.9820,  0.5370,  24.2, 811.2
