    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,    10,  5.2151, -0.0002,  26.0, 813.0
    1,    15,  5.2145, -0.0001,  26.0, 813.0
    2,    20,  5.2139, -0.0001,  26.0, 813.0
    3,    25,  5.2134, -0.0002,  26.5, 813.5
    4,    30,  5.2109, -0.0001,  26.5, 813.5
    5,    35,  5.2094, -0.0001,  26.5, 813.5
    6,    40,  5.2105, -0.0001,  26.5, 813.5
    7,    45,  5.2105, -0.0001,  26.5, 813.5
    8,    50,  5.2109, -0.0002,  26.5, 813.5
    9,    55,  5.2107, -0.0001,  26.0, 813.0
   10,    60,  5.2098, -0.0002,  26.0, 813.0
   11,    65,  5.2089, -0.0002,  26.0, 813.0
   12,    70,  5.2080, -0.0002,  26.0, 813.0
   13,    75,  5.2064, -0.0001,  26.0, 813.0
   14,    80,  5.2050, -0.0002,  26.0, 813.0
   15,    85,  5.2050, -0.0001,  26.0, 813.0
   16,    90,  5.2044, -0.0001,  26.0, 813.0
   17,    95,  5.2044, -0.0002,  26.0, 813.0
   18,   100,  5.2034, -0.0002,  26.0, 813.0
   19,   105,  5.2037, -0.0001,  26.0, 813.0
   20,   110,  5.2033, -0.0001,  26.0, 813.0
   21,   115,  5.2039, -0.0002,  26.0, 813.0
   22,   120,  5.2034, -0.0002,  25.5, 812.5
   23,   125,  5.2026, -0.0001,  25.5, 812.5
   24,   130,  5.2023, -0.0002,  25.5, 812.5
   25,   135,  5.2030, -0.0002,  25.5, 812.5
   26,   140,  5.2029, -0.0001,  25.5, 812.5
   27,   145,  5.2023, -0.0002,  25.5, 812.5
   28,   150,  5.2017, -0.0001,  25.5, 812.5
   29,   155,  5.2029, -0.0002,  25.5, 812.5
   30,   160,  5.2010, -0.0001,  25.5, 812.5
   31,   165,  5.2009, -0.0002,  25.5, 812.5
   32,   170,  5.2008, -0.0002,  25.5, 812.5
   33,   175,  5.2012, -0.0002,  25.5, 812.5
   34,   180,  5.1615,  0.4569,  25.5, 812.5
   35,   185,  5.1672,  0.4577,  25.5, 812.5
   36,   190,  5.2547,  0.9498,  25.5, 812.5
   37,   195,  5.2595,  0.9504,  25.5, 812.5
   38,   200,  5.2617,  0.9510,  25.5, 812.5
   39,   205,  5.2631,  0.9501,  25.5, 812.5
   40,   210,  5.2346,  0.8146,  25.5, 812.5
