    i,  t(s),    U(V),    I(A), Tself, Tprob
    0,     9,  5.1711, -0.0001,  24.0, 811.0
    1,    14,  5.1706, -0.0001,  23.5, 810.5
    2,    19,  5.1705, -0.0001,  23.5, 810.5
    3,    24,  5.1736, -0.0001,  23.5, 810.5
    4,    29,  5.1723, -0.0001,  24.0, 811.0
    5,    34,  5.1721, -0.0001,  24.0, 811.0
    6,    39,  5.0877,  0.4353,  24.0, 811.0
    7,    44,  5.1031,  0.4474,  24.0, 811.0
    8,    49,  5.1066,  0.3883,  24.0, 811.0
    9,    54,  5.2329,  1.8040,  24.0, 811.0
   10,    59,  5.2415,  1.8051,  24.0, 811.0
   11,    64,  5.2148,  1.8094,  24.0, 811.0
   12,    69,  5.2114,  1.8125,  24.0, 811.0
   13,    74,  5.2003,  1.8143,  24.0, 811.0
   14,    79,  5.2096,  1.8149,  24.0, 811.0
   15,    84,  5.2133,  1.8155,  24.0, 811.0
   16,    89,  5.2098,  1.8164,  24.0, 811.0
   17,    94,  5.2137,  1.8173,  24.0, 811.0
   18,    99,  5.2117,  1.8184,  24.0, 811.0
   19,   104,  5.2081,  1.8188,  24.0, 811.0
   20,   109,  5.2055,  1.8204,  24.0, 811.0
   21,   114,  5.2011,  1.8209,  24.0, 811.0
   22,   119,  5.1917,  1.8223,  24.0, 811.0
   23,   124,  5.1915,  1.8229,  24.5, 811.5
   24,   129,  5.1882,  1.8231,  24.5, 811.5
   25,   134,  5.1575,  1.8255,  24.5, 811.5
   26,   139,  5.1698,  1.8254,  24.5, 811.5
   27,   144,  5.1858,  1.8253,  24.5, 811.5
   28,   149,  5.1859,  1.8260,  24.5, 811.5
   29,   154,  5.1952,  1.8260,  24.5, 811.5
   30,   159,  5.1987,  1.8260,  24.5, 811.5
   31,   164,  5.2003,  1.8268,  24.5, 811.5
   32,   169,  5.2045,  1.8271,  24.5, 811.5
   33,   174,  5.2110,  1.8273,  24.5, 811.5
   34,   179,  5.2121,  1.8278,  24.5, 811.5
   35,   184,  5.2115,  1.8284,  24.5, 811.5
   36,   189,  5.2127,  1.8288,  24.5, 811.5
   37,   194,  5.2165,  1.8289,  24.5, 811.5
   38,   199,  5.2312,  1.8293,  24.5, 811.5
   39,   204,  5.2554,  1.8283,  24.5, 811.5
   40,   209,  5.2741,  1.8283,  24.5, 811.5
   41,   214,  5.2882,  1.8283,  24.5, 811.5
   42,   219,  5.2966,  1.8280,  24.5, 811.5
   43,   224,  5.3017,  1.8279,  24.5, 811.5
   44,   229,  5.3073,  1.8280,  24.5, 811.5
   45,   234,  5.3137,  1.8283,  24.5, 811.5
   46,   239,  5.3185,  1.8280,  25.0, 812.0
   47,   244,  5.3207,  1.8283,  25.0, 812.0
   48,   249,  5.3238,  1.8286,  25.0, 812.0
   49,   254,  5.3259,  1.8288,  25.0, 812.0
   50,   259,  5.3278,  1.8287,  25.0, 812.0
   51,   264,  5.3289,  1.8291,  25.0, 812.0
   52,   269,  5.3303,  1.8294,  25.0, 812.0
