    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      32,  4.9953, -0.0006,  22.3, 809.3
    1,      35,  4.9951, -0.0006,  22.3, 809.3
    2,      38,  4.9951, -0.0006,  22.3, 809.3
    3,      41,  4.9951, -0.0006,  22.4, 809.4
    4,      44,  4.9954, -0.0006,  22.4, 809.4
    5,      47,  4.9955, -0.0006,  22.4, 809.4
    6,      50,  4.9955, -0.0006,  22.5, 809.5
    7,      53,  4.9952, -0.0006,  22.5, 809.5
    8,      56,  4.9954, -0.0006,  22.5, 809.5
    9,      59,  4.9954, -0.0006,  22.5, 809.5
   10,      62,  4.9952,  0.0004,  22.5, 809.5
   11,      65,  4.9636,  1.0674,  22.6, 809.6
   12,      68,  4.9866,  0.2932,  22.6, 809.6
   13,      71,  8.7450,  0.1339,  22.6, 809.6
   14,      74,  8.7020,  1.3091,  22.7, 809.7
   15,      77,  8.7022,  1.3151,  22.7, 809.7
   16,      80,  8.7023,  1.3177,  22.8, 809.8
   17,      83,  8.7082,  1.1938,  22.8, 809.8
   18,      86,  8.7083,  1.1944,  22.8, 809.8
   19,      89,  8.7084,  1.1972,  22.8, 809.8
   20,      92,  8.7084,  1.1975,  22.8, 809.8
   21,      95,  8.7084,  1.1978,  22.9, 809.9
   22,      98,  8.7083,  1.2001,  22.9, 809.9
   23,     101,  8.7084,  1.2020,  22.9, 809.9
   24,     104,  8.7085,  1.2023,  22.9, 809.9
   25,     107,  8.7084,  1.2045,  23.0, 810.0
   26,     110,  8.7084,  1.2023,  23.0, 810.0
   27,     113,  8.7085,  1.2058,  23.0, 810.0
   28,     116,  8.7091,  1.1944,  23.0, 810.0
   29,     119,  8.7090,  1.1931,  23.0, 810.0
   30,     122,  8.7089,  1.1950,  23.0, 810.0
   31,     125,  8.7088,  1.1965,  23.0, 810.0
   32,     128,  8.7089,  1.1962,  23.0, 810.0
   33,     131,  8.7088,  1.1978,  23.0, 810.0
   34,     134,  8.7086,  1.1985,  23.0, 810.0
   35,     137,  8.7086,  1.1981,  23.0, 810.0
   36,     140,  8.7086,  1.1998,  23.0, 810.0
   37,     143,  8.7086,  1.2001,  23.0, 810.0
   38,     146,  8.7086,  1.2017,  23.0, 810.0
   39,     149,  8.7083,  1.2014,  23.0, 810.0
   40,     152,  8.7084,  1.2038,  23.0, 810.0
   41,     155,  8.7082,  1.2041,  23.0, 810.0
   42,     158,  8.7082,  1.2020,  23.0, 810.0
   43,     161,  8.7083,  1.2035,  23.0, 810.0
   44,     164,  8.7082,  1.2045,  23.1, 810.1
   45,     167,  8.7082,  1.2058,  23.1, 810.1
   46,     170,  8.7082,  1.2048,  23.1, 810.1
   47,     173,  8.7081,  1.2077,  23.1, 810.1
   48,     176,  8.7080,  1.2087,  23.0, 810.0
   49,     179,  8.7081,  1.2074,  23.0, 810.0
   50,     182,  8.7075,  1.2074,  23.1, 810.1
   51,     185,  8.7031,  1.2093,  23.1, 810.1
   52,     188,  8.7034,  1.2077,  23.1, 810.1
   53,     191,  8.7032,  1.2124,  23.1, 810.1
   54,     194,  8.7034,  1.2105,  23.1, 810.1
   55,     197,  8.7034,  1.2087,  23.1, 810.1
   56,     200,  8.7037,  1.2114,  23.1, 810.1
   57,     203,  8.7034,  1.2118,  23.1, 810.1
   58,     206,  8.7035,  1.2114,  23.1, 810.1
   59,     209,  8.7034,  1.2118,  23.1, 810.1
   60,     212,  8.7033,  1.2134,  23.1, 810.1
   61,     215,  8.7033,  1.2124,  23.1, 810.1
   62,     218,  8.7033,  1.2140,  23.1, 810.1
   63,     221,  8.7031,  1.2137,  23.2, 810.2
   64,     224,  8.7033,  1.2143,  23.2, 810.2
   65,     227,  8.7032,  1.2134,  23.2, 810.2
   66,     230,  8.7031,  1.2150,  23.2, 810.2
   67,     233,  8.7031,  1.2143,  23.2, 810.2
   68,     236,  8.7031,  1.2156,  23.2, 810.2
   69,     239,  8.7032,  1.2156,  23.2, 810.2
   70,     242,  8.7030,  1.2134,  23.2, 810.2
   71,     245,  8.7029,  1.2153,  23.2, 810.2
   72,     248,  8.7029,  1.2156,  23.2, 810.2
   73,     251,  8.7022,  1.2156,  23.2, 810.2
   74,     254,  8.7025,  1.2150,  23.2, 810.2
   75,     257,  8.7026,  1.2153,  23.3, 810.3
   76,     260,  8.7027,  1.2163,  23.3, 810.3
   77,     263,  8.7026,  1.2156,  23.3, 810.3
   78,     266,  8.7026,  1.2168,  23.3, 810.3
   79,     269,  8.7026,  1.2163,  23.3, 810.3
   80,     272,  8.7025,  1.2165,  23.3, 810.3
   81,     275,  8.7026,  1.2165,  23.3, 810.3
   82,     278,  8.7025,  1.2153,  23.3, 810.3
   83,     281,  8.7023,  1.2160,  23.3, 810.3
   84,     284,  8.7023,  1.2163,  23.3, 810.3
   85,     287,  8.7023,  1.2171,  23.3, 810.3
   86,     290,  8.7021,  1.2163,  23.3, 810.3
   87,     293,  8.7021,  1.2160,  23.3, 810.3
   88,     296,  8.7022,  1.2165,  23.3, 810.3
   89,     299,  8.7022,  1.2163,  23.3, 810.3
   90,     302,  8.7021,  1.2163,  23.3, 810.3
   91,     305,  8.7020,  1.2171,  23.3, 810.3
   92,     308,  8.7019,  1.2171,  23.3, 810.3
   93,     311,  8.7020,  1.2163,  23.3, 810.3
   94,     314,  8.7019,  1.2163,  23.3, 810.3
   95,     317,  8.7019,  1.2168,  23.4, 810.4
   96,     320,  8.7019,  1.2168,  23.4, 810.4
   97,     323,  8.7018,  1.2171,  23.4, 810.4
   98,     326,  8.7018,  1.2168,  23.4, 810.4
   99,     329,  8.7017,  1.2168,  23.4, 810.4
  100,     332,  8.7017,  1.2178,  23.4, 810.4
  101,     335,  8.7017,  1.2187,  23.4, 810.4
  102,     338,  8.7017,  1.2178,  23.4, 810.4
  103,     341,  8.7015,  1.2178,  23.4, 810.4
  104,     344,  8.7014,  1.2168,  23.4, 810.4
  105,     347,  8.7013,  1.2174,  23.5, 810.5
  106,     350,  8.7014,  1.2174,  23.5, 810.5
  107,     353,  8.7014,  1.2171,  23.5, 810.5
  108,     356,  8.7013,  1.2178,  23.5, 810.5
  109,     359,  8.7012,  1.2178,  23.5, 810.5
  110,     362,  8.7012,  1.2184,  23.5, 810.5
  111,     365,  8.7011,  1.2181,  23.5, 810.5
  112,     368,  8.7011,  1.2181,  23.5, 810.5
  113,     371,  8.7010,  1.2178,  23.5, 810.5
  114,     374,  8.7010,  1.2181,  23.5, 810.5
  115,     377,  8.7010,  1.2178,  23.5, 810.5
  116,     380,  8.7009,  1.2181,  23.5, 810.5
  117,     383,  8.7009,  1.2178,  23.5, 810.5
  118,     386,  8.7009,  1.2174,  23.5, 810.5
  119,     389,  8.7009,  1.2181,  23.5, 810.5
  120,     392,  8.7008,  1.2184,  23.5, 810.5
  121,     395,  8.7007,  1.2184,  23.5, 810.5
  122,     398,  8.7006,  1.2181,  23.5, 810.5
  123,     401,  8.7007,  1.2184,  23.5, 810.5
  124,     404,  8.7006,  1.2184,  23.5, 810.5
  125,     407,  8.7005,  1.2187,  23.6, 810.6
  126,     410,  8.7006,  1.2184,  23.5, 810.5
  127,     413,  8.7005,  1.2187,  23.5, 810.5
  128,     416,  8.7004,  1.2191,  23.6, 810.6
  129,     419,  8.7001,  1.2187,  23.6, 810.6
  130,     422,  8.7002,  1.2187,  23.6, 810.6
  131,     425,  8.7002,  1.2191,  23.6, 810.6
  132,     428,  8.7000,  1.2194,  23.6, 810.6
  133,     431,  8.6999,  1.2194,  23.6, 810.6
  134,     434,  8.7001,  1.2197,  23.6, 810.6
  135,     437,  8.7000,  1.2194,  23.6, 810.6
  136,     440,  8.6999,  1.2200,  23.6, 810.6
  137,     443,  8.6998,  1.2197,  23.6, 810.6
  138,     446,  8.6998,  1.2197,  23.6, 810.6
  139,     449,  8.6998,  1.2200,  23.6, 810.6
  140,     452,  8.6998,  1.2197,  23.6, 810.6
  141,     455,  8.6998,  1.2203,  23.6, 810.6
  142,     458,  8.6997,  1.2203,  23.6, 810.6
  143,     461,  8.6997,  1.2207,  23.6, 810.6
  144,     464,  8.6995,  1.2210,  23.6, 810.6
  145,     467,  8.7013,  1.1861,  23.6, 810.6
  146,     470,  8.6995,  1.2207,  23.6, 810.6
  147,     473,  8.6995,  1.2203,  23.6, 810.6
  148,     476,  8.6994,  1.2203,  23.6, 810.6
  149,     479,  8.6993,  1.2207,  23.7, 810.7
  150,     482,  8.6993,  1.2210,  23.7, 810.7
  151,     485,  8.6992,  1.2207,  23.7, 810.7
  152,     488,  8.6992,  1.2213,  23.7, 810.7
  153,     491,  8.6992,  1.2213,  23.7, 810.7
  154,     494,  8.6991,  1.2213,  23.7, 810.7
  155,     497,  8.6991,  1.2210,  23.7, 810.7
  156,     500,  8.6991,  1.2207,  23.7, 810.7
  157,     503,  8.6990,  1.2210,  23.7, 810.7
  158,     506,  8.6988,  1.2216,  23.7, 810.7
  159,     509,  8.6987,  1.2216,  23.8, 810.8
  160,     512,  8.6988,  1.2216,  23.8, 810.8
  161,     515,  8.6987,  1.2216,  23.8, 810.8
  162,     518,  8.6986,  1.2216,  23.8, 810.8
  163,     521,  8.6986,  1.2223,  23.8, 810.8
  164,     524,  8.6986,  1.2226,  23.8, 810.8
  165,     527,  8.6985,  1.2229,  23.9, 810.9
  166,     530,  8.6985,  1.2229,  23.9, 810.9
  167,     533,  8.6985,  1.2229,  23.9, 810.9
  168,     536,  8.6985,  1.2229,  23.9, 810.9
  169,     539,  8.6984,  1.2226,  24.0, 811.0
