2015/01/21 23:32:26,U,I,Ah,Wh,T,S
2015/01/21 23:32:27,5.0278,0.9620,0.0019,0.0095,30.0,22
2015/01/21 23:32:28,5.0292,0.9621,0.0021,0.0109,30.0,23
2015/01/21 23:32:29,5.0322,0.9620,0.0024,0.0122,30.0,24
2015/01/21 23:32:30,5.0330,0.9619,0.0028,0.0142,30.0,25
2015/01/21 23:32:31,5.0333,0.9621,0.0031,0.0156,30.0,26
2015/01/21 23:32:32,5.0348,0.9619,0.0033,0.0169,30.0,28
2015/01/21 23:32:33,5.0347,0.9623,0.0036,0.0183,30.0,29
2015/01/21 23:32:34,5.0353,0.9623,0.0039,0.0196,30.0,30
2015/01/21 23:32:36,5.0380,0.9618,0.0041,0.0210,30.0,31
2015/01/21 23:32:37,5.0387,0.9618,0.0045,0.0230,29.9,32
2015/01/21 23:32:38,5.0394,0.9624,0.0048,0.0243,30.0,33
2015/01/21 23:32:39,5.0406,0.9618,0.0051,0.0257,29.9,34
2015/01/21 23:32:40,5.0414,0.9618,0.0053,0.0270,29.9,35
2015/01/21 23:32:41,5.0428,0.9618,0.0056,0.0284,29.9,36
2015/01/21 23:32:42,5.0440,0.9618,0.0060,0.0304,29.9,37
2015/01/21 23:32:43,5.0449,0.9617,0.0063,0.0317,29.9,38
2015/01/21 23:32:44,5.0458,0.9618,0.0065,0.0331,29.8,40
2015/01/21 23:32:45,5.0460,0.9618,0.0068,0.0344,29.8,41
2015/01/21 23:32:46,5.0463,0.9618,0.0071,0.0358,29.8,42
2015/01/21 23:32:48,5.0467,0.9619,0.0075,0.0378,29.9,43
2015/01/21 23:32:49,5.0465,0.9616,0.0077,0.0392,29.8,44
2015/01/21 23:32:50,5.0466,0.9618,0.0080,0.0405,29.8,45
2015/01/21 23:32:51,5.0469,0.9616,0.0083,0.0418,29.8,46
2015/01/21 23:32:52,5.0476,0.9618,0.0085,0.0432,29.8,47
2015/01/21 23:32:53,5.0483,0.9618,0.0088,0.0445,29.8,48
2015/01/21 23:32:54,5.0489,0.9618,0.0092,0.0466,29.8,49
2015/01/21 23:32:55,5.0494,0.9615,0.0095,0.0479,29.8,50
2015/01/21 23:32:56,5.0498,0.9615,0.0098,0.0493,29.8,52
2015/01/21 23:32:57,5.0501,0.9616,0.0100,0.0506,29.8,53
