    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      11,  5.1720,  0.0001,  20.6, 807.6
    1,      15,  5.1721,  0.0001,  20.7, 807.7
    2,      19,  5.1718,  0.0001,  20.8, 807.8
    3,      23,  5.1716,  0.0001,  20.8, 807.8
    4,      27,  5.1716,  0.0000,  20.9, 807.9
    5,      31,  5.1723,  0.0001,  20.9, 807.9
    6,      35,  5.1720,  0.0001,  21.0, 808.0
    7,      39,  5.1722,  0.0001,  21.0, 808.0
    8,      43,  5.1720,  0.0001,  21.0, 808.0
    9,      47,  5.1722,  0.0001,  21.0, 808.0
   10,      51,  5.1726,  0.0001,  21.0, 808.0
   11,      55,  5.1725,  0.0001,  21.0, 808.0
   12,      59,  5.1728,  0.0001,  21.1, 808.1
   13,      63,  5.1729,  0.0001,  21.1, 808.1
   14,      67,  5.1724,  0.0001,  21.1, 808.1
   15,      71,  5.1724,  0.0001,  21.1, 808.1
   16,      75,  5.1723,  0.0001,  21.2, 808.2
   17,      79,  5.1720,  0.0001,  21.3, 808.3
   18,      83,  5.1721,  0.0001,  21.3, 808.3
   19,      87,  5.1723,  0.0001,  21.3, 808.3
   20,      91,  5.1726,  0.0001,  21.3, 808.3
   21,      95,  5.1724,  0.0001,  21.4, 808.4
   22,      99,  5.1723,  0.0001,  21.4, 808.4
   23,     103,  5.5022,  1.9948,  21.4, 808.4
   24,     107,  5.5119,  1.9748,  21.4, 808.4
   25,     111,  5.5179,  1.9727,  21.5, 808.5
   26,     115,  5.5216,  1.9748,  21.5, 808.5
   27,     119,  5.5241,  1.9745,  21.5, 808.5
   28,     123,  5.5267,  1.9735,  21.5, 808.5
   29,     127,  5.5283,  1.9730,  21.5, 808.5
   30,     131,  5.5301,  1.9727,  21.5, 808.5
   31,     135,  5.5320,  1.9727,  21.5, 808.5
   32,     139,  5.5335,  1.9724,  21.5, 808.5
   33,     143,  5.5347,  1.9720,  21.5, 808.5
   34,     147,  5.5364,  1.9714,  21.5, 808.5
   35,     151,  5.5365,  1.9711,  21.5, 808.5
   36,     155,  5.5374,  1.9711,  21.5, 808.5
   37,     159,  5.5388,  1.9708,  21.5, 808.5
   38,     163,  5.5395,  1.9711,  21.5, 808.5
   39,     167,  5.5409,  1.9711,  21.5, 808.5
   40,     171,  5.5418,  1.9711,  21.5, 808.5
   41,     175,  5.5426,  1.9714,  21.5, 808.5
   42,     179,  5.5438,  1.9714,  21.5, 808.5
   43,     183,  5.5443,  1.9714,  21.5, 808.5
   44,     187,  5.5455,  1.9714,  21.5, 808.5
   45,     191,  5.5459,  1.9714,  21.5, 808.5
   46,     195,  5.5463,  1.9714,  21.5, 808.5
   47,     199,  5.5471,  1.9717,  21.5, 808.5
   48,     203,  5.5481,  1.9717,  21.5, 808.5
   49,     207,  5.5486,  1.9720,  21.5, 808.5
   50,     211,  5.5495,  1.9720,  21.5, 808.5
   51,     215,  5.5502,  1.9724,  21.5, 808.5
   52,     219,  5.5508,  1.9724,  21.5, 808.5
   53,     223,  5.5514,  1.9720,  21.5, 808.5
   54,     227,  5.5521,  1.9724,  21.5, 808.5
   55,     231,  5.5524,  1.9727,  21.5, 808.5
   56,     235,  5.5531,  1.9730,  21.6, 808.6
   57,     239,  5.5540,  1.9730,  21.6, 808.6
   58,     243,  5.5543,  1.9732,  21.6, 808.6
   59,     247,  5.5547,  1.9732,  21.6, 808.6
   60,     251,  5.5557,  1.9732,  21.6, 808.6
   61,     255,  5.5560,  1.9732,  21.6, 808.6
   62,     259,  5.5563,  1.9735,  21.6, 808.6
   63,     263,  5.5566,  1.9738,  21.6, 808.6
   64,     267,  5.5571,  1.9735,  21.6, 808.6
