    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,       9,  5.1756,  0.0001,  24.2, 811.2
    1,      12,  5.1758,  0.0001,  24.3, 811.3
    2,      15,  5.1761,  0.0001,  24.3, 811.3
    3,      18,  5.1771,  0.0008,  24.3, 811.3
    4,      21,  5.1772,  0.0011,  24.3, 811.3
    5,      24,  5.1772,  0.0008,  24.3, 811.3
    6,      27,  5.1765,  0.0011,  24.3, 811.3
    7,      30,  5.1768,  0.0008,  24.4, 811.4
    8,      33,  5.1777,  0.0008,  24.4, 811.4
    9,      36,  5.1772,  0.0008,  24.4, 811.4
   10,      39,  5.1769,  0.0011,  24.5, 811.5
   11,      42,  5.1771,  0.0008,  24.5, 811.5
   12,      45,  5.1769,  0.0008,  24.5, 811.5
   13,      48,  5.1765,  0.0008,  24.5, 811.5
   14,      51,  5.2949,  0.9675,  24.5, 811.5
   15,      54,  5.3017,  0.9688,  24.5, 811.5
   16,      57,  5.2982,  0.9362,  24.5, 811.5
   17,      60,  5.3012,  0.9399,  24.5, 811.5
   18,      63,  5.3077,  0.9542,  24.6, 811.6
   19,      66,  5.2972,  0.9143,  24.6, 811.6
   20,      69,  5.2981,  0.9156,  24.6, 811.6
   21,      72,  5.2990,  0.9153,  24.6, 811.6
   22,      75,  5.2996,  0.9163,  24.6, 811.6
   23,      78,  5.3002,  0.9169,  24.6, 811.6
   24,      81,  5.3036,  0.9257,  24.6, 811.6
   25,      84,  5.3021,  0.9232,  24.6, 811.6
   26,      87,  5.3016,  0.9159,  24.6, 811.6
   27,      90,  5.3021,  0.9176,  24.6, 811.6
   28,      93,  5.3024,  0.9190,  24.6, 811.6
   29,      96,  5.3028,  0.9200,  24.7, 811.7
   30,      99,  5.3032,  0.9203,  24.7, 811.7
   31,     102,  5.3034,  0.9210,  24.7, 811.7
   32,     105,  5.3037,  0.9213,  24.7, 811.7
   33,     108,  5.3044,  0.9236,  24.8, 811.8
   34,     111,  5.3053,  0.9260,  24.8, 811.8
   35,     114,  5.3043,  0.9219,  24.8, 811.8
   36,     117,  5.3046,  0.9223,  24.8, 811.8
   37,     120,  5.3050,  0.9226,  24.8, 811.8
   38,     123,  5.3051,  0.9229,  24.8, 811.8
   39,     126,  5.3055,  0.9229,  24.8, 811.8
   40,     129,  5.3055,  0.9213,  24.8, 811.8
   41,     132,  5.3059,  0.9236,  24.8, 811.8
   42,     135,  5.3077,  0.9263,  24.8, 811.8
   43,     138,  5.3072,  0.9257,  24.8, 811.8
   44,     141,  5.3073,  0.9242,  24.8, 811.8
   45,     144,  5.3069,  0.9242,  24.9, 811.9
   46,     147,  5.3071,  0.9219,  24.9, 811.9
   47,     150,  5.3074,  0.9223,  24.9, 811.9
   48,     153,  5.3075,  0.9223,  24.9, 811.9
   49,     156,  5.3075,  0.9226,  24.9, 811.9
   50,     159,  5.3079,  0.9223,  24.9, 811.9
   51,     162,  5.3083,  0.9270,  25.0, 812.0
   52,     165,  5.3091,  0.9270,  25.0, 812.0
   53,     168,  5.3095,  0.9266,  25.0, 812.0
   54,     171,  5.3085,  0.9229,  25.0, 812.0
   55,     174,  5.3088,  0.9229,  25.0, 812.0
   56,     177,  5.3088,  0.9239,  25.0, 812.0
   57,     180,  5.3093,  0.9232,  25.0, 812.0
   58,     183,  5.3092,  0.9232,  25.0, 812.0
   59,     186,  5.3094,  0.9229,  25.0, 812.0
   60,     189,  5.3097,  0.9239,  25.0, 812.0
   61,     192,  5.3108,  0.9286,  25.0, 812.0
   62,     195,  5.3113,  0.9273,  25.0, 812.0
   63,     198,  5.3103,  0.9236,  25.0, 812.0
   64,     201,  5.3105,  0.9236,  25.0, 812.0
   65,     204,  5.3105,  0.9236,  25.0, 812.0
   66,     207,  5.3108,  0.9236,  25.0, 812.0
   67,     210,  5.3108,  0.9236,  25.1, 812.1
   68,     213,  5.3111,  0.9236,  25.1, 812.1
   69,     216,  5.3112,  0.9239,  25.1, 812.1
   70,     219,  5.3124,  0.9283,  25.1, 812.1
   71,     222,  5.3124,  0.9279,  25.1, 812.1
   72,     225,  5.3114,  0.9242,  25.1, 812.1
   73,     228,  5.3118,  0.9239,  25.1, 812.1
   74,     231,  5.3118,  0.9245,  25.1, 812.1
   75,     234,  5.3118,  0.9242,  25.1, 812.1
   76,     237,  5.3120,  0.9242,  25.1, 812.1
   77,     240,  5.3122,  0.9242,  25.1, 812.1
   78,     243,  5.3125,  0.9245,  25.1, 812.1
   79,     246,  5.3135,  0.9283,  25.1, 812.1
   80,     249,  5.3136,  0.9283,  25.1, 812.1
   81,     252,  5.3127,  0.9245,  25.1, 812.1
   82,     255,  5.3129,  0.9252,  25.1, 812.1
   83,     258,  5.3131,  0.9245,  25.1, 812.1
   84,     261,  5.3133,  0.9245,  25.1, 812.1
   85,     264,  5.3134,  0.9245,  25.2, 812.2
   86,     267,  5.3137,  0.9245,  25.2, 812.2
   87,     270,  5.3138,  0.9257,  25.2, 812.2
   88,     273,  5.3151,  0.9289,  25.2, 812.2
   89,     276,  5.3152,  0.9292,  25.2, 812.2
   90,     279,  5.3152,  0.9263,  25.2, 812.2
   91,     282,  5.3142,  0.9245,  25.2, 812.2
   92,     285,  5.3144,  0.9255,  25.2, 812.2
   93,     288,  5.3145,  0.9249,  25.2, 812.2
   94,     291,  5.3147,  0.9252,  25.2, 812.2
   95,     294,  5.3147,  0.9252,  25.2, 812.2
   96,     297,  5.3149,  0.9252,  25.3, 812.3
   97,     300,  5.3151,  0.9279,  25.3, 812.3
   98,     303,  5.3163,  0.9292,  25.3, 812.3
   99,     306,  5.3162,  0.9292,  25.3, 812.3
  100,     309,  5.3154,  0.9252,  25.3, 812.3
  101,     312,  5.3153,  0.9252,  25.3, 812.3
  102,     315,  5.3157,  0.9252,  25.3, 812.3
  103,     318,  5.3157,  0.9252,  25.3, 812.3
  104,     321,  5.3160,  0.9249,  25.3, 812.3
  105,     324,  5.3161,  0.9252,  25.3, 812.3
  106,     327,  5.3162,  0.9252,  25.3, 812.3
  107,     330,  5.3173,  0.9296,  25.3, 812.3
  108,     333,  5.3174,  0.9296,  25.3, 812.3
  109,     336,  5.3165,  0.9255,  25.3, 812.3
  110,     339,  5.3163,  0.9257,  25.3, 812.3
  111,     342,  5.3166,  0.9257,  25.3, 812.3
  112,     345,  5.3168,  0.9257,  25.3, 812.3
  113,     348,  5.3182,  0.9309,  25.3, 812.3
  114,     351,  5.3171,  0.9257,  25.3, 812.3
  115,     354,  5.3170,  0.9257,  25.3, 812.3
  116,     357,  5.3184,  0.9315,  25.3, 812.3
  117,     360,  5.3186,  0.9299,  25.3, 812.3
  118,     363,  5.3173,  0.9270,  25.3, 812.3
  119,     366,  5.3176,  0.9260,  25.3, 812.3
  120,     369,  5.3177,  0.9263,  25.3, 812.3
  121,     372,  5.3176,  0.9266,  25.3, 812.3
  122,     375,  5.3179,  0.9263,  25.3, 812.3
  123,     378,  5.3179,  0.9270,  25.3, 812.3
  124,     381,  5.3182,  0.9263,  25.4, 812.4
  125,     384,  5.3196,  0.9309,  25.4, 812.4
  126,     387,  5.3195,  0.9305,  25.4, 812.4
  127,     390,  5.3190,  0.9263,  25.4, 812.4
  128,     393,  5.3186,  0.9266,  25.4, 812.4
