    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      16,  5.1758,  0.0001,  23.5, 810.5
    1,      19,  5.1753,  0.0001,  23.5, 810.5
    2,      22,  5.1753,  0.0001,  23.5, 810.5
    3,      25,  5.2941,  0.9432,  23.6, 810.6
    4,      28,  5.3094,  0.9841,  23.6, 810.6
    5,      31,  5.3131,  0.9857,  23.6, 810.6
    6,      34,  5.3157,  0.9871,  23.6, 810.6
    7,      37,  5.3185,  0.9888,  23.6, 810.6
    8,      40,  5.3204,  0.9897,  23.6, 810.6
    9,      43,  5.3216,  0.9910,  23.6, 810.6
   10,      46,  5.3225,  0.9923,  23.7, 810.7
   11,      49,  5.3233,  0.9933,  23.7, 810.7
   12,      52,  5.3239,  0.9944,  23.7, 810.7
   13,      55,  5.3244,  0.9954,  23.7, 810.7
   14,      58,  5.3250,  0.9964,  23.7, 810.7
   15,      61,  5.3255,  0.9974,  23.8, 810.8
   16,      64,  5.3260,  0.9983,  23.8, 810.8
   17,      67,  5.3264,  0.9993,  23.9, 810.9
   18,      70,  5.3268,  0.9999,  24.0, 811.0
   19,      73,  5.3272,  1.0004,  24.0, 811.0
   20,      76,  5.3277,  1.0011,  24.0, 811.0
   21,      79,  5.3283,  1.0017,  24.0, 811.0
   22,      82,  5.3284,  1.0021,  24.0, 811.0
   23,      85,  5.3286,  1.0030,  24.1, 811.1
   24,      88,  5.3290,  1.0040,  24.1, 811.1
   25,      91,  5.3291,  1.0040,  24.1, 811.1
   26,      94,  5.3295,  1.0043,  24.1, 811.1
   27,      97,  5.3298,  1.0047,  24.1, 811.1
   28,     100,  5.3300,  1.0050,  24.1, 811.1
   29,     103,  5.3304,  1.0053,  24.1, 811.1
   30,     106,  5.3305,  1.0053,  24.1, 811.1
   31,     109,  5.3307,  1.0063,  24.1, 811.1
   32,     112,  5.3310,  1.0063,  24.1, 811.1
   33,     115,  5.3313,  1.0063,  24.1, 811.1
   34,     118,  5.3317,  1.0066,  24.1, 811.1
   35,     121,  5.3319,  1.0066,  24.1, 811.1
   36,     124,  5.3322,  1.0068,  24.1, 811.1
   37,     127,  5.3325,  1.0066,  24.1, 811.1
   38,     130,  5.3327,  1.0074,  24.1, 811.1
   39,     133,  5.3329,  1.0068,  24.1, 811.1
   40,     136,  5.3333,  1.0071,  24.1, 811.1
   41,     139,  5.3334,  1.0071,  24.2, 811.2
   42,     142,  5.3337,  1.0071,  24.1, 811.1
   43,     145,  5.3339,  1.0074,  24.2, 811.2
   44,     148,  5.3341,  1.0071,  24.2, 811.2
   45,     151,  5.3343,  1.0071,  24.2, 811.2
   46,     154,  5.3345,  1.0074,  24.2, 811.2
   47,     157,  5.3349,  1.0077,  24.2, 811.2
   48,     160,  5.3350,  1.0077,  24.2, 811.2
   49,     163,  5.3354,  1.0077,  24.1, 811.1
   50,     166,  5.3354,  1.0077,  24.1, 811.1
   51,     169,  5.3355,  1.0077,  24.1, 811.1
   52,     172,  5.3359,  1.0077,  24.1, 811.1
   53,     175,  5.3360,  1.0077,  24.1, 811.1
   54,     178,  5.3361,  1.0077,  24.1, 811.1
   55,     181,  5.3363,  1.0081,  24.1, 811.1
   56,     184,  5.3365,  1.0077,  24.1, 811.1
   57,     187,  5.3368,  1.0077,  24.1, 811.1
   58,     190,  5.3370,  1.0081,  24.1, 811.1
   59,     193,  5.3370,  1.0077,  24.1, 811.1
   60,     196,  5.3373,  1.0081,  24.1, 811.1
   61,     199,  5.3373,  1.0081,  24.1, 811.1
   62,     202,  5.3373,  1.0084,  24.1, 811.1
   63,     205,  5.3377,  1.0084,  24.1, 811.1
   64,     208,  5.3379,  1.0084,  24.1, 811.1
   65,     211,  5.3380,  1.0084,  24.1, 811.1
   66,     214,  5.3383,  1.0087,  24.1, 811.1
   67,     217,  5.3383,  1.0087,  24.1, 811.1
   68,     220,  5.3385,  1.0087,  24.1, 811.1
   69,     223,  5.3387,  1.0087,  24.1, 811.1
   70,     226,  5.3389,  1.0087,  24.1, 811.1
   71,     229,  5.3390,  1.0087,  24.1, 811.1
   72,     232,  5.3393,  1.0087,  24.1, 811.1
   73,     235,  5.3395,  1.0094,  24.1, 811.1
   74,     238,  5.3395,  1.0090,  24.1, 811.1
   75,     241,  5.3397,  1.0090,  24.1, 811.1
   76,     244,  5.3396,  1.0090,  24.1, 811.1
   77,     247,  5.3399,  1.0097,  24.1, 811.1
   78,     250,  5.3400,  1.0094,  24.1, 811.1
   79,     253,  5.3401,  1.0094,  24.1, 811.1
   80,     256,  5.3403,  1.0097,  24.1, 811.1
   81,     259,  5.3403,  1.0100,  24.1, 811.1
   82,     262,  5.3524,  1.0392,  24.1, 811.1
   83,     265,  5.3526,  1.0392,  24.1, 811.1
   84,     268,  5.3526,  1.0392,  24.1, 811.1
   85,     271,  5.3529,  1.0392,  24.1, 811.1
   86,     274,  5.3529,  1.0392,  24.1, 811.1
   87,     277,  5.3531,  1.0392,  24.1, 811.1
   88,     280,  5.3532,  1.0392,  24.1, 811.1
   89,     283,  5.3533,  1.0395,  24.1, 811.1
   90,     286,  5.3535,  1.0395,  24.1, 811.1
   91,     289,  5.3535,  1.0395,  24.1, 811.1
   92,     292,  5.3538,  1.0395,  24.1, 811.1
   93,     295,  5.3540,  1.0395,  24.1, 811.1
   94,     298,  5.3539,  1.0395,  24.2, 811.2
   95,     301,  5.3542,  1.0395,  24.2, 811.2
   96,     304,  5.3543,  1.0395,  24.1, 811.1
   97,     307,  5.3546,  1.0395,  24.2, 811.2
   98,     310,  5.3546,  1.0395,  24.2, 811.2
   99,     313,  5.3548,  1.0395,  24.2, 811.2
  100,     316,  5.3548,  1.0398,  24.2, 811.2
  101,     319,  5.3551,  1.0402,  24.1, 811.1
  102,     322,  5.3552,  1.0398,  24.1, 811.1
  103,     325,  5.3555,  1.0398,  24.1, 811.1
  104,     328,  5.3553,  1.0398,  24.1, 811.1
  105,     331,  5.3554,  1.0398,  24.1, 811.1
  106,     334,  5.3557,  1.0402,  24.1, 811.1
  107,     337,  5.3557,  1.0402,  24.1, 811.1
  108,     340,  5.3559,  1.0405,  24.1, 811.1
  109,     343,  5.3559,  1.0398,  24.1, 811.1
  110,     346,  5.3560,  1.0402,  24.1, 811.1
  111,     349,  5.3562,  1.0405,  24.1, 811.1
  112,     352,  5.3563,  1.0405,  24.1, 811.1
  113,     355,  5.3565,  1.0405,  24.1, 811.1
  114,     358,  5.3566,  1.0405,  24.1, 811.1
  115,     361,  5.3566,  1.0405,  24.1, 811.1
  116,     364,  5.3568,  1.0405,  24.1, 811.1
  117,     367,  5.3569,  1.0407,  24.1, 811.1
  118,     370,  5.3569,  1.0407,  24.1, 811.1
  119,     373,  5.3568,  1.0407,  24.1, 811.1
