    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,       7,  5.1745,  0.0001,  27.3, 814.3
    1,      10,  5.1746,  0.0001,  27.2, 814.2
    2,      13,  5.1746,  0.0001,  27.1, 814.1
    3,      16,  5.1748,  0.0001,  27.1, 814.1
    4,      19,  5.2865,  0.9641,  27.0, 814.0
    5,      22,  5.2940,  0.9675,  27.0, 814.0
    6,      25,  5.2972,  0.9678,  27.0, 814.0
    7,      28,  5.2990,  0.9662,  26.8, 813.8
    8,      31,  5.3009,  0.9635,  26.8, 813.8
    9,      34,  5.3020,  0.9635,  26.8, 813.8
   10,      37,  5.3028,  0.9641,  26.7, 813.7
   11,      40,  5.3037,  0.9638,  26.7, 813.7
   12,      43,  5.3046,  0.9641,  26.6, 813.6
   13,      46,  5.3052,  0.9641,  26.6, 813.6
   14,      49,  5.3058,  0.9641,  26.6, 813.6
   15,      52,  5.3060,  0.9641,  26.5, 813.5
   16,      55,  5.3066,  0.9644,  26.5, 813.5
   17,      58,  5.3071,  0.9644,  26.5, 813.5
   18,      61,  5.3074,  0.9648,  26.4, 813.4
   19,      64,  5.3077,  0.9648,  26.4, 813.4
   20,      67,  5.3083,  0.9648,  26.3, 813.3
   21,      70,  5.3089,  0.9648,  26.3, 813.3
   22,      73,  5.3093,  0.9691,  26.3, 813.3
   23,      76,  5.3097,  0.9691,  26.2, 813.2
   24,      79,  5.3100,  0.9691,  26.2, 813.2
   25,      82,  5.3103,  0.9654,  26.1, 813.1
   26,      85,  5.3108,  0.9654,  26.1, 813.1
   27,      88,  5.3111,  0.9657,  26.1, 813.1
   28,      91,  5.3113,  0.9654,  26.1, 813.1
   29,      94,  5.3115,  0.9657,  26.0, 813.0
   30,      97,  5.3120,  0.9657,  26.0, 813.0
   31,     100,  5.3121,  0.9657,  26.0, 813.0
   32,     103,  5.3124,  0.9657,  26.0, 813.0
   33,     106,  5.3126,  0.9657,  25.9, 812.9
   34,     109,  5.3129,  0.9657,  25.9, 812.9
   35,     112,  5.3131,  0.9661,  25.8, 812.8
   36,     115,  5.3134,  0.9657,  25.8, 812.8
   37,     118,  5.3137,  0.9657,  25.8, 812.8
   38,     121,  5.3138,  0.9711,  25.8, 812.8
   39,     124,  5.3143,  0.9714,  25.8, 812.8
   40,     127,  5.3143,  0.9714,  25.8, 812.8
   41,     130,  5.2567,  0.9391,  25.8, 812.8
   42,     133,  5.3137,  0.9688,  25.8, 812.8
   43,     136,  5.3144,  0.9691,  25.8, 812.8
   44,     139,  5.3149,  0.9691,  25.8, 812.8
   45,     142,  5.3150,  0.9688,  25.8, 812.8
   46,     145,  5.3152,  0.9691,  25.8, 812.8
   47,     148,  5.3154,  0.9688,  25.7, 812.7
   48,     151,  5.3156,  0.9685,  25.7, 812.7
   49,     154,  5.3159,  0.9695,  25.6, 812.6
   50,     157,  5.3163,  0.9691,  25.6, 812.6
   51,     160,  5.3164,  0.9688,  25.6, 812.6
   52,     163,  5.3165,  0.9688,  25.6, 812.6
   53,     166,  5.3168,  0.9688,  25.5, 812.5
   54,     169,  5.3171,  0.9685,  25.5, 812.5
   55,     172,  5.3172,  0.9688,  25.5, 812.5
   56,     175,  5.3174,  0.9685,  25.5, 812.5
   57,     178,  5.3175,  0.9685,  25.5, 812.5
   58,     181,  5.3176,  0.9682,  25.5, 812.5
   59,     184,  5.3178,  0.9682,  25.4, 812.4
   60,     187,  5.3178,  0.9678,  25.4, 812.4
   61,     190,  5.3180,  0.9678,  25.4, 812.4
   62,     193,  5.3182,  0.9678,  25.4, 812.4
   63,     196,  5.3181,  0.9691,  25.3, 812.3
   64,     199,  5.3185,  0.9691,  25.3, 812.3
   65,     202,  5.3188,  0.9685,  25.3, 812.3
   66,     205,  5.3190,  0.9708,  25.2, 812.2
   67,     208,  5.3192,  0.9644,  25.2, 812.2
   68,     211,  5.3194,  0.9635,  25.1, 812.1
   69,     214,  5.3194,  0.9654,  25.1, 812.1
   70,     217,  5.3199,  0.9545,  25.1, 812.1
   71,     220,  5.3179,  0.9661,  25.1, 812.1
   72,     223,  5.3191,  0.9662,  25.1, 812.1
   73,     226,  5.3197,  0.9662,  25.1, 812.1
   74,     229,  5.3197,  0.9662,  25.1, 812.1
   75,     232,  5.3199,  0.9665,  25.0, 812.0
   76,     235,  5.3203,  0.9665,  25.0, 812.0
   77,     238,  5.3207,  0.9669,  25.0, 812.0
   78,     241,  5.3210,  0.9665,  25.0, 812.0
   79,     244,  5.3209,  0.9669,  25.0, 812.0
   80,     247,  5.3210,  0.9669,  24.9, 811.9
   81,     250,  5.3214,  0.9669,  24.9, 811.9
   82,     253,  5.3215,  0.9669,  24.9, 811.9
   83,     256,  5.3217,  0.9669,  24.9, 811.9
   84,     259,  5.3215,  0.9669,  24.8, 811.8
   85,     262,  5.3220,  0.9669,  24.8, 811.8
   86,     265,  5.3222,  0.9669,  24.8, 811.8
   87,     268,  5.3224,  0.9669,  24.8, 811.8
   88,     271,  5.3224,  0.9669,  24.8, 811.8
   89,     274,  5.3226,  0.9669,  24.8, 811.8
   90,     277,  5.3229,  0.9669,  24.8, 811.8
   91,     280,  5.3227,  0.9669,  24.8, 811.8
   92,     283,  5.3232,  0.9669,  24.8, 811.8
   93,     286,  5.3232,  0.9672,  24.7, 811.7
   94,     289,  5.3234,  0.9672,  24.7, 811.7
   95,     292,  5.3234,  0.9672,  24.7, 811.7
   96,     295,  5.3237,  0.9669,  24.6, 811.6
   97,     298,  5.3240,  0.9672,  24.6, 811.6
   98,     301,  5.3239,  0.9672,  24.6, 811.6
   99,     304,  5.3241,  0.9672,  24.6, 811.6
  100,     307,  5.3241,  0.9669,  24.6, 811.6
  101,     310,  5.3242,  0.9672,  24.6, 811.6
  102,     313,  5.3244,  0.9672,  24.6, 811.6
  103,     316,  5.3246,  0.9672,  24.6, 811.6
  104,     319,  5.3248,  0.9669,  24.6, 811.6
  105,     322,  5.3247,  0.9669,  24.6, 811.6
  106,     325,  5.3249,  0.9672,  24.6, 811.6
  107,     328,  5.3252,  0.9672,  24.5, 811.5
  108,     331,  5.3251,  0.9672,  24.5, 811.5
  109,     334,  5.3253,  0.9672,  24.5, 811.5
  110,     337,  5.3253,  0.9672,  24.5, 811.5
  111,     340,  5.3255,  0.9672,  24.5, 811.5
  112,     343,  5.3258,  0.9672,  24.5, 811.5
  113,     346,  5.3257,  0.9672,  24.5, 811.5
  114,     349,  5.3260,  0.9672,  24.5, 811.5
  115,     352,  5.3260,  0.9672,  24.5, 811.5
  116,     355,  5.3261,  0.9672,  24.5, 811.5
