    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      22,  5.1765,  0.0001,  20.4, 807.4
    1,      25,  5.1767,  0.0001,  20.4, 807.4
    2,      28,  5.1769,  0.0001,  20.5, 807.5
    3,      31,  5.1768,  0.0001,  20.5, 807.5
    4,      34,  5.2952,  0.9594,  20.5, 807.5
    5,      37,  5.2993,  0.9622,  20.6, 807.6
    6,      40,  5.3017,  0.9648,  20.6, 807.6
    7,      43,  5.3035,  0.9672,  20.6, 807.6
    8,      46,  5.3049,  0.9688,  20.6, 807.6
    9,      49,  5.3060,  0.9708,  20.6, 807.6
   10,      52,  5.3069,  0.9721,  20.6, 807.6
   11,      55,  5.3081,  0.9735,  20.6, 807.6
   12,      58,  5.3098,  0.9748,  20.6, 807.6
   13,      61,  5.3112,  0.9761,  20.7, 807.7
   14,      64,  5.3124,  0.9771,  20.7, 807.7
   15,      67,  5.3138,  0.9784,  20.7, 807.7
   16,      70,  5.3152,  0.9794,  20.8, 807.8
   17,      73,  5.3155,  0.9802,  20.7, 807.7
   18,      76,  5.3168,  0.9811,  20.8, 807.8
   19,      79,  5.3132,  0.9581,  20.8, 807.8
   20,      82,  5.3192,  0.9828,  20.8, 807.8
   21,      85,  5.3200,  0.9834,  20.8, 807.8
   22,      88,  5.3211,  0.9844,  20.8, 807.8
   23,      91,  5.3222,  0.9857,  20.8, 807.8
   24,      94,  5.3224,  0.9860,  20.8, 807.8
   25,      97,  5.3232,  0.9863,  20.8, 807.8
   26,     100,  5.3240,  0.9871,  20.8, 807.8
   27,     103,  5.3246,  0.9881,  20.9, 807.9
   28,     106,  5.3146,  0.9502,  20.9, 807.9
   29,     109,  5.3263,  0.9888,  20.9, 807.9
   30,     112,  5.3264,  0.9897,  20.9, 807.9
   31,     115,  5.3270,  0.9904,  20.9, 807.9
   32,     118,  5.3276,  0.9910,  20.9, 807.9
   33,     121,  5.3285,  0.9917,  21.0, 808.0
   34,     124,  5.3290,  0.9923,  21.0, 808.0
   35,     127,  5.3292,  0.9926,  21.0, 808.0
   36,     130,  5.3166,  0.9555,  21.0, 808.0
   37,     133,  5.3165,  0.9562,  21.0, 808.0
   38,     136,  5.3167,  0.9568,  21.0, 808.0
   39,     139,  5.3170,  0.9581,  21.0, 808.0
   40,     142,  5.3173,  0.9578,  21.0, 808.0
   41,     145,  5.3173,  0.9584,  21.0, 808.0
   42,     148,  5.3177,  0.9588,  21.0, 808.0
   43,     151,  5.3178,  0.9594,  21.0, 808.0
   44,     154,  5.3179,  0.9599,  21.1, 808.1
   45,     157,  5.3181,  0.9602,  21.1, 808.1
   46,     160,  5.3182,  0.9615,  21.1, 808.1
   47,     163,  5.3185,  0.9612,  21.1, 808.1
   48,     166,  5.3187,  0.9615,  21.1, 808.1
   49,     169,  5.3187,  0.9622,  21.2, 808.2
   50,     172,  5.3190,  0.9628,  21.2, 808.2
   51,     175,  5.3193,  0.9631,  21.2, 808.2
   52,     178,  5.3196,  0.9635,  21.2, 808.2
   53,     181,  5.3198,  0.9641,  21.2, 808.2
   54,     184,  5.3200,  0.9644,  21.2, 808.2
   55,     187,  5.3200,  0.9648,  21.2, 808.2
   56,     190,  5.3203,  0.9648,  21.2, 808.2
   57,     193,  5.3203,  0.9648,  21.2, 808.2
   58,     196,  5.3207,  0.9654,  21.2, 808.2
   59,     199,  5.3339,  1.0034,  21.2, 808.2
   60,     202,  5.3340,  1.0043,  21.2, 808.2
   61,     205,  5.3343,  1.0037,  21.2, 808.2
   62,     208,  5.3323,  0.9935,  21.2, 808.2
   63,     211,  5.3218,  0.9662,  21.2, 808.2
   64,     214,  5.3219,  0.9662,  21.3, 808.3
   65,     217,  5.3220,  0.9665,  21.3, 808.3
   66,     220,  5.3223,  0.9662,  21.3, 808.3
   67,     223,  5.3224,  0.9665,  21.3, 808.3
   68,     226,  5.3226,  0.9665,  21.3, 808.3
   69,     229,  5.3226,  0.9669,  21.3, 808.3
   70,     232,  5.3229,  0.9665,  21.3, 808.3
   71,     235,  5.3230,  0.9665,  21.3, 808.3
   72,     238,  5.3232,  0.9665,  21.3, 808.3
   73,     241,  5.3230,  0.9669,  21.4, 808.4
   74,     244,  5.3233,  0.9675,  21.4, 808.4
   75,     247,  5.3233,  0.9669,  21.3, 808.3
   76,     250,  5.3236,  0.9669,  21.3, 808.3
   77,     253,  5.3236,  0.9669,  21.4, 808.4
   78,     256,  5.3238,  0.9672,  21.4, 808.4
   79,     259,  5.3238,  0.9672,  21.4, 808.4
   80,     262,  5.3241,  0.9672,  21.4, 808.4
   81,     265,  5.3244,  0.9682,  21.5, 808.5
   82,     268,  5.3243,  0.9675,  21.5, 808.5
   83,     271,  5.3246,  0.9675,  21.5, 808.5
   84,     274,  5.3246,  0.9675,  21.5, 808.5
   85,     277,  5.3248,  0.9678,  21.5, 808.5
   86,     280,  5.3251,  0.9675,  21.5, 808.5
   87,     283,  5.3252,  0.9678,  21.5, 808.5
   88,     286,  5.3251,  0.9685,  21.5, 808.5
   89,     289,  5.3254,  0.9675,  21.5, 808.5
   90,     292,  5.3255,  0.9678,  21.5, 808.5
   91,     295,  5.3256,  0.9678,  21.5, 808.5
   92,     298,  5.3258,  0.9682,  21.5, 808.5
   93,     301,  5.3261,  0.9682,  21.5, 808.5
   94,     304,  5.3261,  0.9685,  21.5, 808.5
   95,     307,  5.3263,  0.9685,  21.5, 808.5
   96,     310,  5.3264,  0.9682,  21.5, 808.5
   97,     313,  5.3266,  0.9685,  21.5, 808.5
   98,     316,  5.3269,  0.9685,  21.5, 808.5
   99,     319,  5.3267,  0.9688,  21.5, 808.5
  100,     322,  5.3269,  0.9685,  21.5, 808.5
  101,     325,  5.3269,  0.9688,  21.5, 808.5
  102,     328,  5.3272,  0.9688,  21.5, 808.5
  103,     331,  5.3273,  0.9688,  21.5, 808.5
  104,     334,  5.3275,  0.9688,  21.6, 808.6
  105,     337,  5.3275,  0.9688,  21.6, 808.6
  106,     340,  5.3517,  1.0413,  21.5, 808.5
  107,     343,  5.3691,  0.9109,  21.6, 808.6
  108,     346,  5.3395,  0.9990,  21.5, 808.5
  109,     349,  5.3401,  0.9983,  21.5, 808.5
  110,     352,  5.3402,  0.9986,  21.5, 808.5
  111,     355,  5.3406,  0.9990,  21.5, 808.5
  112,     358,  5.3407,  0.9990,  21.5, 808.5
  113,     361,  5.3407,  0.9996,  21.6, 808.6
  114,     364,  5.3409,  0.9993,  21.5, 808.5
  115,     367,  5.3411,  0.9999,  21.6, 808.6
  116,     370,  5.3414,  1.0008,  21.6, 808.6
  117,     373,  5.3416,  1.0004,  21.6, 808.6
  118,     376,  5.3417,  1.0004,  21.6, 808.6
  119,     379,  5.3418,  1.0004,  21.6, 808.6
  120,     382,  5.3419,  0.9977,  21.6, 808.6
  121,     385,  5.3420,  0.9977,  21.6, 808.6
  122,     388,  5.3211,  0.9255,  21.6, 808.6
  123,     391,  5.3420,  1.0014,  21.6, 808.6
  124,     394,  5.3423,  1.0004,  21.6, 808.6
