    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      11,  0.0000,  0.0000,  23.9,  23.9
    1,      16,  0.0001,  0.0000,  24.0,  24.0
    2,      21,  0.0000,  0.0000,  24.1,  24.1
    3,      26,  0.0000,  0.0000,  24.1,  24.1
    4,      31,  0.0000,  0.0000,  24.1,  24.1
    5,      36,  0.0000,  0.0000,  24.2,  24.2
    6,      41,  0.0001,  0.0000,  24.2,  24.2
    7,      46,  0.0000,  0.0000,  24.2,  24.2
    8,      51,  0.0001,  0.0000,  24.3,  24.3
    9,      56,  4.1685,  0.0000,  24.5, 811.5
   10,      61,  4.1685,  0.0000,  24.6, 811.6
   11,      66,  3.9027,  0.5085,  24.6, 811.6
   12,      71,  3.8990,  0.5082,  24.7, 811.7
   13,      76,  3.8955,  0.5081,  24.8, 811.8
   14,      81,  3.8915,  0.5079,  24.8, 811.8
   15,      86,  3.8888,  0.5078,  24.8, 811.8
   16,      91,  3.8861,  0.5076,  24.8, 811.8
   17,      96,  3.8834,  0.5074,  24.8, 811.8
   18,     101,  3.8809,  0.5074,  24.9, 811.9
   19,     106,  3.8785,  0.5072,  24.9, 811.9
   20,     111,  3.8763,  0.5072,  24.9, 811.9
   21,     116,  3.8742,  0.5070,  24.9, 811.9
   22,     121,  3.8723,  0.5069,  24.9, 811.9
   23,     126,  3.8705,  0.5068,  24.9, 811.9
   24,     131,  3.8690,  0.5067,  25.0, 812.0
   25,     136,  3.8679,  0.5065,  25.0, 812.0
   26,     141,  3.8665,  0.5064,  24.9, 811.9
   27,     146,  3.8654,  0.5064,  25.0, 812.0
   28,     151,  3.8641,  0.5062,  25.0, 812.0
   29,     156,  3.8631,  0.5060,  25.0, 812.0
   30,     161,  3.8620,  0.5060,  24.9, 811.9
   31,     166,  3.8612,  0.5059,  25.0, 812.0
   32,     171,  3.8603,  0.5059,  24.9, 811.9
   33,     176,  3.8594,  0.5057,  24.9, 811.9
   34,     181,  3.8586,  0.5056,  24.9, 811.9
   35,     186,  3.8578,  0.5055,  24.9, 811.9
   36,     191,  3.8570,  0.5054,  24.9, 811.9
   37,     196,  3.8564,  0.5053,  24.9, 811.9
   38,     201,  3.8556,  0.5053,  24.9, 811.9
   39,     206,  3.8549,  0.5052,  24.9, 811.9
   40,     211,  3.8543,  0.5051,  24.9, 811.9
   41,     216,  3.8537,  0.5050,  24.9, 811.9
