    i,    t(s),    U(V),    I(A), Tself, Tprob
    0,      32,  4.2758,  0.0000,  26.0, 813.0
    1,      37,  4.2757,  0.0000,  26.1, 813.1
    2,      42,  4.2757,  0.0000,  26.3, 813.3
    3,      47,  4.2757,  0.0000,  26.3, 813.3
    4,      52,  4.2757,  0.0000,  26.3, 813.3
    5,      57,  4.2757,  0.0000,  26.4, 813.4
    6,      62,  4.2757,  0.0000,  26.4, 813.4
    7,      67,  4.2757,  0.0000,  26.4, 813.4
    8,      72,  4.2756,  0.0000,  26.4, 813.4
    9,      77,  4.2756,  0.0000,  26.4, 813.4
   10,      82,  4.2756,  0.0000,  26.4, 813.4
   11,      87,  4.2756,  0.0000,  26.5, 813.5
   12,      92,  4.2756,  0.0000,  26.5, 813.5
   13,      97,  4.2756,  0.0000,  26.5, 813.5
   14,     102,  4.2756,  0.0000,  26.5, 813.5
   15,     107,  4.2756, -0.0001,  26.5, 813.5
   16,     112,  4.2756,  0.0000,  26.5, 813.5
   17,     117,  4.2755,  0.0000,  26.5, 813.5
   18,     122,  4.2755,  0.0000,  26.6, 813.6
   19,     127,  4.2756,  0.0000,  26.6, 813.6
   20,     132,  3.9239,  0.4956,  26.6, 813.6
   21,     137,  3.9188,  0.4954,  26.7, 813.7
   22,     142,  3.9112,  0.4999,  26.6, 813.6
   23,     147,  3.9073,  0.5003,  26.6, 813.6
   24,     152,  3.9043,  0.5001,  26.6, 813.6
   25,     157,  3.9016,  0.5000,  26.6, 813.6
   26,     162,  3.8992,  0.4998,  26.7, 813.7
   27,     167,  3.8972,  0.4996,  26.7, 813.7
   28,     172,  3.8952,  0.4995,  26.8, 813.8
   29,     177,  3.8935,  0.4994,  26.8, 813.8
   30,     182,  3.8919,  0.4993,  26.8, 813.8
   31,     187,  3.8905,  0.4991,  26.8, 813.8
   32,     192,  3.8893,  0.4990,  26.8, 813.8
   33,     197,  3.8881,  0.4988,  26.7, 813.7
   34,     202,  3.8869,  0.4988,  26.7, 813.7
   35,     207,  3.8857,  0.4987,  26.7, 813.7
   36,     212,  3.8847,  0.4985,  26.7, 813.7
   37,     217,  3.8837,  0.4984,  26.7, 813.7
   38,     222,  3.8828,  0.4983,  26.7, 813.7
   39,     227,  3.8818,  0.4982,  26.7, 813.7
   40,     232,  3.8811,  0.4980,  26.7, 813.7
   41,     237,  3.8802,  0.4980,  26.7, 813.7
   42,     242,  3.8794,  0.4979,  26.7, 813.7
   43,     247,  3.8786,  0.4977,  26.7, 813.7
   44,     252,  3.8778,  0.4976,  26.7, 813.7
   45,     257,  3.8769,  0.4975,  26.7, 813.7
   46,     262,  3.8761,  0.4974,  26.7, 813.7
   47,     267,  3.8753,  0.4973,  26.7, 813.7
   48,     272,  3.8745,  0.4972,  26.7, 813.7
   49,     277,  3.8736,  0.4972,  26.7, 813.7
   50,     282,  3.8730,  0.4971,  26.7, 813.7
   51,     287,  3.8724,  0.4970,  26.6, 813.6
   52,     292,  3.8718,  0.4969,  26.6, 813.6
   53,     297,  3.8711,  0.4968,  26.6, 813.6
   54,     302,  3.8704,  0.4967,  26.6, 813.6
   55,     307,  3.8699,  0.4966,  26.6, 813.6
   56,     312,  3.8692,  0.4966,  26.6, 813.6
   57,     317,  3.8684,  0.4965,  26.6, 813.6
   58,     322,  3.8679,  0.4965,  26.6, 813.6
   59,     327,  3.8672,  0.4964,  26.6, 813.6
   60,     332,  3.8665,  0.4963,  26.6, 813.6
   61,     337,  3.8659,  0.4962,  26.6, 813.6
   62,     342,  3.8648,  0.4962,  26.6, 813.6
   63,     347,  3.8641,  0.4961,  26.6, 813.6
   64,     352,  3.8636,  0.4961,  26.6, 813.6
   65,     357,  3.8630,  0.4961,  26.6, 813.6
   66,     362,  3.8624,  0.4960,  26.6, 813.6
   67,     367,  3.8617,  0.4959,  26.6, 813.6
   68,     372,  3.8612,  0.4958,  26.6, 813.6
   69,     377,  3.8606,  0.4958,  26.6, 813.6
   70,     382,  3.8601,  0.4957,  26.6, 813.6
   71,     387,  3.8594,  0.4957,  26.6, 813.6
   72,     392,  3.8590,  0.4955,  26.6, 813.6
   73,     397,  3.8584,  0.4955,  26.6, 813.6
   74,     402,  3.8578,  0.4955,  26.6, 813.6
   75,     407,  3.8573,  0.4954,  26.6, 813.6
   76,     412,  3.8566,  0.4953,  26.6, 813.6
   77,     417,  3.8560,  0.4952,  26.6, 813.6
   78,     422,  3.8555,  0.4952,  26.6, 813.6
   79,     427,  3.8549,  0.4951,  26.6, 813.6
   80,     432,  3.8543,  0.4951,  26.6, 813.6
   81,     437,  3.8537,  0.4950,  26.6, 813.6
   82,     442,  3.8532,  0.4950,  26.6, 813.6
   83,     447,  3.8527,  0.4948,  26.6, 813.6
