    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
    0,       7,  5.1815,  0.0431, 2.502, 2.501
    1,      10,  5.1810,  0.0431, 2.501, 2.499
    2,      13,  5.1805,  0.0430, 2.502, 2.502
    3,      16,  5.1845,  0.0430, 2.502, 2.502
    4,      19,  5.1805,  0.0430, 2.502, 2.501
    5,      22,  5.1808,  0.0430, 2.502, 2.501
    6,      25,  5.1833,  0.0431, 2.501, 2.502
    7,      28,  5.1820,  0.0433, 2.503, 2.502
    8,      31,  5.1823,  0.0431, 2.504, 2.501
    9,      34,  5.1823,  0.0431, 2.502, 2.500
   10,      37,  5.1833,  0.0431, 2.503, 2.501
   11,      40,  5.1828,  0.0431, 2.502, 2.502
   12,      43,  5.1825,  0.0433, 2.501, 2.501
   13,      46,  5.1815,  0.0431, 2.502, 2.501
   14,      49,  5.1820,  0.0430, 2.501, 2.502
   15,      52,  5.1810,  0.0431, 2.502, 2.501
   16,      55,  5.1813,  0.0430, 2.500, 2.499
   17,      58,  5.1840,  0.0431, 2.502, 2.503
   18,      61,  5.1805,  0.0430, 2.502, 2.501
   19,      64,  5.1848,  0.0430, 2.502, 2.502
   20,      67,  5.1825,  0.0431, 2.503, 2.501
   21,      70,  5.1853,  0.0431, 2.502, 2.502
   22,      73,  5.1803,  0.0433, 2.501, 2.501
   23,      76,  5.1825,  0.0430, 2.503, 2.502
   24,      79,  5.1828,  0.0430, 2.501, 2.500
   25,      82,  5.1815,  0.0430, 2.502, 2.501
   26,      85,  5.1825,  0.0430, 2.502, 2.501
   27,      88,  5.1818,  0.0433, 2.503, 2.501
   28,      91,  5.1815,  0.0431, 2.501, 2.500
   29,      94,  5.1793,  0.0430, 2.502, 2.502
   30,      97,  5.1818,  0.0431, 2.502, 2.501
   31,     100,  5.1818,  0.0430, 2.502, 2.502
   32,     103,  5.1830,  0.0433, 2.502, 2.501
   33,     106,  5.1808,  0.0430, 2.500, 2.501
   34,     109,  5.1835,  0.0430, 2.503, 2.502
   35,     112,  5.1823,  0.0431, 2.503, 2.501
   36,     115,  5.1830,  0.0431, 2.503, 2.502
   37,     118,  5.1815,  0.0433, 2.501, 2.498
   38,     121,  5.1828,  0.0430, 2.502, 2.501
   39,     124,  5.1808,  0.0431, 2.502, 2.501
   40,     127,  5.1823,  0.0431, 2.500, 2.499
   41,     130,  5.1810,  0.0430, 2.501, 2.502
   42,     133,  5.1820,  0.0433, 2.501, 2.499
   43,     136,  5.1813,  0.0431, 2.503, 2.501
   44,     139,  5.1830,  0.0431, 2.502, 2.502
   45,     142,  5.1808,  0.0431, 2.503, 2.501
   46,     145,  5.1838,  0.0430, 2.503, 2.502
   47,     148,  5.1818,  0.0431, 2.501, 2.500
   48,     151,  5.1828,  0.0431, 2.502, 2.501
   49,     154,  5.1813,  0.0430, 2.501, 2.501
   50,     157,  5.1825,  0.0430, 2.501, 2.500
   51,     160,  5.1815,  0.0430, 2.501, 2.501
   52,     163,  5.1818,  0.0431, 2.501, 2.499
   53,     166,  5.1800,  0.0431, 2.501, 2.501
   54,     169,  5.1793,  0.0431, 2.502, 2.500
   55,     172,  5.1798,  0.0431, 2.501, 2.502
   56,     175,  5.1808,  0.0431, 2.502, 2.502
   57,     178,  5.1828,  0.0431, 2.502, 2.502
   58,     181,  5.1798,  0.0431, 2.502, 2.500
   59,     184,  5.1843,  0.0431, 2.502, 2.502
   60,     187,  5.1805,  0.0431, 2.502, 2.500
   61,     190,  5.1767,  0.1739, 1.862, 1.862
   62,     193,  5.1830,  0.0433, 2.501, 2.499
   63,     196,  5.1843,  0.0433, 2.501, 2.502
   64,     199,  5.1815,  0.0433, 2.501, 2.501
   65,     202,  5.1838,  0.0431, 2.502, 2.501
   66,     205,  5.1813,  0.0431, 2.502, 2.502
   67,     208,  5.1856,  0.0433, 2.503, 2.502
   68,     211,  5.1828,  0.0431, 2.502, 2.502
   69,     214,  5.1830,  0.0431, 2.501, 2.499
   70,     217,  5.1830,  0.0431, 2.503, 2.501
   71,     220,  5.1856,  0.0433, 2.503, 2.503
   72,     223,  5.1851,  0.0431, 2.503, 2.503
   73,     226,  5.1853,  0.0431, 2.503, 2.503
