    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
    0,       8,  5.1762,  0.1232, 1.863, 1.863
    1,      11,  5.1777,  0.1898, 1.877, 1.875
    2,      14,  5.1777,  0.2102, 1.876, 1.873
    3,      17,  5.1770,  0.1414, 1.865, 1.864
    4,      20,  5.1790,  0.1513, 1.867, 1.868
    5,      23,  5.2244,  0.7318, 1.955, 1.953
    6,      26,  5.1787,  0.2146, 1.874, 1.874
    7,      29,  5.1750,  0.3841, 1.893, 1.891
    8,      32,  5.1800,  0.3747, 1.889, 1.891
    9,      35,  5.1795,  0.1679, 1.876, 1.874
   10,      38,  5.1848,  0.1643, 1.867, 1.867
   11,      41,  5.1795,  0.1024, 1.860, 1.859
   12,      44,  5.1818,  0.0654, 1.855, 1.854
   13,      47,  5.1795,  0.0627, 1.855, 1.854
   14,      50,  5.1805,  0.0541, 1.853, 1.852
   15,      53,  5.1785,  0.0539, 1.854, 1.854
   16,      56,  5.1810,  0.0542, 1.854, 1.853
   17,      59,  5.1803,  0.0539, 1.854, 1.854
   18,      62,  5.1803,  0.0664, 1.855, 1.855
   19,      65,  5.1793,  0.0547, 1.857, 1.855
   20,      68,  5.1790,  0.0541, 1.854, 1.854
   21,      71,  5.1810,  0.0433, 2.501, 2.500
   22,      74,  5.1800,  0.0431, 2.501, 2.496
   23,      77,  5.1805,  0.0431, 2.501, 2.501
   24,      80,  5.1790,  0.0433, 2.500, 2.496
   25,      83,  5.1813,  0.0433, 2.501, 2.501
   26,      86,  5.1793,  0.0431, 2.498, 2.500
   27,      89,  5.1805,  0.0431, 2.501, 2.500
   28,      92,  5.1787,  0.0433, 2.499, 2.500
   29,      95,  5.1800,  0.0431, 2.501, 2.501
   30,      98,  5.1790,  0.0433, 2.501, 2.500
   31,     101,  5.1767,  0.0582, 1.855, 1.855
   32,     104,  5.1762,  0.0587, 1.855, 1.855
   33,     107,  5.1770,  0.0547, 1.855, 1.854
   34,     110,  5.1757,  0.0844, 1.857, 1.857
   35,     113,  5.1765,  0.0852, 1.858, 1.858
   36,     116,  5.1798,  0.0856, 1.859, 1.858
   37,     119,  5.1795,  0.0852, 1.859, 1.857
   38,     122,  5.1803,  0.0815, 1.858, 1.857
   39,     125,  5.1815,  0.0433, 2.498, 2.501
   40,     128,  5.1820,  0.0431, 2.502, 2.501
