    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
    0,       8,  5.1803,  0.0435, 2.501, 2.502
    1,      11,  5.1825,  0.0435, 2.504, 2.503
    2,      14,  5.1808,  0.0435, 2.500, 2.503
    3,      17,  5.1828,  0.0435, 2.504, 2.504
    4,      20,  5.1815,  0.0433, 2.503, 2.502
    5,      23,  5.1815,  0.0433, 2.505, 2.504
    6,      26,  5.1803,  0.0433, 2.504, 2.502
    7,      29,  5.1803,  0.0433, 2.504, 2.503
    8,      32,  5.1798,  0.0433, 2.504, 2.504
    9,      35,  5.1808,  0.0433, 2.505, 2.504
   10,      38,  5.1780,  0.0433, 2.503, 2.503
   11,      41,  5.1777,  0.0433, 2.505, 2.504
   12,      44,  5.1810,  0.0433, 2.503, 2.504
   13,      47,  5.1777,  0.0433, 2.505, 2.504
   14,      50,  5.1820,  0.0433, 2.505, 2.504
   15,      53,  5.1787,  0.0433, 2.503, 2.504
   16,      56,  5.1830,  0.0431, 2.507, 2.506
   17,      59,  5.1772,  0.0433, 2.505, 2.503
   18,      62,  5.1851,  0.0433, 2.506, 2.506
   19,      65,  5.1808,  0.0433, 2.505, 2.504
   20,      68,  5.1833,  0.0431, 2.507, 2.506
   21,      71,  5.1820,  0.0433, 2.504, 2.504
   22,      74,  5.1828,  0.0431, 2.506, 2.506
   23,      77,  5.1810,  0.0433, 2.505, 2.504
   24,      80,  5.1805,  0.0433, 2.506, 2.505
   25,      83,  5.1810,  0.0433, 2.504, 2.504
   26,      86,  5.1856,  0.0431, 2.506, 2.504
   27,      89,  5.1810,  0.0431, 2.504, 2.505
   28,      92,  5.1755,  0.1580, 1.863, 1.863
   29,      95,  5.1745,  0.0872, 1.857, 1.856
   30,      98,  5.1785,  0.0953, 1.858, 1.858
   31,     101,  5.1760,  0.0873, 1.858, 1.858
   32,     104,  5.1760,  0.1022, 1.858, 1.858
   33,     107,  5.1782,  0.0841, 1.858, 1.857
   34,     110,  5.1775,  0.0678, 1.856, 1.855
   35,     113,  5.1762,  0.0578, 1.854, 1.853
   36,     116,  5.1760,  0.0596, 1.856, 1.854
   37,     119,  5.1775,  0.0536, 1.854, 1.854
   38,     122,  5.1755,  0.0537, 1.855, 1.854
   39,     125,  5.1760,  0.0541, 1.854, 1.854
   40,     128,  5.1745,  0.0565, 1.855, 1.854
   41,     131,  5.1815,  0.0430, 2.505, 2.505
   42,     134,  5.1775,  0.0431, 2.505, 2.504
   43,     137,  5.1800,  0.0430, 2.504, 2.503
   44,     140,  5.1805,  0.0431, 2.504, 2.503
   45,     143,  5.1840,  0.0430, 2.507, 2.507
   46,     146,  5.1808,  0.0430, 2.505, 2.504
   47,     149,  5.1830,  0.0430, 2.506, 2.506
   48,     152,  5.1845,  0.0431, 2.504, 2.505
